tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,59809.481886600144,2055481882115015000,2,2055481882115,19.655266,1,2055,11.106919,15.070184,15.0786,0.0225951,0.0068,68.640476,4.1920041,0.88,t17_f5_c3,1.0,15.0748,0.0083,456120221.0,True,False,False,dev,0.0,,ZTF22abbdajx
ztf,59812.43712959997,2058437122115015003,1,2058437122115,19.91237,1,2058,11.384553,15.258288,15.25,0.024779253,0.0067,68.6404579,4.192005,0.87,t17_f5_c3,0.9999843,15.2367,0.0078,456120121.0,True,False,False,dev,0.0,,ZTF22abbdajx
ztf,59815.442569400184,2061442562115015001,1,2061442562115,20.294882,1,2061,11.336801,15.468845,15.463,0.028503073,0.0062,68.6404535,4.1919892,0.76428574,t17_f5_c3,0.9999903,15.4517,0.0069,456120121.0,True,False,False,dev,0.0,,ZTF22abbdajx
ztf,59815.48678239994,2061486782115015001,2,2061486782115,20.526768,1,2061,11.144432,15.493349,15.4824,0.04293737,0.0059,68.6404742,4.1920152,0.8385714,t17_f5_c3,0.99084026,15.4725,0.0067,456120221.0,True,False,False,dev,0.0,,ZTF22abbdajx
ztf,59817.44680560008,2063446802115015006,1,2063446802115,20.450947,1,2063,11.415566,15.585871,15.5724,0.023698198,0.0066,68.6404687,4.1920054,0.82714283,t17_f5_c3,0.9999999,15.5635,0.0074,456120121.0,True,False,False,dev,0.0,,ZTF22abbdajx
ztf,59817.48064809991,2063480642115015001,2,2063480642115,20.443874,1,2063,11.155799,15.626304,15.6313,0.028735518,0.0066,68.640478,4.1920151,0.85571426,t17_f5_c3,0.9999995,15.6286,0.0077,456120221.0,True,False,False,dev,0.0,,ZTF22abbdajx
ztf,59819.44601849979,2065446012115015009,1,2065446012115,20.705477,1,2065,11.418598,15.722425,15.6836,0.02682053,0.0061,68.6404594,4.1920143,0.71,t17_f5_c3,0.9999902,15.6716,0.0068,456120121.0,True,False,False,dev,0.0,,ZTF22abbdajx
ztf,59823.444918999914,2069444912115015003,1,2069444912115,20.353445,1,2069,11.439185,15.934594,15.8991,0.02754601,0.0079,68.6404827,4.1919986,0.87285715,t17_f5_c3,0.99999976,15.887,0.0091,456120121.0,True,False,False,dev,0.0,,ZTF22abbdajx
ztf,59823.46854169993,2069468542115015001,2,2069468542115,20.283865,1,2069,11.173794,15.956297,15.9475,0.029223422,0.0084,68.640505,4.1920192,0.83,t17_f5_c3,0.9999984,15.9376,0.0099,456120221.0,True,False,False,dev,0.0,,ZTF22abbdajx
ztf,59825.482199099846,2071482192115015007,1,2071482192115,20.507555,1,2071,11.427787,16.046057,16.0251,0.028763125,0.008,68.6404772,4.1919989,0.8685714,t17_f5_c3,0.9999884,16.0074,0.0091,456120121.0,True,False,False,dev,0.0,,ZTF22abbdajx
ztf,59827.44650459988,2073446502115015004,1,2073446502115,20.361166,1,2073,11.431793,16.124166,16.1074,0.029935326,0.0091,68.6404871,4.1919894,0.86,t17_f5_c3,1.0,16.1049,0.0106,456120121.0,True,False,False,dev,0.0,,ZTF22abbdajx
ztf,59827.49422449991,2073494222115015006,2,2073494222115,20.391813,1,2073,11.1078615,16.062174,16.0505,0.024712121,0.0089,68.6404923,4.1920008,0.87857145,t17_f5_c3,1.0,16.0411,0.0104,456120221.0,True,False,False,dev,0.0,,ZTF22abbdajx
ztf,59839.425740700215,2085425742115015003,1,2085425742115,20.042221,1,2085,11.502756,16.564438,16.5237,0.036330767,0.0168,68.6404928,4.1920118,0.88714284,t17_f5_c3,0.9999994,16.5187,0.0208,456120121.0,True,False,False,dev,0.0,,ZTF22abbdajx
ztf,59839.46751159988,2085467512115015003,1,2085467512115,20.214844,1,2085,11.476813,16.555878,16.5031,0.03468342,0.0144,68.6404851,4.1920127,0.8814286,t17_f5_c3,0.9999995,16.4867,0.0176,456120121.0,True,False,False,dev,0.0,,ZTF22abbdajx
ztf,59841.406701399945,2087406702115015006,1,2087406702115,20.37172,1,2087,11.4691,16.666197,16.6376,0.03601696,0.0143,68.6404856,4.1920078,0.88857144,t17_f5_c3,0.9999999,16.6208,0.0172,456120121.0,True,False,False,dev,0.0,,ZTF22abbdajx
ztf,59841.461909700185,2087461902115015012,1,2087461902115,20.594608,1,2087,11.494585,16.674559,16.6523,0.037585013,0.0125,68.6404889,4.192016,0.8842857,t17_f5_c3,0.9999597,16.6428,0.015,456120121.0,True,False,False,dev,0.0,,ZTF22abbdajx
ztf,59843.44314809982,2089443142115015004,2,2089443142115,20.588234,1,2089,11.163378,16.728724,16.7,0.03445837,0.0135,68.6404815,4.1920176,0.89,t17_f5_c3,0.9999992,16.6926,0.0163,456120221.0,True,False,False,dev,0.0,,ZTF22abbdajx
ztf,59843.47634259984,2089476342115015013,1,2089476342115,20.67555,1,2089,11.469072,16.821314,16.7732,0.032048658,0.0126,68.6404951,4.1919968,0.8814286,t17_f5_c3,0.9999995,16.7637,0.015,456120121.0,True,False,False,dev,0.0,,ZTF22abbdajx
ztf,59846.44579860009,2092445792115015004,2,2092445792115,20.516104,1,2092,11.1304455,18.277153,18.2026,0.058347203,0.0532,68.6405,4.1920057,0.9185714,t17_f5_c3,0.9999993,18.2554,0.0707,456120221.0,True,False,False,dev,0.0,,ZTF22abbdajx
ztf,59846.48346060002,2092483462115015008,1,2092483462115,20.726694,1,2092,11.586262,18.39244,18.3255,0.06405319,0.0455,68.6405224,4.1920147,0.91714287,t17_f5_c3,0.9999999,18.3007,0.056,456120121.0,True,False,False,dev,0.0,,ZTF22abbdajx
ztf,59848.48172450019,2094481722115015006,2,2094481722115,20.48078,1,2094,11.193309,20.040089,20.2011,0.15086389,0.3125,68.6404995,4.1920206,0.79,t17_f5_c3,0.99999344,20.4238,0.4914,456120221.0,True,False,False,dev,0.0,,ZTF22abbdajx
ztf,59850.46344910003,2096463442115015007,1,2096463442115,20.7235,1,2096,11.7743,20.8146,20.3038,0.260517,0.2609,68.6406195,4.1919755,0.294286,t17_f5_c3,,19.9552,0.2429,,False,False,False,dev,0.0,2.096484692115015e+18,ZTF22abbdajx
ztf,59850.48469909979,2096484692115015003,2,2096484692115,20.670074,1,2096,11.015777,20.17321,20.1556,0.1782221,0.2605,68.6404976,4.1919786,0.5914286,t17_f5_c3,0.99996424,20.0374,0.2997,456120221.0,True,False,False,dev,0.0,,ZTF22abbdajx
ztf,59852.46291670017,2098462912115015022,1,2098462912115,20.8446,1,2098,11.7908,20.724,20.8476,0.276154,0.3829,68.6405802,4.1920378,0.374286,t17_f5_c3,,20.4738,0.3485,,False,False,False,dev,0.0,2.098496882115015e+18,ZTF22abbdajx
ztf,59852.49688659981,2098496882115015012,2,2098496882115,20.749947,1,2098,11.194767,19.997253,19.7663,0.16762193,0.1677,68.6405456,4.1920126,0.48285714,t17_f5_c3,0.9999697,19.833,0.2282,456120221.0,True,False,False,dev,0.0,,ZTF22abbdajx
ztf,59854.42447920004,2100424472115015014,1,2100424472115,20.777426,1,2100,11.819809,20.521309,20.6109,0.211109,0.3149,68.6406336,4.1919781,0.51714283,t17_f5_c3,0.99978733,20.3398,0.3143,456120121.0,True,False,False,dev,0.0,,ZTF22abbdajx
ztf,59857.40285879979,2103402852115015006,2,2103402852115,20.66379,1,2103,11.120026,18.127316,18.1311,0.06178159,0.0434,68.6405028,4.1920017,0.91571426,t17_f5_c3,0.9999987,18.1265,0.0544,456120221.0,True,False,False,dev,0.0,,ZTF22abbdajx
ztf,59857.44185189996,2103441852115015014,1,2103441852115,20.794413,1,2103,11.6332855,18.198488,18.0791,0.06985292,0.034,68.6405431,4.1920074,0.87142855,t17_f5_c3,0.99999976,18.0318,0.0406,456120121.0,True,False,False,dev,0.0,,ZTF22abbdajx
ztf,59866.37995370012,2112379952115015003,2,2112379952115,19.696941,1,2112,11.08943,17.710361,17.6159,0.046084583,0.0617,68.6404992,4.1919921,0.92285717,t17_f5_c3,0.9999976,17.5954,0.0774,456120221.0,True,False,False,1.1.6,0.0,,ZTF22abbdajx
