tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,61075.577326400205,3321577324015010007,2,3321577324015,17.639236,-1,3321,0.4819571,16.63193,15.225818,16.7737,0.060394254,100.0,0.016540593,0.1339,285.4127594,-4.4837589,0.67,t17_f5_c3,0.99299264,16.7321,0.1653,1430120240.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abephar
ztf,61080.563194400165,3326563194015010002,2,3326563194015,19.194265,-1,3326,0.4411271,16.858496,15.17121,17.2276,0.083093815,100.0,0.01756525,0.0642,285.412775,-4.4838731,0.47142857,t17_f5_c3,0.07139474,17.2079,0.0793,1430120240.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abephar
ztf,61080.56658559991,3326566584015010002,2,3326566584015,18.994009,-1,3326,0.3642816,17.031328,15.137949,17.308,0.09757227,100.0,0.01705983,0.0785,285.4127813,-4.4838127,0.66714287,t17_f5_c3,0.9159987,17.4401,0.1121,1430120240.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abephar
ztf,61083.5612269002,3329561224015010002,2,3329561224015,19.270885,-1,3329,0.76266253,17.349052,15.090825,17.8288,0.09821641,100.0,0.012271369,0.1009,285.4126747,-4.483763,0.57285714,t17_f5_c3,0.91656077,17.9293,0.1386,1430120240.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abephar
ztf,61083.565798600204,3329565794015010003,2,3329565794015,19.116928,-1,3329,0.27405873,17.44709,15.079175,17.6883,0.13065057,100.0,0.014755208,0.1027,285.4128316,-4.483869,0.60714287,t17_f5_c3,0.93683755,17.7787,0.1407,1430120240.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abephar
ztf,61100.546134300064,3346546134015015005,2,3346546134015,19.49072,1,3346,0.4651259,17.100616,14.821097,17.0786,0.07206302,100.0,0.008828865,0.0449,285.41298,-4.4839035,0.7657143,t17_f5_c3,0.9951625,17.0636,0.0547,1430120240.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abephar
ztf,61101.5454051001,3347545404015015023,2,3347545404015,18.434679,1,3347,0.51274115,16.736279,14.769313,16.6462,0.07485525,100.0,0.012230268,0.0624,285.4129336,-4.4839469,0.68857145,t17_f5_c3,0.98449814,16.5468,0.0723,1430120240.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abephar
ztf,61105.541203700006,3351541204015015005,2,3351541204015,19.59473,1,3351,0.2232533,16.953953,14.802027,16.9828,0.07677527,100.0,0.010579158,0.0392,285.4129094,-4.4838739,0.7342857,t17_f5_c3,0.9997736,16.981,0.0482,1430120240.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abephar
ztf,61105.541203700006,3351541204015025005,2,3351541204015,19.5947,1,3351,0.223253,16.954,14.802034,16.9828,0.076775,100.0,0.010578728,0.0392,285.4129094,-4.4838739,0.734286,t17_f5_c3,,16.981,0.0482,,False,True,False,27.5.7a32.dev1,0.0,3.354542454015015e+18,ZTF22abephar
ztf,61108.54245370021,3354542454015015001,2,3354542454015,19.534693,1,3354,0.6998982,17.229506,14.83609,17.2145,0.10284465,100.0,0.01134529,0.0501,285.4130791,-4.4838426,0.7014286,t17_f5_c3,0.99178624,17.246,0.0636,1430120240.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abephar
