tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60351.555636600126,2597555636015010012,2,2597555636015,19.589615,-1,2597,0.67382395,18.408073,17.721773,18.4853,0.08148556,100.0,0.043307237,0.1149,276.6153126,-2.599421,0.87,t17_f5_c3,0.99852073,18.2403,0.1178,1429120260.0,True,True,False,23.12.x,0.0,,ZTF22abfcbcu
ztf,60351.55611110013,2597556116015010012,2,2597556116015,19.604013,-1,2597,0.38060367,18.279594,17.796793,18.4967,0.10662378,100.0,0.06834923,0.116,276.6153872,-2.5994505,0.8457143,t17_f5_c3,0.9964198,18.3658,0.1323,1429120260.0,True,True,False,23.12.x,0.0,,ZTF22abfcbcu
ztf,60351.55657410016,2597556576015010008,2,2597556576015,19.597017,-1,2597,0.33340245,18.3372,17.761412,18.5308,0.07875081,100.0,0.04633824,0.1221,276.6153968,-2.599488,0.9071429,t17_f5_c3,0.93439734,18.4367,0.144,1429120260.0,True,True,False,23.12.x,0.0,,ZTF22abfcbcu
ztf,60352.55390049983,2598553906015010128,2,2598553906015,19.120762,-1,2598,1.287946,18.787222,17.563765,18.575,0.19885641,0.027540883,0.06444019,0.1224,276.6151289,-2.5995125,0.44428572,t17_f5_c3,0.02967876,18.4383,0.1383,1429120260.0,True,True,False,23.12.x,0.0,,ZTF22abfcbcu
ztf,60352.55437499983,2598554376015010192,2,2598554376015,18.94117,-1,2598,1.2981561,18.599115,17.632448,18.7725,0.18658587,0.04489217,0.076597005,0.1434,276.6151599,-2.5993305,0.45285714,t17_f5_c3,0.4500088,18.736,0.1775,1429120260.0,True,True,False,23.12.x,0.0,,ZTF22abfcbcu
ztf,60353.5503934999,2599550396015010019,2,2599550396015,19.857185,-1,2599,0.39327055,18.345312,17.756666,18.4974,0.08719247,100.0,0.050701488,0.1131,276.6153801,-2.5994927,0.92142856,t17_f5_c3,0.99837446,18.2599,0.117,1429120260.0,True,True,False,23.12.x,0.0,,ZTF22abfcbcu
ztf,60353.55086810002,2599550866015010017,2,2599550866015,19.862007,-1,2599,0.43429366,18.34667,17.755878,18.4859,0.1030485,100.0,0.05980323,0.1125,276.615371,-2.5994616,0.9342857,t17_f5_c3,0.99616504,18.246,0.1161,1429120260.0,True,True,False,23.12.x,0.0,,ZTF22abfcbcu
ztf,60353.551342600025,2599551346015010019,2,2599551346015,19.87566,-1,2599,0.4047031,18.304783,17.780949,18.5083,0.0922064,100.0,0.056915086,0.1128,276.6153783,-2.5994677,0.94142854,t17_f5_c3,0.9782797,18.2763,0.1173,1429120260.0,True,True,False,23.12.x,0.0,,ZTF22abfcbcu
ztf,60694.57449069992,2940574490615015028,2,2940574490615,18.399448,1,2940,0.21518986,16.987103,16.485474,17.1749,0.061085038,0.034871396,0.03848424,0.0919,276.615477,-2.5994819,0.7285714,t17_f5_c3,0.9999994,17.0937,0.1094,1480120206.0,True,True,False,26.0.1,0.0,,ZTF22abfcbcu
ztf,60694.57495369995,2940574950615015028,2,2940574950615,18.290224,1,2940,0.47753716,17.072392,16.53842,17.2089,0.08691494,0.050326742,0.0531503,0.0974,276.6154345,-2.599415,0.66571426,t17_f5_c3,0.99999666,17.2456,0.1293,1480120206.0,True,True,False,26.0.1,0.0,,ZTF22abfcbcu
ztf,60694.575428199954,2940575420615015040,2,2940575420615,18.229216,1,2940,0.18136798,17.066446,16.53478,17.1765,0.07284765,0.041264236,0.044642564,0.1052,276.6154826,-2.5994943,0.6585714,t17_f5_c3,0.9999963,17.2485,0.1444,1480120206.0,True,True,False,26.0.1,0.0,,ZTF22abfcbcu
ztf,60706.5595602002,2952559560615015035,2,2952559560615,19.7978,1,2952,0.364841,16.8719,16.411484,16.9384,0.04145,0.022460395,0.027124243,0.0289,276.6154344,-2.5994753,0.908571,t17_f5_c3,,16.964,0.0376,,False,True,False,26.0.1,0.0,2.956559230615015e+18,ZTF22abfcbcu
ztf,60706.56366899982,2952563660615015025,2,2952563660615,19.511301,1,2952,0.42915362,16.773937,16.346388,16.9006,0.046249513,0.027713085,0.031195164,0.0309,276.6154155,-2.5994751,0.8742857,t17_f5_c3,0.99994993,16.9187,0.0399,1480120206.0,True,True,False,26.0.1,0.0,,ZTF22abfcbcu
ztf,60706.56777779991,2952567770615015022,2,2952567770615,19.310255,1,2952,0.3351812,16.827799,16.382421,16.9059,0.04990396,0.029617526,0.033111915,0.0379,276.6154454,-2.5994667,0.8857143,t17_f5_c3,0.99999976,16.939,0.0498,1480120206.0,True,True,False,26.0.1,0.0,,ZTF22abfcbcu
ztf,60706.570162000135,2952570166015015002,2,2952570166015,18.899273,1,2952,0.33708102,16.991346,16.364372,17.0758,0.048166692,0.018932225,0.027036903,0.0631,276.6153978,-2.5995061,0.81714284,t17_f5_c3,0.9999972,17.1059,0.083,1429120260.0,True,True,False,26.0.1,0.0,,ZTF22abfcbcu
ztf,60706.57063659979,2952570636015015003,2,2952570636015,18.777246,1,2952,0.37094378,17.043898,16.393557,17.0538,0.041820154,0.011605715,0.022974653,0.0663,276.6153904,-2.5995157,0.8042857,t17_f5_c3,0.99999994,17.0669,0.086,1429120260.0,True,True,False,26.0.1,0.0,,ZTF22abfcbcu
ztf,60706.571111099795,2952571116015015003,2,2952571116015,18.666056,1,2952,0.24235411,17.128155,16.439034,17.1034,0.07672266,0.03502227,0.040670067,0.0724,276.61543,-2.5995178,0.6342857,t17_f5_c3,0.99998105,17.2757,0.1085,1429120260.0,True,True,False,26.0.1,0.0,,ZTF22abfcbcu
ztf,60707.5578240999,2953557820615015030,2,2953557820615,19.322119,1,2953,0.35412678,16.813501,16.372915,16.8796,0.03955593,0.021898739,0.026361909,0.0311,276.6154345,-2.5994862,0.81,t17_f5_c3,0.99999976,16.8852,0.0396,1480120206.0,True,True,False,26.0.1,0.0,,ZTF22abfcbcu
ztf,60707.56126159988,2953561260615015032,2,2953561260615,19.31284,1,2953,0.49780422,16.74724,16.328308,16.9616,0.06138033,0.03928173,0.041730788,0.0345,276.6153961,-2.5994728,0.81,t17_f5_c3,0.96596235,16.8859,0.0409,1480120206.0,True,True,False,26.0.1,0.0,,ZTF22abfcbcu
ztf,60707.563217599876,2953563216015015008,2,2953563216015,19.176949,1,2953,0.15859818,17.055819,16.40009,17.1182,0.0443375,0.013767049,0.024237022,0.0501,276.6154462,-2.5994827,0.91571426,t17_f5_c3,0.9999998,17.1629,0.0664,1429120260.0,True,True,False,26.0.1,0.0,,ZTF22abfcbcu
ztf,60707.56368059991,2953563686015015005,2,2953563686015,19.050028,1,2953,0.3034702,17.02384,16.38249,17.0399,0.053130675,0.021931183,0.02943105,0.0531,276.6154098,-2.5995141,0.9257143,t17_f5_c3,0.9999988,17.0158,0.0662,1429120260.0,True,True,False,26.0.1,0.0,,ZTF22abfcbcu
ztf,60707.56575229997,2953565750615015048,2,2953565750615,19.0206,1,2953,0.4646158,16.759123,16.336372,16.7411,0.027720705,0.012301572,0.01878038,0.0433,276.6154096,-2.59946,0.86285716,t17_f5_c3,0.99980956,16.6817,0.0522,1480120206.0,True,True,False,26.0.1,0.0,,ZTF22abfcbcu
ztf,60708.55699069984,2954556990615015025,2,2954556990615,19.9459,1,2954,0.393717,16.9214,16.443619,16.906,0.035629,0.016766708,0.022945158,0.0262,276.6154254,-2.5994766,0.888571,t17_f5_c3,,16.9141,0.0334,,False,True,False,26.0.1,0.0,2.956559230615015e+18,ZTF22abfcbcu
ztf,60708.56046300009,2954560466015015002,2,2954560466015,19.781572,1,2954,0.31376916,17.052996,16.398544,17.0478,0.0513322,0.019811273,0.028093737,0.0348,276.6154182,-2.599436,0.8914286,t17_f5_c3,0.99999964,17.0701,0.0452,1429120260.0,True,True,False,26.0.1,0.0,,ZTF22abfcbcu
ztf,60708.560925900005,2954560920615015087,2,2954560920615,20.056913,1,2954,0.3721449,16.870453,16.410536,16.8928,0.032372348,0.014775728,0.021193726,0.0257,276.615429,-2.5994874,0.88285714,t17_f5_c3,0.99999917,16.9295,0.0338,1480120206.0,True,True,False,26.0.1,0.0,,ZTF22abfcbcu
ztf,60708.562384299934,2954562386015015003,2,2954562386015,19.727604,1,2954,0.29284328,17.076893,16.411558,17.0852,0.042457227,0.011082481,0.023004763,0.0378,276.6154082,-2.5994878,0.94,t17_f5_c3,0.9999999,17.0533,0.0467,1429120260.0,True,True,False,26.0.1,0.0,,ZTF22abfcbcu
ztf,60708.56487269979,2954564870615015026,2,2954564870615,19.890976,1,2954,0.45441929,16.879389,16.416378,16.9312,0.03316078,0.01533922,0.021648122,0.0298,276.6154075,-2.599465,0.9057143,t17_f5_c3,0.99999976,16.9429,0.0383,1480120206.0,True,True,False,26.0.1,0.0,,ZTF22abfcbcu
ztf,60708.56631939998,2954566316015015001,2,2954566316015,19.593525,1,2954,0.31377885,17.094576,16.421104,17.0619,0.05124572,0.018598659,0.027559334,0.042,276.6154039,-2.5994697,0.92142856,t17_f5_c3,0.99999994,17.0721,0.054,1429120260.0,True,True,False,26.0.1,0.0,,ZTF22abfcbcu
ztf,60709.554814800154,2955554810615015039,2,2955554810615,19.202839,1,2955,0.35245416,16.92567,16.446367,16.8661,0.03781434,0.018568298,0.024318403,0.0422,276.6154362,-2.5994814,0.89857143,t17_f5_c3,0.9999995,16.8575,0.0533,1480120206.0,True,True,False,26.0.1,0.0,,ZTF22abfcbcu
ztf,60709.557754599955,2955557756015015029,2,2955557756015,17.441826,1,2955,0.27391425,16.757044,16.226694,16.9548,0.11463724,0.06825123,0.07033732,0.2164,276.6154138,-2.5994799,0.7442857,t17_f5_c3,0.99994737,17.052,0.3035,1429120260.0,True,True,False,26.0.1,0.0,,ZTF22abfcbcu
ztf,60709.558229200076,2955558220615015024,2,2955558220615,17.498236,1,2955,0.31478164,16.4193,16.094984,16.3681,0.09546364,0.06989538,0.07081281,0.1282,276.6154441,-2.5995192,0.7728571,t17_f5_c3,0.99595803,16.3253,0.1581,1480120206.0,True,True,False,26.0.1,0.0,,ZTF22abfcbcu
ztf,60709.5596758998,2955559676015015007,2,2955559676015,18.86069,1,2955,0.3938896,17.075687,16.410906,17.0553,0.05326072,0.020682102,0.028873142,0.068,276.6153848,-2.5994682,0.9085714,t17_f5_c3,0.9999999,16.9855,0.0816,1429120260.0,True,True,False,26.0.1,0.0,,ZTF22abfcbcu
ztf,60709.56163189979,2955561630615015070,2,2955561630615,19.542648,1,2955,0.40467536,16.916735,16.44061,16.9494,0.03824834,0.01909425,0.024669675,0.0393,276.6154251,-2.599459,0.88714284,t17_f5_c3,0.9999999,16.934,0.0493,1480120206.0,True,True,False,26.0.1,0.0,,ZTF22abfcbcu
ztf,60709.56309030019,2955563096015015070,2,2955563096015,18.90236,1,2955,0.35237855,16.998428,16.368341,16.8933,0.045936912,0.016905045,0.025711473,0.0622,276.6153915,-2.5994834,0.83285713,t17_f5_c3,0.9985293,16.8683,0.0777,1429120260.0,True,True,False,26.0.1,0.0,,ZTF22abfcbcu
ztf,60710.55629630014,2956556290615015034,2,2956556290615,19.758785,1,2956,0.32643878,16.894703,16.42635,16.873,0.036588307,0.018090453,0.023768477,0.0256,276.6154417,-2.5994897,0.8957143,t17_f5_c3,0.9999998,16.8929,0.0328,1480120206.0,True,True,False,26.0.1,0.0,,ZTF22abfcbcu
ztf,60710.557812499814,2956557816015015005,2,2956557816015,19.527925,1,2956,0.15868019,17.07062,16.408155,17.1601,0.05328408,0.020835105,0.028947528,0.0357,276.6154485,-2.5995014,0.85142857,t17_f5_c3,0.9999971,17.2117,0.0472,1429120260.0,True,True,False,26.0.1,0.0,,ZTF22abfcbcu
ztf,60710.55923609994,2956559230615015035,2,2956559230615,19.732136,1,2956,0.434149,16.862139,16.405085,16.8556,0.05255837,0.031011483,0.034500115,0.0263,276.6154121,-2.599483,0.88857144,t17_f5_c3,1.0,16.861,0.0335,1480120206.0,True,True,False,26.0.1,0.0,,ZTF22abfcbcu
ztf,60710.56075230008,2956560756015015007,2,2956560756015,19.586683,1,2956,0.26428735,17.025898,16.38363,17.0872,0.049593337,0.019167496,0.027448358,0.0346,276.6154126,-2.5994921,0.91714287,t17_f5_c3,0.9999998,17.1222,0.0452,1429120260.0,True,True,False,26.0.1,0.0,,ZTF22abfcbcu
ztf,61072.56672450015,3318566726015010009,2,3318566726015,18.690533,-1,3318,0.40881377,17.9658,18.059368,18.332,0.09739724,0.0530468,0.106163174,0.2476,276.6153755,-2.5994864,0.81285715,t17_f5_c3,0.99876153,18.1206,0.2621,1429120260.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abfcbcu
ztf,61072.57006940013,3318570066015010049,2,3318570066015,18.62652,-1,3318,0.346166,18.172834,17.8712,18.1343,0.106247954,0.022291284,0.08047607,0.2067,276.6154359,-2.5995671,0.85714287,t17_f5_c3,0.9999948,18.1978,0.2816,1429120260.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abfcbcu
