tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60694.57449069992,2940574492615015014,2,2940574492615,18.521555,1,2940,0.80933106,15.999923,14.34759,16.0684,0.0674038,100.0,0.014714705,0.0309,274.608535,-0.7071685,0.6357143,t17_f5_c3,0.9999994,16.0594,0.0387,1480120226.0,True,True,False,26.0.1,0.0,,ZTF22abfjhge
ztf,60694.57495369995,2940574952615015020,2,2940574952615,18.493559,1,2940,0.45170328,16.100622,14.368791,16.1123,0.04682913,100.0,0.009501313,0.0333,274.6084437,-0.7071076,0.7714286,t17_f5_c3,0.99999976,16.1179,0.0423,1480120226.0,True,True,False,26.0.1,0.0,,ZTF22abfjhge
ztf,60694.575428199954,2940575422615015024,2,2940575422615,18.448547,1,2940,0.34690535,15.784486,14.296777,15.9587,0.08189305,0.014500404,0.020804789,0.0311,274.608414,-0.7071099,0.75,t17_f5_c3,0.999999,15.9189,0.0379,1480120226.0,True,True,False,26.0.1,0.0,,ZTF22abfjhge
ztf,60706.5595602002,2952559562615015037,2,2952559562615,19.896461,1,2952,0.37886086,16.588934,14.451667,16.5442,0.05805966,100.0,0.008109004,0.0226,274.6083752,-0.7071924,0.87714285,t17_f5_c3,0.99999976,16.5395,0.0269,1480120226.0,True,True,False,26.0.1,0.0,,ZTF22abfjhge
ztf,60706.56366899982,2952563662615015024,2,2952563662615,19.564232,1,2952,0.50725585,16.49136,14.4375,16.4559,0.028578537,100.0,0.0043101883,0.0231,274.6084561,-0.7071038,0.6242857,t17_f5_c3,0.99909663,16.4322,0.0274,1480120226.0,True,True,False,26.0.1,0.0,,ZTF22abfjhge
ztf,60706.56366899982,2952563662615015026,2,2952563662615,19.564232,1,2952,0.9163659,16.297014,14.405868,16.8839,0.13261922,0.01636343,0.023235274,0.0329,274.6085684,-0.7070621,0.42285714,t17_f5_c3,0.9926109,16.7563,0.0359,1480120226.0,True,True,False,26.0.1,0.0,,ZTF22abfjhge
ztf,60706.56777779991,2952567772615015024,2,2952567772615,19.27074,1,2952,0.6372464,16.285404,14.403825,16.4225,0.12426815,0.0145382285,0.021964835,0.0266,274.6084948,-0.7071231,0.68285716,t17_f5_c3,0.9999447,16.4321,0.0331,1480120226.0,True,True,False,26.0.1,0.0,,ZTF22abfjhge
ztf,60707.5578240999,2953557822615015020,2,2953557822615,19.445364,1,2953,0.86513317,16.506659,14.439794,16.4538,0.029738786,100.0,0.0044317716,0.0237,274.6085601,-0.7071021,0.6471428,t17_f5_c3,0.9999989,16.4481,0.0284,1480120226.0,True,True,False,26.0.1,0.0,,ZTF22abfjhge
ztf,60707.5578240999,2953557822615015025,2,2953557822615,19.445364,1,2953,0.8080558,16.529062,14.443104,16.725,0.07795878,100.0,0.011415146,0.0292,274.6085441,-0.7071038,0.6,t17_f5_c3,0.9999989,16.5534,0.0306,1480120226.0,True,True,False,26.0.1,0.0,,ZTF22abfjhge
ztf,60707.56126159988,2953561262615015033,2,2953561262615,19.4027,1,2953,0.927914,16.291,14.404812,16.2985,0.066723,100.0,0.011743566,0.0227,274.6085702,-0.7071665,0.381429,t17_f5_c3,,16.2475,0.0261,,False,True,False,26.0.1,0.0,2.956556292615015e+18,ZTF22abfjhge
ztf,60707.56575229997,2953565752615015023,2,2953565752615,19.184563,1,2953,0.4430754,16.399084,14.423071,16.3328,0.048691027,100.0,0.0078893965,0.029,274.6084393,-0.7071371,0.9028571,t17_f5_c3,0.9999902,16.337,0.0358,1480120226.0,True,True,False,26.0.1,0.0,,ZTF22abfjhge
ztf,60708.55699069984,2954556992615015022,2,2954556992615,20.2125,1,2954,0.52802,16.5897,14.451774,16.5607,0.098419,100.0,0.013737513,0.0201,274.6084651,-0.7071231,0.638571,t17_f5_c3,,16.5453,0.0232,,False,True,False,26.0.1,0.0,2.956556292615015e+18,ZTF22abfjhge
ztf,60708.560925900005,2954560922615015028,2,2954560922615,20.2032,1,2954,0.505858,16.5735,14.449497,16.527,0.139309,0.0096459435,0.019696016,0.0201,274.6084403,-0.7071733,0.398571,t17_f5_c3,,16.5194,0.0233,,False,True,False,26.0.1,0.0,2.956556292615015e+18,ZTF22abfjhge
ztf,60709.554814800154,2955554812615015093,2,2955554812615,19.177221,1,2955,0.39325622,16.531158,14.44341,16.3779,0.07303079,100.0,0.010675954,0.0316,274.6084268,-0.7071194,0.73285717,t17_f5_c3,0.99999976,16.3498,0.0378,1480120226.0,True,True,False,26.0.1,0.0,,ZTF22abfjhge
ztf,60710.55334489979,2956553342615015036,2,2956553342615,19.693813,1,2956,0.39160487,16.360085,14.4166565,16.2471,0.024011837,100.0,0.0040091663,0.0175,274.6084268,-0.7071035,0.7657143,t17_f5_c3,0.9999724,16.2579,0.0209,1480120226.0,True,True,False,26.0.1,0.0,,ZTF22abfjhge
ztf,60710.55334489979,2956553342615015038,2,2956553342615,19.693813,1,2956,0.23982957,16.360085,14.4166565,16.6525,0.024011837,100.0,0.0040091663,0.024,274.6083752,-0.7071363,0.5714286,t17_f5_c3,0.9999724,16.4412,0.0239,1480120226.0,True,True,False,26.0.1,0.0,,ZTF22abfjhge
ztf,60710.55334489979,2956553342615015039,2,2956553342615,19.693813,1,2956,0.16828395,16.569283,14.4489,16.7618,0.058173347,100.0,0.008252228,0.0257,274.6083446,-0.7071409,0.43857142,t17_f5_c3,0.9999724,16.4897,0.0247,1480120226.0,True,True,False,26.0.1,0.0,,ZTF22abfjhge
ztf,60710.55629630014,2956556292615015018,2,2956556292615,19.778522,1,2956,0.6019807,16.420946,14.426584,16.8322,0.024436997,100.0,0.0038931658,0.0268,274.6084845,-0.7070798,0.7342857,t17_f5_c3,1.0,16.7007,0.0288,1480120226.0,True,True,False,26.0.1,0.0,,ZTF22abfjhge
ztf,60710.55629630014,2956556292615015023,2,2956556292615,19.778522,1,2956,0.47859722,16.32021,14.409896,16.3842,0.06926514,100.0,0.011923102,0.0189,274.6084513,-0.7071007,0.86714286,t17_f5_c3,1.0,16.3842,0.0223,1480120226.0,True,True,False,26.0.1,0.0,,ZTF22abfjhge
ztf,61058.57805560017,3304578052615015022,2,3304578052615,18.693342,1,3304,0.8062836,16.65755,14.460994,16.8104,0.11619973,100.0,0.015366755,0.0709,274.608444,-0.7072907,0.42,t17_f5_c3,0.81265736,16.8261,0.0915,1480120226.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abfjhge
ztf,61058.578530100174,3304578532615015010,2,3304578532615,18.614676,1,3304,0.7654851,16.925993,14.492909,16.65,0.0840091,100.0,0.008934969,0.0656,274.6085281,-0.7071446,0.6685714,t17_f5_c3,0.9967257,16.6198,0.0812,1480120226.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abfjhge
ztf,61059.57524310006,3305575242615015012,2,3305575242615,18.97627,1,3305,1.2376317,16.970972,14.497606,16.9355,0.0909626,100.0,0.009322158,0.0576,274.6086629,-0.7070638,0.45285714,t17_f5_c3,0.85748976,16.8193,0.0652,1480120226.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abfjhge
