tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,59843.40716439998,2089407163715015003,2,2089407163715,20.22157,1,2089,0.13582201,20.179256,18.408485,20.4273,0.17686938,0.031066593,0.03462134,0.4678,69.9818989,85.1664391,0.92714286,t17_f5_c3,0.999998,20.2418,0.5044,870120237.0,True,True,False,dev,0.0,,ZTF22abhbhvq
ztf,59848.47530090017,2094475303715015002,2,2094475303715,20.347075,1,2094,0.33041587,20.282185,18.42788,20.1606,0.17107892,0.026823519,0.031008033,0.361,69.9809116,85.1665277,0.81,t17_f5_c3,0.9997789,20.2,0.4779,870120237.0,True,True,False,dev,0.0,,ZTF22abhbhvq
ztf,60195.48950230004,2441489503715015004,2,2441489503715,20.1515,1,2441,0.216175,20.2846,18.428316,20.5218,0.283789,0.04892775,0.051343128,0.5841,69.9811685,85.1664928,0.812857,t17_f5_c3,,19.8555,0.405,,False,True,False,1.2.1,0.0,2.448490473715015e+18,ZTF22abhbhvq
ztf,60200.426620400045,2446426623715015003,2,2446426623715,20.2813,1,2446,0.140802,20.5197,18.46725,21.1023,0.266608,0.036889244,0.040261846,0.7906,69.9815535,85.1664551,0.851429,t17_f5_c3,,21.1169,1.0235,,False,True,False,1.2.1,0.0,2.448490473715015e+18,ZTF22abhbhvq
ztf,60202.49047450023,2448490473715015007,2,2448490473715,20.459898,1,2448,0.05918632,20.41834,18.451324,20.0639,0.21086703,0.030564602,0.034451008,0.2846,69.9818645,85.1664657,0.85,t17_f5_c3,0.9959928,20.0291,0.3509,870120237.0,True,True,False,1.2.1,0.0,,ZTF22abhbhvq
ztf,60204.42490739981,2450424903715015006,2,2450424903715,20.509506,1,2450,0.24974258,20.387142,18.446165,20.6143,0.21261704,0.031869363,0.035580102,0.4498,69.9827147,85.1664868,0.75,t17_f5_c3,0.9557427,20.3457,0.4478,870120237.0,True,True,False,1.2.1,0.0,,ZTF22abhbhvq
ztf,60212.447129600216,2458447123715015001,2,2458447123715,20.4042,1,2458,0.256325,20.3892,18.446508,21.0831,0.219253,0.033038005,0.036632717,0.7729,69.9813185,85.1665371,0.777143,t17_f5_c3,,20.706,0.6977,,False,True,False,1.2.1,0.0,2.481433433715015e+18,ZTF22abhbhvq
ztf,60235.43343750015,2481433433715015007,2,2481433433715,20.35993,1,2481,0.17161217,20.222088,18.416737,20.0038,0.17720962,0.029865004,0.033600584,0.2944,69.9822504,85.1664388,0.8971428,t17_f5_c3,0.9998781,19.7936,0.3096,870120237.0,True,True,False,1.2.1,0.0,,ZTF22abhbhvq
ztf,60263.36886569997,2509368863715015004,2,2509368863715,19.9556,1,2509,0.598935,20.1975,18.412031,19.8386,0.285121,0.052883327,0.055060703,0.3088,69.9805459,85.1666092,0.818571,t17_f5_c3,,19.8681,0.4057,,False,True,False,23.12.x,0.0,2.536403333715015e+18,ZTF22abhbhvq
ztf,60290.40333329979,2536403333715015006,2,2536403333715,20.27724,1,2536,0.21553707,20.209824,18.4144,20.314,0.20122881,0.035307202,0.038505338,0.4237,69.9811855,85.1664682,0.8957143,t17_f5_c3,0.99971986,20.4039,0.588,870120237.0,True,True,False,23.12.x,0.0,,ZTF22abhbhvq
ztf,60292.484768500086,2538484763715015004,1,2538484763715,20.61999,1,2538,0.41412497,20.701012,18.727573,20.7604,0.2147061,0.027235353,0.034871362,0.3988,69.9831139,85.1664475,0.84,t17_f5_c3,0.99973094,20.7095,0.4872,870120137.0,True,True,False,23.12.x,0.0,,ZTF22abhbhvq
ztf,60354.20200229995,2600202003715015002,2,2600202003715,20.02041,1,2600,0.3688902,19.925505,18.353924,19.9264,0.20351501,0.04559947,0.04785905,0.3522,69.9814242,85.1665795,0.92,t17_f5_c3,0.9999796,20.0734,0.5162,870120237.0,True,True,False,23.12.x,0.0,,ZTF22abhbhvq
ztf,60582.50964119984,2828509643715015001,2,2828509643715,20.3549,1,2828,0.142021,20.2155,18.415485,19.86,0.24416,0.04390742,0.046523068,0.2678,69.9815533,85.1665123,0.844286,t17_f5_c3,,19.7929,0.3214,,False,True,False,24.5.1,0.0,2.842395163715015e+18,ZTF22abhbhvq
