tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59824.1843634001,2070184364015015017,2,2070184364015,20.396,1,2070,0.216315,16.6006,13.859378,16.5519,0.184034,100.0,0.014737013,0.0213,276.9059658,-1.1959426,0.431429,t17_f5_c3,16.5509,0.0234,False,True,False,dev,0.0,2.099190374015015e+18,,,ZTF22abipoiq
ztf,59826.17192129977,2072171924015015012,2,2072171924015,20.0735,1,2072,1.24068,16.9113,13.881233,16.7282,0.100681,100.0,0.006179033,0.0276,276.9061111,-1.1961943,0.285714,t17_f5_c3,16.7446,0.0325,False,True,False,dev,0.0,2.099190374015015e+18,,,ZTF22abipoiq
ztf,59828.263981500175,2074263984015015017,2,2074263984015,19.1237,1,2074,1.0751,16.8067,13.874515,17.644,0.146602,100.0,0.00984614,0.0907,276.9058375,-1.1961583,0.28,t17_f5_c3,17.1442,0.0729,False,True,False,dev,0.0,2.099190374015015e+18,,,ZTF22abipoiq
ztf,59844.2200230998,2090220024015015006,1,2090220024015,20.2296,1,2090,0.757188,19.2662,16.601458,19.2496,0.165812,100.0,0.014246869,0.1668,276.9058796,-1.1960884,0.725714,t17_f5_c3,19.2029,0.2004,False,True,False,dev,0.0,2.099190374015015e+18,,,ZTF22abipoiq
ztf,59850.15479170019,2096154794015015009,1,2096154794015,20.2889,1,2096,0.396834,18.5824,16.522558,18.6594,0.103179,0.0023253774,0.015475871,0.095,276.9059222,-1.195997,0.945714,t17_f5_c3,18.6581,0.118,False,True,False,dev,0.0,2.099190374015015e+18,,,ZTF22abipoiq
ztf,59853.19037039997,2099190374015015016,2,2099190374015,20.463884,1,2099,0.8180636,16.053562,13.803868,16.3131,0.16379835,0.014306229,0.020626796,0.016,276.9058079,-1.1960598,0.35857144,t17_f5_c3,16.22,0.0166,True,True,False,dev,0.0,,0.97862494,435120240.0,ZTF22abipoiq
ztf,59853.19037039997,2099190374015015017,2,2099190374015,20.4639,1,2099,0.58845,16.1093,13.810731,16.0444,0.020501,100.0,0.0024680125,0.0135,276.905793,-1.1958918,0.455714,t17_f5_c3,16.0476,0.0148,False,True,False,1.1.6,0.0,2.128129984015015e+18,,,ZTF22abipoiq
ztf,59853.19037039997,2099190374015015018,2,2099190374015,20.463884,1,2099,0.801308,16.067234,13.80558,16.3644,0.019820422,100.0,0.0024686032,0.0162,276.9057933,-1.1960392,0.41857144,t17_f5_c3,16.2555,0.0171,True,True,False,dev,0.0,,0.97862494,435120240.0,ZTF22abipoiq
ztf,59855.147962999996,2101147964015015012,2,2101147964015,19.8137,1,2101,0.835435,15.7407,13.75914,15.7388,0.049706,100.0,0.008012814,0.0134,276.9060829,-1.1960831,0.607143,t17_f5_c3,15.7157,0.0154,False,True,False,1.1.6,0.0,2.128129984015015e+18,,,ZTF22abipoiq
ztf,59855.21375000011,2101213754015015005,1,2101213754015,19.258,1,2101,0.443649,17.9785,16.407686,17.8819,0.09997,0.019079117,0.02352579,0.1088,276.9058371,-1.1959226,0.93,t17_f5_c3,17.9896,0.1529,False,True,False,1.1.6,0.0,2.128129984015015e+18,,,ZTF22abipoiq
ztf,59857.19528939994,2103195284015015013,2,2103195284015,19.2282,1,2103,0.252155,15.5395,13.724079,15.5112,0.018669,100.0,0.0035071347,0.0158,276.9059408,-1.1959521,0.755714,t17_f5_c3,15.5093,0.0192,False,True,False,1.1.6,0.0,2.128129984015015e+18,,,ZTF22abipoiq
ztf,59857.19528939994,2103195284015015014,2,2103195284015,19.2282,1,2103,0.32854,15.6093,13.736854,15.6969,0.046893,100.0,0.008358523,0.0183,276.9059723,-1.1959771,0.707143,t17_f5_c3,15.6368,0.0213,False,True,False,1.1.6,0.0,2.128129984015015e+18,,,ZTF22abipoiq
ztf,59859.17300930014,2105173004015015006,1,2105173004015,19.2778,1,2105,0.199272,17.7344,16.345112,17.7722,0.083235,0.019162364,0.023152115,0.1006,276.90591,-1.1959208,0.902857,t17_f5_c3,17.8804,0.1417,False,True,False,1.1.6,0.0,2.128129984015015e+18,,,ZTF22abipoiq
ztf,59862.14291669987,2108142914015015007,2,2108142914015,19.5096,1,2108,0.801631,15.5409,13.724341,15.9,0.106291,0.014393243,0.019946791,0.0168,276.9059194,-1.1961049,0.51,t17_f5_c3,15.7819,0.0184,False,True,False,1.1.6,0.0,2.128129984015015e+18,,,ZTF22abipoiq
ztf,59862.14291669987,2108142914015015008,2,2108142914015,19.5096,1,2108,0.486541,15.6433,13.742836,15.629,0.016793,100.0,0.002917043,0.0136,276.9059232,-1.1960149,0.645714,t17_f5_c3,15.623,0.0161,False,True,False,1.1.6,0.0,2.128129984015015e+18,,,ZTF22abipoiq
ztf,59862.1634837999,2108163484015015006,1,2108163484015,19.0898,1,2108,0.383577,17.8113,16.365961,18.1288,0.106347,0.024773993,0.028092433,0.1617,276.9058627,-1.19594,0.83,t17_f5_c3,18.0085,0.1854,False,True,False,1.1.6,0.0,2.128129984015015e+18,,,ZTF22abipoiq
ztf,59864.12311339984,2110123114015015008,1,2110123114015,19.8092,1,2110,0.237716,18.099,16.434864,18.0219,0.100156,0.016389241,0.021628296,0.0759,276.9059188,-1.1959468,0.961429,t17_f5_c3,17.9539,0.0901,False,True,False,1.1.6,0.0,2.128129984015015e+18,,,ZTF22abipoiq
ztf,59866.14377309987,2112143774015015015,1,2112143774015,20.1047,1,2112,0.393587,18.4653,16.50417,18.729,0.10942,0.009836991,0.017973997,0.1001,276.9058781,-1.1959671,0.941429,t17_f5_c3,18.6396,0.1148,False,True,False,1.1.6,0.0,2.128129984015015e+18,,,ZTF22abipoiq
ztf,59866.17990740016,2112179904015015029,2,2112179904015,19.7567,1,2112,0.887438,16.4151,13.843299,16.6524,0.123533,100.0,0.011562784,0.0282,276.9059302,-1.1961306,0.524286,t17_f5_c3,16.572,0.0313,False,True,False,1.1.6,0.0,2.128129984015015e+18,,,ZTF22abipoiq
ztf,59869.118715300225,2115118714015015009,1,2115118714015,20.1023,1,2115,0.542897,19.5503,16.623152,19.9487,0.25197,0.0027021877,0.01700157,0.3111,276.9058052,-1.1958813,0.818571,t17_f5_c3,19.7697,0.3303,False,True,False,1.1.6,0.0,2.128129984015015e+18,,,ZTF22abipoiq
ztf,59882.1299883998,2128129984015015006,1,2128129984015,19.660145,1,2128,0.90467864,18.9005,16.564726,19.1239,0.17231272,0.012198444,0.020045074,0.2093,276.9057186,-1.1959776,0.7728571,t17_f5_c3,18.9896,0.2347,True,True,False,1.1.6,0.0,,0.7572576,435120140.0,ZTF22abipoiq
ztf,60204.21380789997,2450213804015015008,1,2450213804015,20.3567,1,2450,0.446268,18.5574,16.518772,18.839,0.158562,0.018859824,0.024252031,0.0967,276.905948,-1.1960156,0.731429,t17_f5_c3,18.8749,0.1226,False,True,False,1.2.1,0.0,2.473191824015015e+18,,,ZTF22abipoiq
ztf,60206.16987269977,2452169874015015024,2,2452169874015,20.4811,1,2452,0.985994,16.1603,13.816746,16.2832,0.07402,100.0,0.008549241,0.0157,276.906024,-1.1961509,0.388571,t17_f5_c3,16.1875,0.0161,False,True,False,1.2.1,0.0,2.473191824015015e+18,,,ZTF22abipoiq
ztf,60206.232997700106,2452232994015015005,1,2452232994015,20.2494,1,2452,0.287565,18.3571,16.48564,18.4776,0.099742,0.009897074,0.017794833,0.0796,276.9059079,-1.195954,0.964286,t17_f5_c3,18.5386,0.1046,False,True,False,1.2.1,0.0,2.473191824015015e+18,,,ZTF22abipoiq
ztf,60209.14978010021,2455149784015015008,1,2455149784015,19.839,1,2455,0.3455,18.0078,16.41451,18.0617,0.072627,0.009402991,0.016741052,0.0615,276.9059482,-1.1959869,0.961429,t17_f5_c3,18.0396,0.0755,False,True,False,1.2.1,0.0,2.473191824015015e+18,,,ZTF22abipoiq
ztf,60209.171481499914,2455171484015025016,2,2455171484015,19.8646,1,2455,0.941235,15.7473,13.760201,16.5306,0.038438,100.0,0.0061648344,0.0186,276.9060547,-1.19613,0.325714,t17_f5_c3,16.1931,0.0171,False,True,False,1.2.1,0.0,2.473191824015015e+18,,,ZTF22abipoiq
