tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,61072.56672450015,3318566725315015007,2,3318566725315,18.6502,1,3318,0.223971,18.1082,16.941488,18.1132,0.155365,0.046774115,0.053047918,0.1996,279.4647983,-2.5798862,0.63,t17_f5_c3,17.9295,0.2161,False,True,False,27.5.7a32.dev1,0.0,3.34654469531501e+18,,,ZTF22abjdpdc
ztf,61072.57006940013,3318570065315015003,2,3318570065315,18.528158,1,3318,0.47739577,17.960358,16.888714,18.2429,0.14837506,0.04989525,0.05529723,0.2442,279.4647633,-2.5800077,0.68285716,t17_f5_c3,18.3542,0.3468,True,True,False,27.5.7a32.dev1,0.0,,0.99998194,1429120253.0,ZTF22abjdpdc
ztf,61073.56686339993,3319566865315015003,2,3319566865315,18.5469,1,3319,0.323472,18.2934,17.001238,18.3987,0.258415,0.07402497,0.078605495,0.3605,279.4648252,-2.5798804,0.632857,t17_f5_c3,18.0338,0.3306,False,True,False,27.5.7a32.dev1,0.0,3.34654469531501e+18,,,ZTF22abjdpdc
ztf,61074.566423600074,3320566425315015003,2,3320566425315,18.521313,1,3320,0.27650708,18.317982,17.008656,18.4082,0.19515775,0.052015655,0.058432665,0.2318,279.464804,-2.5799142,0.60571426,t17_f5_c3,18.4793,0.3173,True,True,False,27.5.7a32.dev1,0.0,,0.99977446,1429120253.0,ZTF22abjdpdc
ztf,61075.565069399774,3321565065315015007,2,3321565065315,18.821417,1,3321,0.50798434,18.27409,16.995327,18.7054,0.19353493,0.053485844,0.059601124,0.2532,279.4648752,-2.5798427,0.5757143,t17_f5_c3,19.0598,0.449,True,True,False,27.5.7a32.dev1,0.0,,0.99350375,1429120253.0,ZTF22abjdpdc
ztf,61075.56952549983,3321569525315015007,2,3321569525315,18.819645,1,3321,0.15860371,18.452099,17.047104,18.6207,0.14005132,0.026711639,0.038396306,0.2628,279.4647148,-2.5799189,0.64,t17_f5_c3,18.3776,0.2692,True,True,False,27.5.7a32.dev1,0.0,,0.99997985,1429120253.0,ZTF22abjdpdc
ztf,61099.54593749996,3345545935315010010,2,3345545935315,20.190662,-1,3345,0.21126384,19.004128,17.67479,18.9764,0.124093205,100.0,0.03647646,0.1539,279.4646804,-2.5798534,0.5214286,t17_f5_c3,19.0384,0.2058,True,True,False,27.5.7a32.dev1,0.0,,0.9999967,1429120253.0,ZTF22abjdpdc
ztf,61099.54593749996,3345545935315020010,2,3345545935315,20.1907,-1,3345,0.211264,19.0041,17.674797,18.9764,0.124093,100.0,0.036477562,0.1539,279.4646804,-2.5798534,0.521429,t17_f5_c3,19.0384,0.2058,False,True,False,27.5.7a32.dev1,0.0,3.35153929531501e+18,,,ZTF22abjdpdc
ztf,61100.544699099846,3346544695315010009,2,3346544695315,19.59048,-1,3346,0.24621566,19.025509,17.668583,19.1158,0.16064568,100.0,0.04603614,0.2611,279.4646694,-2.5798953,0.6528571,t17_f5_c3,19.3008,0.3946,True,True,False,27.5.7a32.dev1,0.0,,0.99999154,1429120253.0,ZTF22abjdpdc
ztf,61100.544699099846,3346544695315020009,2,3346544695315,19.5905,-1,3346,0.246216,19.0255,17.668587,19.1158,0.160646,100.0,0.046036754,0.2611,279.4646694,-2.5798953,0.652857,t17_f5_c3,19.3008,0.3946,False,True,False,27.5.7a32.dev1,0.0,3.35153929531501e+18,,,ZTF22abjdpdc
ztf,61105.539293999784,3351539295315010005,2,3351539295315,19.612314,-1,3351,0.23966983,18.748297,17.763083,18.6041,0.14856933,0.027390232,0.059957482,0.1627,279.4646778,-2.5798474,0.70857143,t17_f5_c3,18.3947,0.1711,True,True,False,27.5.7a32.dev1,0.0,,0.9999974,1429120253.0,ZTF22abjdpdc
