tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60706.558599499986,2952558592315015006,2,2952558592315,19.760576,1,2952,0.070017,17.18533,16.339933,17.139,0.042742915,0.015170522,0.019620288,0.0354,273.6058343,-7.3462484,0.89428574,t17_f5_c3,1.0,17.1164,0.0438,1428120223.0,True,True,False,26.0.1,0.0,,ZTF22abjkjxq
ztf,60706.56271990016,2952562712315015004,2,2952562712315,19.668167,1,2952,0.13359988,17.143993,16.320763,17.1679,0.040548705,0.014541174,0.018996982,0.0395,273.6058573,-7.3462635,0.9028571,t17_f5_c3,1.0,17.1981,0.0515,1428120223.0,True,True,False,26.0.1,0.0,,ZTF22abjkjxq
ztf,60706.56681710016,2952566812315015003,2,2952566812315,19.13184,1,2952,0.2320221,17.128803,16.31362,17.1784,0.048289943,0.019287065,0.02279204,0.0497,273.6058112,-7.3462868,0.80142856,t17_f5_c3,0.99999857,17.1459,0.0615,1428120223.0,True,True,False,26.0.1,0.0,,ZTF22abjkjxq
ztf,60707.55687499978,2953556872315015008,2,2953556872315,19.335266,1,2953,0.19899873,17.111551,16.305443,17.1391,0.04483107,0.017606564,0.021337112,0.0432,273.605898,-7.3462231,0.86,t17_f5_c3,0.99999964,17.141,0.0549,1428120223.0,True,True,False,26.0.1,0.0,,ZTF22abjkjxq
ztf,60707.56031250022,2953560312315015004,2,2953560312315,19.399054,1,2953,0.15904078,17.226042,16.35843,17.143,0.04486599,0.01571512,0.020177767,0.0418,273.6058764,-7.3462377,0.87285715,t17_f5_c3,0.99999994,17.1296,0.0524,1428120223.0,True,True,False,26.0.1,0.0,,ZTF22abjkjxq
ztf,60707.56480319984,2953564802315015011,2,2953564802315,19.150373,1,2953,0.16504437,17.22394,16.357485,17.2344,0.049477078,0.01833815,0.022275237,0.0583,273.6058558,-7.3462735,0.87857145,t17_f5_c3,1.0,17.2156,0.0731,1428120223.0,True,True,False,26.0.1,0.0,,ZTF22abjkjxq
ztf,60708.55545140011,2954555452315015007,2,2954555452315,19.730444,1,2954,0.080441035,17.185616,16.340063,17.1865,0.04287189,0.015242163,0.019676685,0.0351,273.6058647,-7.3462296,0.8914286,t17_f5_c3,0.99999994,17.1653,0.0435,1428120223.0,True,True,False,26.0.1,0.0,,ZTF22abjkjxq
ztf,60708.55891200015,2954558912315015006,2,2954558912315,19.849932,1,2954,0.0750197,17.22534,16.358116,17.2197,0.034671493,0.009122999,0.015598501,0.0369,273.6058632,-7.34623,0.88714284,t17_f5_c3,0.99999964,17.194,0.0456,1428120223.0,True,True,False,26.0.1,0.0,,ZTF22abjkjxq
ztf,60708.56333329994,2954563332315015007,2,2954563332315,19.79586,1,2954,0.12898485,17.152508,16.324743,17.1333,0.032138888,0.00861907,0.014994258,0.0368,273.6058673,-7.3462458,0.8914286,t17_f5_c3,1.0,17.0943,0.045,1428120223.0,True,True,False,26.0.1,0.0,,ZTF22abjkjxq
ztf,61065.5690394002,3311569032315015005,2,3311569032315,18.939384,1,3311,0.25665948,17.83987,16.592882,17.8212,0.064329796,0.013016875,0.020399384,0.101,273.6057752,-7.3461998,0.8042857,t17_f5_c3,0.9999999,17.8104,0.128,1428120223.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abjkjxq
ztf,61072.564317100216,3318564312315015004,2,3318564312315,18.831532,1,3318,0.15786223,17.485128,16.46738,17.4948,0.07276987,0.024829445,0.02850048,0.0955,273.6058504,-7.3462727,0.8914286,t17_f5_c3,1.0,17.5758,0.1318,1428120223.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abjkjxq
ztf,61072.56766200019,3318567662315015005,2,3318567662315,18.82795,1,3318,0.31455383,17.49937,16.472935,17.5232,0.06395205,0.020484189,0.024847373,0.1005,273.605835,-7.3463174,0.9071429,t17_f5_c3,0.9999999,17.51,0.1273,1428120223.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abjkjxq
ztf,61072.5719792,3318571972315015004,2,3318571972315,18.729298,1,3318,0.176061,17.577429,16.502602,17.3905,0.06773741,0.02060755,0.025170818,0.1044,273.6058612,-7.3462748,0.8485714,t17_f5_c3,0.99999917,17.3586,0.1301,1428120223.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abjkjxq
ztf,61085.55729170004,3331557292315015004,2,3331557292315,20.021673,1,3331,0.032990955,16.989368,16.245573,17.0582,0.04339525,0.018664189,0.021873798,0.0285,273.6058309,-7.3462351,0.85571426,t17_f5_c3,1.0,17.034,0.0351,1428120223.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abjkjxq
ztf,61096.54662040016,3342546622315015038,2,3342546622315,19.12273,1,3342,0.031682514,16.413857,15.917843,16.4446,0.03641037,0.02145981,0.023057885,0.0341,273.6058416,-7.3462368,0.85571426,t17_f5_c3,0.99999976,16.4633,0.0439,1428120223.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abjkjxq
ztf,61099.544027800206,3345544022315015010,2,3345544022315,20.13745,1,3345,0.047658384,16.289642,15.837547,16.3113,0.04077717,0.025722992,0.026889283,0.0136,273.6058339,-7.3462184,0.8585714,t17_f5_c3,0.99999976,16.3218,0.0169,1428120223.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abjkjxq
ztf,61099.544027800206,3345544022315035010,2,3345544022315,20.1374,1,3345,0.047658,16.2896,15.83752,16.3113,0.040777,0.025723306,0.026889525,0.0136,273.6058339,-7.3462184,0.858571,t17_f5_c3,,16.3218,0.0169,,False,True,False,27.5.7a32.dev1,0.0,3.354538592315015e+18,ZTF22abjkjxq
ztf,61100.54278940009,3346542782315015005,2,3346542782315,19.724716,1,3346,0.07407809,16.256098,15.815311,16.3092,0.038783092,0.024676226,0.025842113,0.0174,273.6058261,-7.3462428,0.86,t17_f5_c3,0.9999975,16.2973,0.0216,1428120223.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abjkjxq
ztf,61101.54207180021,3347542072315015004,2,3347542072315,18.996359,1,3347,0.08607847,16.269175,15.824008,16.2903,0.03983372,0.025277954,0.02643529,0.03,273.6058141,-7.3462153,0.8914286,t17_f5_c3,0.99999994,16.2564,0.0369,1428120223.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abjkjxq
ztf,61105.53738430003,3351537382315015005,2,3351537382315,19.700634,1,3351,0.061208174,16.045816,15.670771,16.0485,0.027633926,0.018372817,0.01956249,0.0141,273.6058261,-7.346223,0.86714286,t17_f5_c3,0.9999999,16.0308,0.0173,1428120223.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abjkjxq
ztf,61106.53608800005,3352536082315015009,2,3352536082315,19.268038,1,3352,0.33486438,16.001266,15.639045,16.0415,0.03498523,0.024196656,0.025060866,0.0145,273.6057536,-7.3461944,0.74142855,t17_f5_c3,0.99978423,16.0396,0.0181,1428120223.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abjkjxq
ztf,61108.53859949997,3354538592315015008,2,3354538592315,17.729416,1,3354,0.17344543,15.980514,15.624139,15.9768,0.044250473,0.031212421,0.03186897,0.0761,273.6057943,-7.3462167,0.80857146,t17_f5_c3,0.9999999,15.9279,0.0933,1428120223.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abjkjxq
