tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60706.558599499986,2952558591015015034,2,2952558591015,19.733952,1,2952,0.037305407,14.173695,13.989123,14.2247,0.037571296,0.031435993,0.031697683,0.0036,270.4956468,-9.7654808,0.7871429,t17_f5_c3,0.9999992,14.2159,0.0041,1428120210.0,True,True,False,26.0.1,0.0,,ZTF22abjkkhp
ztf,60706.56271990016,2952562711015015034,2,2952562711015,19.527184,1,2952,0.030738257,14.194313,14.006492,14.2221,0.025042882,0.020655857,0.02106473,0.0037,270.4956435,-9.7654876,0.75714284,t17_f5_c3,0.9999994,14.2151,0.0043,1428120210.0,True,True,False,26.0.1,0.0,,ZTF22abjkkhp
ztf,60706.56681710016,2952566811015015044,2,2952566811015,19.18771,1,2952,0.07400739,14.141236,13.961676,14.2091,0.027482409,0.022953639,0.023293268,0.0041,270.4956705,-9.7654812,0.70857143,t17_f5_c3,0.99998367,14.1962,0.0048,1428120210.0,True,True,False,26.0.1,0.0,,ZTF22abjkkhp
ztf,60707.55687499978,2953556871015015047,2,2953556871015,19.365217,1,2953,0.14355038,14.249045,14.052343,14.2453,0.019545125,0.015726931,0.016306385,0.0039,270.4956145,-9.7655074,0.7271429,t17_f5_c3,0.99997914,14.2348,0.0045,1428120210.0,True,True,True,26.0.1,0.0,,ZTF22abjkkhp
ztf,60707.56031250022,2953560311015015036,2,2953560311015,19.457935,1,2953,0.10869403,14.22025,14.028267,14.2339,0.027015014,0.022240978,0.022636646,0.0039,270.4956217,-9.7654827,0.77,t17_f5_c3,0.9999622,14.2249,0.0045,1428120210.0,True,True,False,26.0.1,0.0,,ZTF22abjkkhp
ztf,60707.56480319984,2953564801015015026,2,2953564801015,19.231886,1,2953,0.101751655,14.193819,14.006077,14.2353,0.032521907,0.02704434,0.027357664,0.0045,270.4956282,-9.7655033,0.7785714,t17_f5_c3,0.9999982,14.2239,0.0053,1428120210.0,True,True,True,26.0.1,0.0,,ZTF22abjkkhp
ztf,60708.55545140011,2954555451015015030,2,2954555451015,19.653204,1,2954,0.040427916,14.276011,14.074795,14.2968,0.01733223,0.013712015,0.014400173,0.0036,270.4956572,-9.7655008,0.75857145,t17_f5_c3,0.9999994,14.2938,0.0041,1428120210.0,True,True,True,26.0.1,0.0,,ZTF22abjkkhp
ztf,60708.55891200015,2954558911015015036,2,2954558911015,19.876286,1,2954,0.10469112,14.22455,14.031869,14.2527,0.022369199,0.018248374,0.018731738,0.0035,270.4956239,-9.7654799,0.78571427,t17_f5_c3,0.99999976,14.2483,0.004,1428120210.0,True,True,False,26.0.1,0.0,,ZTF22abjkkhp
ztf,60708.56333329994,2954563331015015031,2,2954563331015,19.913578,1,2954,0.045783337,14.225502,14.032666,14.2651,0.03425271,0.028364966,0.02867878,0.0036,270.4956387,-9.7654922,0.76428574,t17_f5_c3,0.99999994,14.259,0.0041,1428120210.0,True,True,False,26.0.1,0.0,,ZTF22abjkkhp
ztf,61059.579722200055,3305579721015010062,2,3305579721015,18.01505,-1,3305,0.27343926,17.564016,16.298656,17.2305,0.09128929,100.0,0.028462699,0.1513,270.4956068,-9.7654276,0.6457143,t17_f5_c3,0.9999933,17.0436,0.1635,1428120210.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abjkkhp
