tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,61080.56848380016,3326568480615010012,2,3326568480615,18.58098,-1,3326,0.6423416,14.338627,12.967417,14.5719,0.067162365,100.0,0.018995123,0.0097,282.9727019,-16.9860453,0.56,t17_f5_c3,0.9998697,14.5636,0.0117,1377120206.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abjknnh
ztf,61080.57052080007,3326570520615010011,2,3326570520615,18.282043,-1,3326,0.10071533,14.177923,13.017544,14.5942,0.05209717,100.0,0.017892139,0.012,282.9728614,-16.9860439,0.54,t17_f5_c3,0.15573409,14.6022,0.015,1377120206.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abjknnh
ztf,61083.56328700017,3329563280615010015,2,3329563280615,18.865725,-1,3329,0.13057055,14.227541,13.001013,14.3674,0.022628278,100.0,0.0073120683,0.0064,282.9728641,-16.9860715,0.57,t17_f5_c3,0.9997699,14.3541,0.0075,1377120206.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abjknnh
ztf,61096.5500115999,3342550010615010032,2,3342550010615,18.8347,-1,3342,0.218386,13.6099,13.309906,13.6936,0.023645,100.0,0.01793665,0.004,282.9728341,-16.9860222,0.498571,t17_f5_c3,,13.6816,0.0047,,False,True,False,27.5.7a32.dev1,0.0,3.34754494061501e+18,ZTF22abjknnh
ztf,61096.5500115999,3342550010615020032,2,3342550010615,18.8347,-1,3342,0.218386,13.6099,13.309906,13.6936,0.023645,100.0,0.01793665,0.004,282.9728341,-16.9860222,0.498571,t17_f5_c3,,13.6816,0.0047,,False,True,False,27.5.7a32.dev1,0.0,3.36352590061501e+18,ZTF22abjknnh
ztf,61099.54688660009,3345546880615010043,2,3345546880615,19.755026,-1,3345,0.10071548,13.530773,13.374028,13.5857,0.024542041,100.0,0.021242846,0.0025,282.9728592,-16.9860489,0.57285714,t17_f5_c3,0.9985486,13.5765,0.0027,1377120206.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abjknnh
ztf,61099.54688660009,3345546880615020043,2,3345546880615,19.755,-1,3345,0.100715,13.5308,13.374005,13.5857,0.024542,100.0,0.021241836,0.0025,282.9728592,-16.9860489,0.572857,t17_f5_c3,,13.5765,0.0027,,False,True,False,27.5.7a32.dev1,0.0,3.36352590061501e+18,ZTF22abjknnh
ztf,61100.54565969994,3346545650615010027,2,3346545650615,19.242535,-1,3346,0.18511693,13.59693,13.319849,13.6079,0.0272533,100.0,0.021114804,0.0028,282.9728431,-16.9860306,0.5714286,t17_f5_c3,1.0,13.5957,0.0032,1377120206.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abjknnh
ztf,61101.54494210007,3347544940615010010,2,3347544940615,17.693632,-1,3347,0.21968749,13.67408,13.263632,13.7785,0.019997258,100.0,0.013702225,0.0085,282.9728264,-16.9860465,0.54714286,t17_f5_c3,0.9999999,13.7788,0.0106,1377120206.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abjknnh
ztf,61105.54025459988,3351540250615010037,2,3351540250615,19.33014,-1,3351,0.06753995,13.52558,13.378543,13.5516,0.030681152,100.0,0.026795182,0.0026,282.9728752,-16.9860337,0.6,t17_f5_c3,1.0,13.5411,0.003,1377120206.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abjknnh
ztf,61105.54025459988,3351540250615020037,2,3351540250615,19.3301,-1,3351,0.06754,13.5256,13.378526,13.5516,0.030681,100.0,0.026794123,0.0026,282.9728752,-16.9860337,0.6,t17_f5_c3,,13.5411,0.003,,False,True,False,27.5.7a32.dev1,0.0,3.36352590061501e+18,ZTF22abjknnh
ztf,61108.540983799845,3354540980615020026,2,3354540980615,19.2041,-1,3354,0.28829,13.5628,13.34705,13.58,0.037494,100.0,0.030736988,0.0028,282.9728271,-16.9859929,0.557143,t17_f5_c3,,13.5692,0.0032,,False,True,False,27.5.7a32.dev1,0.0,3.36352590061501e+18,ZTF22abjknnh
ztf,61111.532627299894,3357532620615010042,2,3357532620615,19.852047,-1,3357,0.09486142,13.51594,13.387033,13.5632,0.028757624,100.0,0.02553821,0.0022,282.972864,-16.9860519,0.56714284,t17_f5_c3,0.9998272,13.5542,0.0025,1377120206.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abjknnh
ztf,61111.532627299894,3357532620615020042,2,3357532620615,19.852,-1,3357,0.094861,13.5159,13.387069,13.5632,0.028758,100.0,0.025540322,0.0022,282.972864,-16.9860519,0.567143,t17_f5_c3,,13.5542,0.0025,,False,True,False,27.5.7a32.dev1,0.0,3.36352590061501e+18,ZTF22abjknnh
ztf,61117.525902799796,3363525900615010039,2,3363525900615,20.07212,-1,3363,0.048357755,13.569444,13.341634,13.5927,0.028765162,100.0,0.02332076,0.0021,282.9728735,-16.9860408,0.61142856,t17_f5_c3,0.999989,13.5823,0.0023,1377120206.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abjknnh
