tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60353.558252300136,2599558253215015004,2,2599558253215,19.254538,1,2599,0.32283995,16.621538,14.3113165,16.7312,0.16955705,0.015271208,0.020194218,0.0404,285.0813694,-11.7434512,0.51857144,t17_f5_c3,0.97563607,16.7324,0.05,1377120232.0,True,True,False,23.12.x,0.0,,ZTF22abjkyfk
ztf,60353.55872689979,2599558723215015002,2,2599558723215,19.210398,1,2599,0.30510685,16.61741,14.310823,16.8464,0.15873553,0.013615293,0.018968778,0.0456,285.0813548,-11.7434271,0.55714285,t17_f5_c3,0.4071483,16.8185,0.0551,1377120232.0,True,True,False,23.12.x,0.0,,ZTF22abjkyfk
ztf,60353.55918980017,2599559183215015010,2,2599559183215,19.154823,1,2599,0.45039257,16.538603,14.3011,16.8306,0.13821022,0.011766727,0.017601063,0.0459,285.0814067,-11.7434518,0.5442857,t17_f5_c3,0.32737982,16.846,0.0578,1377120232.0,True,True,False,23.12.x,0.0,,ZTF22abjkyfk
ztf,61083.56328700017,3329563283215015003,2,3329563283215,19.08174,1,3329,0.18270627,15.56487,14.116902,15.6298,0.04402184,0.0035402868,0.011600619,0.0161,285.0813188,-11.7435024,0.6642857,t17_f5_c3,0.999949,15.6054,0.0194,1377120232.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abjkyfk
ztf,61096.5500115999,3342550013215015024,2,3342550013215,18.7098,1,3342,0.101088,15.2775,14.033495,15.4047,0.07402,0.021197187,0.023536783,0.0193,285.0812561,-11.7434507,0.67,t17_f5_c3,,15.3956,0.0236,,False,True,False,27.5.7a32.dev1,0.0,3.346545653215015e+18,ZTF22abjkyfk
ztf,61099.54688660009,3345546883215015003,2,3345546883215,19.727085,1,3345,0.26181585,15.755796,14.164049,15.8931,0.07435925,0.01270878,0.017164689,0.0147,285.0813126,-11.7435351,0.69142854,t17_f5_c3,0.955932,15.8814,0.0173,1377120232.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abjkyfk
ztf,61099.54688660009,3345546883215025003,2,3345546883215,19.7271,1,3345,0.261816,15.7558,14.16405,15.8931,0.074359,0.012708648,0.017164595,0.0147,285.0813126,-11.7435351,0.691429,t17_f5_c3,,15.8814,0.0173,,False,True,False,27.5.7a32.dev1,0.0,3.363525903215015e+18,ZTF22abjkyfk
ztf,61100.54565969994,3346545653215015004,2,3346545653215,19.342983,1,3346,0.24057189,15.855125,14.186184,15.9084,0.047687236,100.0,0.010252399,0.0179,285.0813195,-11.7435216,0.7557143,t17_f5_c3,0.9999999,15.9055,0.0218,1377120232.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abjkyfk
ztf,61105.54025459988,3351540253215015002,2,3351540253215,19.369131,1,3351,0.28872794,15.929743,14.201799,16.0663,0.070140906,0.007828195,0.014282158,0.0204,285.0812818,-11.7435506,0.70285714,t17_f5_c3,0.99993527,16.0692,0.025,1377120232.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abjkyfk
ztf,61105.54025459988,3351540253215025002,2,3351540253215,19.3691,1,3351,0.288728,15.9297,14.201791,16.0663,0.070141,0.007829219,0.014282637,0.0204,285.0812818,-11.7435506,0.702857,t17_f5_c3,,16.0692,0.025,,False,True,False,27.5.7a32.dev1,0.0,3.363525903215015e+18,ZTF22abjkyfk
ztf,61108.540983799845,3354540983215015004,2,3354540983215,19.18762,1,3354,0.14475375,16.05234,14.225665,16.1721,0.053467102,100.0,0.009940695,0.0234,285.0813201,-11.7434684,0.7242857,t17_f5_c3,0.9683081,16.161,0.0284,1377120232.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22abjkyfk
