tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59865.51682869997,2111516822415015002,2,2111516822415,19.5286,1,2111,0.720723,19.7779,18.39762,19.6552,0.223801,0.05540523,0.06276966,0.4169,145.6500133,-10.2139724,0.888571,t17_f5_c3,19.9331,0.6908,False,True,False,1.1.6,0.0,2.112514562415015e+18,,,ZTF22abnfbik
ztf,59865.51939810021,2111519392415015002,2,2111519392415,19.5131,1,2111,0.349692,19.9966,18.454647,20.0899,0.3045,0.066697046,0.07358794,0.6122,145.6498744,-10.2140875,0.774286,t17_f5_c3,19.552,0.4786,False,True,False,1.1.6,0.0,2.112514562415015e+18,,,ZTF22abnfbik
ztf,59866.51456019981,2112514562415015006,2,2112514562415,19.616934,1,2112,0.41259328,19.454405,18.296757,19.3452,0.16553906,0.05025706,0.056995604,0.2963,145.649919,-10.2140584,0.94,t17_f5_c3,19.3334,0.3757,True,True,False,1.1.6,0.0,,0.9999757,365120224.0,ZTF22abnfbik
ztf,59866.51714120014,2112517142415015004,2,2112517142415,19.6294,1,2112,0.201109,19.7875,18.400305,19.8833,0.217745,0.052989304,0.060683362,0.4811,145.6498599,-10.2140411,0.928571,t17_f5_c3,19.6346,0.4901,False,True,False,1.1.6,0.0,2.112519722415015e+18,,,ZTF22abnfbik
ztf,59866.5197222,2112519722415015005,2,2112519722415,19.713236,1,2112,0.22418644,19.715654,18.379799,19.4686,0.17639028,0.042591546,0.05153857,0.3176,145.6498751,-10.2140131,0.92714286,t17_f5_c3,19.485,0.4132,True,True,False,1.1.6,0.0,,0.9998348,365120224.0,ZTF22abnfbik
ztf,59866.52487270022,2112524872415015003,2,2112524872415,19.685255,1,2112,0.46027774,19.713545,18.379183,19.3349,0.21686952,0.056436487,0.063453175,0.2791,145.6499046,-10.2141023,0.87857145,t17_f5_c3,19.1308,0.2964,True,True,False,1.1.6,0.0,,0.999977,365120224.0,ZTF22abnfbik
ztf,59880.48086810019,2126480862415015003,2,2126480862415,19.857052,1,2126,0.12163303,19.906324,18.432133,20.6312,0.20187731,0.042062074,0.051929135,0.6599,145.6498453,-10.2140054,0.7942857,t17_f5_c3,20.4424,0.7094,True,True,False,1.1.6,0.0,,0.9998739,365120224.0,ZTF22abnfbik
ztf,59897.47859949991,2143478592415015003,1,2143478592415,19.31305,1,2143,0.17902113,19.499714,18.79517,19.3525,0.21220165,0.10879936,0.11089991,0.2778,145.6497962,-10.2140446,0.73571426,t17_f5_c3,19.2028,0.3107,True,True,False,1.1.6,0.0,,0.9996834,365120124.0,ZTF22abnfbik
ztf,59898.47276620008,2144472762415015005,2,2144472762415,19.935043,1,2144,0.11725009,19.66471,18.364664,19.6703,0.17152771,0.04317459,0.051798414,0.3062,145.6498338,-10.2139919,0.9285714,t17_f5_c3,20.1368,0.6021,True,True,False,1.1.6,0.0,,0.9999206,365120224.0,ZTF22abnfbik
ztf,59900.50026619993,2146500262415015007,1,2146500262415,19.6742,1,2146,0.163711,19.8542,18.965986,19.7491,0.24342,0.104432404,0.10741633,0.2824,145.6498172,-10.2139519,0.661429,t17_f5_c3,19.7199,0.3519,False,True,False,1.1.6,0.0,2.146506002415015e+18,,,ZTF22abnfbik
ztf,59900.50600690022,2146506002415015006,2,2146506002415,19.682526,1,2146,0.12601864,19.81161,18.40697,19.9315,0.21237646,0.050069373,0.05824389,0.3441,145.6498199,-10.2139768,0.7885714,t17_f5_c3,19.6065,0.3264,True,True,False,1.1.6,0.0,,0.99773264,365120224.0,ZTF22abnfbik
ztf,59901.50478010019,2147504782415015004,1,2147504782415,20.161276,1,2147,0.14686783,19.611734,18.85227,19.6618,0.1347093,0.062982276,0.06692863,0.2241,145.6498297,-10.2140335,0.94142854,t17_f5_c3,19.9266,0.3654,True,True,False,1.1.6,0.0,,0.9999932,365120124.0,ZTF22abnfbik
ztf,59901.55791669991,2147557912415015005,2,2147557912415,19.932863,1,2147,0.13821973,19.628527,18.353611,19.5254,0.16415867,0.042087954,0.05073379,0.281,145.6498412,-10.2140324,0.92285717,t17_f5_c3,19.6122,0.3893,True,True,False,1.1.6,0.0,,0.98378056,365120224.0,ZTF22abnfbik
ztf,59902.46439810004,2148464392415015010,1,2148464392415,19.5123,1,2148,0.446352,19.2886,18.67974,19.5879,0.244624,0.1382799,0.13962243,0.2214,145.6498639,-10.2141122,0.45,t17_f5_c3,19.704,0.3147,False,True,False,1.1.6,0.0,2.152422702415015e+18,,,ZTF22abnfbik
