tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60470.35452549998,2716354520615015040,2,2716354520615,20.3501,1,2716,0.072119,14.2947,13.199481,14.3591,0.036081,100.0,0.013158036,0.004,266.8047255,-13.5004854,0.667143,t17_f5_c3,14.3457,0.0042,False,True,False,24.5.1,0.0,2.745333480615015e+18,,,ZTF22abrrptd
ztf,60470.396006899886,2716396000615015038,1,2716396000615,20.1,1,2716,0.229279,16.2446,15.181566,16.1934,0.03908,100.0,0.014680498,0.0121,266.8046827,-13.5005497,0.85,t17_f5_c3,16.184,0.0139,False,True,False,24.5.1,0.0,2.745333480615015e+18,,,ZTF22abrrptd
ztf,60470.43269680021,2716432696015015016,1,2716432696015,19.9054,1,2716,0.210109,16.0938,15.158663,16.1457,0.036989,100.0,0.015632123,0.0128,266.804679,-13.5005005,0.677143,t17_f5_c3,16.1068,0.0142,False,True,False,24.5.1,0.0,2.745333480615015e+18,,,ZTF22abrrptd
ztf,60470.457094899844,2716457096015015018,2,2716457096015,19.9997,1,2716,0.210568,14.36,13.1907835,14.4865,0.044655,0.009515624,0.015211902,0.0051,266.8047169,-13.5005114,0.732857,t17_f5_c3,14.4444,0.0053,False,True,False,24.5.1,0.0,2.745333480615015e+18,,,ZTF22abrrptd
ztf,60472.33615740016,2718336150615015033,2,2718336150615,20.3058,1,2718,0.113662,14.3385,13.21525,14.3993,0.039837,100.0,0.014157503,0.0042,266.8047104,-13.5005017,0.655714,t17_f5_c3,14.3835,0.0044,False,True,False,24.5.1,0.0,2.745333480615015e+18,,,ZTF22abrrptd
ztf,60473.33495370019,2719334956015015018,1,2719334956015,20.7126,1,2719,0.154281,16.1438,15.179514,16.2382,0.039634,100.0,0.016306218,0.0115,266.8047121,-13.500507,0.804286,t17_f5_c3,16.2148,0.0123,False,True,False,24.5.1,0.0,2.745333480615015e+18,,,ZTF22abrrptd
ztf,60475.284374999814,2721284376015015009,2,2721284376015,20.0043,1,2721,0.306131,14.3875,13.200073,14.4876,0.036693,0.0027929018,0.012291717,0.0051,266.8047124,-13.5005404,0.73,t17_f5_c3,14.4611,0.0053,False,True,False,24.5.1,0.0,2.745333480615015e+18,,,ZTF22abrrptd
ztf,60475.315266199876,2721315260615015034,2,2721315260615,19.9849,1,2721,0.219302,14.295,13.199591,14.3766,0.040317,100.0,0.014700238,0.0043,266.8047248,-13.5005308,0.625714,t17_f5_c3,14.3554,0.0046,False,True,False,24.5.1,0.0,2.745333480615015e+18,,,ZTF22abrrptd
ztf,60475.336041700095,2721336046015015009,1,2721336046015,20.1805,1,2721,0.24763,16.1897,15.198163,16.238,0.038973,100.0,0.015636858,0.0129,266.8047091,-13.5005377,0.877143,t17_f5_c3,16.2133,0.0143,False,True,False,24.5.1,0.0,2.745333480615015e+18,,,ZTF22abrrptd
ztf,60475.37438660022,2721374380615015024,1,2721374380615,20.2779,1,2721,0.077053,16.2591,15.18699,16.251,0.030617,100.0,0.011405614,0.0124,266.804714,-13.500517,0.854286,t17_f5_c3,16.2251,0.0138,False,True,False,24.5.1,0.0,2.745333480615015e+18,,,ZTF22abrrptd
ztf,60477.27335650008,2723273356015015011,1,2723273356015,19.8146,1,2723,0.102117,16.0417,15.136339,16.2074,0.058626,0.018466411,0.025465127,0.0155,266.8047331,-13.5004993,0.585714,t17_f5_c3,16.1635,0.0176,False,True,False,24.5.1,0.0,2.745333480615015e+18,,,ZTF22abrrptd
ztf,60477.273831000086,2723273830615015030,1,2723273830615,19.731,1,2723,0.091365,16.5034,15.271707,16.3259,0.086169,0.022425164,0.027712356,0.0168,266.8047333,-13.5005183,0.764286,t17_f5_c3,16.3276,0.0203,False,True,False,24.5.1,0.0,2.745333480615015e+18,,,ZTF22abrrptd
ztf,60477.335243099835,2723335240615015035,2,2723335240615,19.8912,1,2723,0.143429,14.3383,13.2151785,14.3964,0.038463,100.0,0.013670828,0.0045,266.8047176,-13.5005087,0.731429,t17_f5_c3,14.387,0.0048,False,True,False,24.5.1,0.0,2.745333480615015e+18,,,ZTF22abrrptd
