tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59870.50324069988,2116503243415015002,1,2116503243415,19.5159,1,2116,0.22568,18.048,15.038852,18.3005,0.197123,100.0,0.012333258,0.1121,131.057129,-16.1727606,0.66,t17_f5_c3,18.3685,0.1459,False,True,False,1.1.6,0.0,2.146481483415015e+18,,,ZTF22abuluvp
ztf,59879.462580999825,2125462583415015001,1,2125462583415,19.8144,1,2125,0.426539,18.313,15.053664,18.3644,0.148012,100.0,0.00735466,0.0958,131.0572615,-16.1728483,0.725714,t17_f5_c3,18.263,0.1032,False,True,False,1.1.6,0.0,2.146481483415015e+18,,,ZTF22abuluvp
ztf,59881.46726850001,2127467263415015003,1,2127467263415,20.1505,1,2127,0.56707,17.7662,15.018905,17.8413,0.113326,100.0,0.009024267,0.0562,131.0572108,-16.1725885,0.697143,t17_f5_c3,17.8184,0.0643,False,True,False,1.1.6,0.0,2.146481483415015e+18,,,ZTF22abuluvp
ztf,59881.49915509997,2127499153415015003,2,2127499153415,20.2027,1,2127,0.443443,17.2751,14.399338,17.139,0.127462,100.0,0.009017278,0.0324,131.0572552,-16.1728483,0.677143,t17_f5_c3,17.1668,0.0378,False,True,False,1.1.6,0.0,2.146481483415015e+18,,,ZTF22abuluvp
ztf,59893.47747689998,2139477473415015001,2,2139477473415,19.1132,1,2139,0.259198,17.3021,14.401226,17.3652,0.120366,100.0,0.008320595,0.0584,131.0572403,-16.1726842,0.608571,t17_f5_c3,17.3674,0.0717,False,True,False,1.1.6,0.0,2.146481483415015e+18,,,ZTF22abuluvp
ztf,59900.48148149997,2146481483415015005,1,2146481483415,19.603918,1,2146,0.9924709,17.687107,15.012391,18.0026,0.122840025,100.0,0.01045812,0.0718,131.0572106,-16.1724686,0.71,t17_f5_c3,18.002,0.0865,True,True,False,1.1.6,0.0,,0.99857515,312120134.0,ZTF22abuluvp
ztf,59901.50287039997,2147502873415015002,1,2147502873415,20.1406,1,2147,0.313339,18.2864,15.052326,18.2245,0.129895,100.0,0.006606374,0.0767,131.0572869,-16.1727396,0.738571,t17_f5_c3,18.2068,0.0891,False,True,False,1.1.6,0.0,2.156462313415015e+18,,,ZTF22abuluvp
ztf,59910.462314799894,2156462313415015002,2,2156462313415,20.102568,1,2156,0.85152864,17.299873,14.401072,17.2817,0.07369034,100.0,0.0051037557,0.0389,131.0572538,-16.1725077,0.6957143,t17_f5_c3,17.2777,0.045,True,True,False,1.1.6,0.0,,0.97386444,312120234.0,ZTF22abuluvp
ztf,60052.16864580009,2298168643415015002,2,2298168643415,19.671,1,2298,1.1219758,17.726507,14.425785,17.4123,0.13162008,100.0,0.006295544,0.0513,131.0573664,-16.1724689,0.5642857,t17_f5_c3,17.4353,0.0611,True,True,False,1.1.6,0.0,,0.99987847,312120234.0,ZTF22abuluvp
ztf,60295.50585650001,2541505853415015003,2,2541505853415,19.186497,1,2541,1.0595152,17.340244,14.40382,17.8088,0.123417236,100.0,0.008256691,0.0937,131.057289,-16.1724567,0.53,t17_f5_c3,17.9142,0.1256,True,True,False,23.12.x,0.0,,0.95782554,312120234.0,ZTF22abuluvp
ztf,60631.4210994998,2877421093415015000,2,2877421093415,19.109621,1,2877,1.0148053,17.603022,14.419547,17.9061,0.12545115,100.0,0.006684747,0.1132,131.0572421,-16.1724583,0.5742857,t17_f5_c3,18.1077,0.1691,True,True,False,25.0.0,0.0,,0.95209205,312120234.0,ZTF22abuluvp
ztf,60698.33120370004,2944331203415015004,2,2944331203415,19.802599,1,2944,1.1297731,17.82687,14.43038,17.9354,0.083040215,100.0,0.0036365744,0.069,131.0572879,-16.1724345,0.73285717,t17_f5_c3,17.9641,0.0824,True,True,False,26.0.1,0.0,,0.99902654,312120234.0,ZTF22abuluvp
ztf,61015.37822919991,3261378223415015000,2,3261378223415,19.2049,1,3261,0.867583,17.4721,14.412158,17.6777,0.081189,100.0,0.0048475335,0.0912,131.0574298,-16.172663,0.594286,t17_f5_c3,17.6362,0.1088,False,True,False,27.5.7a32.dev1,0.0,3.275441603415015e+18,,,ZTF22abuluvp
ztf,61029.44160880009,3275441603415015002,1,3275441603415,20.39513,1,3275,1.0846047,18.375593,15.05669,18.5595,0.14013804,100.0,0.0065916623,0.0918,131.0571917,-16.1724387,0.42142856,t17_f5_c3,18.5162,0.1014,True,True,False,27.5.7a32.dev1,0.0,,0.53324246,312120134.0,ZTF22abuluvp
ztf,61052.30153940013,3298301533415015000,2,3298301533415,19.242447,1,3298,1.201389,17.644007,14.421693,17.9162,0.15730008,100.0,0.008087297,0.0688,131.0573753,-16.1724517,0.4842857,t17_f5_c3,17.7698,0.0711,True,True,False,27.5.7a32.dev1,0.0,,0.5132164,312120234.0,ZTF22abuluvp
