tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,drb,rfid,oid
ztf,59972.56490739994,2218564900015015035,2,2218564900015,18.7792,1,2218,1.72724,16.7193,16.7157,0.062739,0.0477,280.7358457,-5.0390826,0.597143,t17_f5_c3,16.6176,0.0539,False,False,False,1.1.6,0.0,2.233558310015015e+18,,,,,,ZTF22abvgkcl
ztf,59972.569629599806,2218569620015015019,2,2218569620015,18.6451,1,2218,0.7697,16.8931,16.7448,0.145031,0.0536,280.7361141,-5.0390372,0.618571,t17_f5_c3,16.6956,0.064,False,True,True,1.1.6,0.0,2.233558310015015e+18,14.120101,100.0,0.0112787485,,,ZTF22abvgkcl
ztf,59985.548692100216,2231548690015015107,2,2231548690015,18.7528,1,2231,0.604266,16.3636,16.5312,0.050479,0.0351,280.7361675,-5.039044,0.512857,t17_f5_c3,16.4868,0.0414,False,True,True,1.1.6,0.0,2.233558310015015e+18,14.068286,100.0,0.006095159,,,ZTF22abvgkcl
ztf,59985.5537963002,2231553790015015107,2,2231553790015,18.7358,1,2231,0.640626,16.5852,16.3587,0.068829,0.03,280.7361569,-5.03889,0.485714,t17_f5_c3,16.2538,0.0334,False,True,True,1.1.6,0.0,2.233558310015015e+18,14.092763,100.0,0.006931015,,,ZTF22abvgkcl
ztf,59987.55070600007,2233550700015015029,2,2233550700015,18.8668,1,2233,0.489899,16.6302,16.5853,0.08436,0.039,280.7362688,-5.0390961,0.72,t17_f5_c3,16.5075,0.0448,False,True,True,1.1.6,0.0,2.233558310015015e+18,14.097211,100.0,0.008183538,,,ZTF22abvgkcl
ztf,59987.55324070016,2233553240015015041,2,2233553240015,18.7825,1,2233,1.49072,16.421,16.4422,0.073768,0.0348,280.7359105,-5.0390642,0.598571,t17_f5_c3,16.3286,0.0386,False,False,False,1.1.6,0.0,2.233558310015015e+18,,,,,,ZTF22abvgkcl
ztf,59987.558310199995,2233558310015015007,2,2233558310015,18.852848,1,2233,1.3527721,16.471205,16.7502,0.06869799,0.0446,280.7359627,-5.0388334,0.59,t17_f5_c3,16.603,0.048,True,True,True,1.1.6,0.0,,14.080726,100.0,0.0075989277,0.28416264,435120200.0,ZTF22abvgkcl
ztf,60699.57327549998,2945573270015015006,2,2945573270015,18.0986,1,2945,1.2107,16.8638,16.7675,0.115156,0.0936,280.7359785,-5.03899,0.444286,t17_f5_c3,16.7905,0.1216,False,True,False,26.0.1,0.0,2.951564030015015e+18,14.117794,100.0,0.009180874,,,ZTF22abvgkcl
ztf,60705.56403939985,2951564030015015063,2,2951564030015,18.710272,1,2951,2.1167083,16.229162,16.3537,0.09669797,0.0358,280.7357337,-5.0388479,0.4457143,t17_f5_c3,16.2124,0.0389,True,False,True,26.0.1,0.0,,,,,0.03779319,435120200.0,ZTF22abvgkcl
ztf,60842.26792819984,3088267920015015012,1,3088267920015,20.0842,1,3088,0.656914,17.156,17.1147,0.068854,0.0324,280.7362154,-5.0391166,0.858571,t17_f5_c3,17.1267,0.0379,False,True,False,27.5.6,0.0,3.117236900015015e+18,14.710391,100.0,0.007239118,,,ZTF22abvgkcl
