tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60688.56687500002,2934566870815010010,2,2934566870815,18.3487,-1,2934,0.280941,17.4414,15.339318,17.9652,0.122841,100.0,0.017721906,0.1648,276.2121372,13.3201191,0.561429,t17_f5_c3,17.9789,0.2125,False,True,False,26.0.1,0.0,2.941563044115015e+18,,,ZTF22abwwpxc
ztf,60688.57030089991,2934570300815010024,2,2934570300815,18.1341,-1,2934,0.472866,17.679,15.30896,18.1414,0.144529,100.0,0.016290663,0.1941,276.2121394,13.3200387,0.525714,t17_f5_c3,18.2591,0.2757,False,True,False,26.0.1,0.0,2.941563044115015e+18,,,ZTF22abwwpxc
ztf,60691.569282399956,2937569284115010017,2,2937569284115,19.0558,-1,2937,0.132588,16.5147,15.395122,16.6016,0.036796,100.0,0.013121067,0.0367,276.2122058,13.3201466,0.905714,t17_f5_c3,16.6079,0.0467,False,True,False,26.0.1,0.0,2.941563044115015e+18,,,ZTF22abwwpxc
ztf,60691.57135420013,2937571354115010027,2,2937571354115,18.9865,-1,2937,0.079692,16.4431,15.42184,16.5154,0.037053,100.0,0.014465028,0.0354,276.2122163,13.3201676,0.881429,t17_f5_c3,16.5688,0.0471,False,True,False,26.0.1,0.0,2.941563044115015e+18,,,ZTF22abwwpxc
ztf,60691.57182870014,2937571824115010018,2,2937571824115,19.0721,-1,2937,0.149023,16.476,15.409262,16.5505,0.053351,100.0,0.019973187,0.0367,276.212174,13.3201441,0.927143,t17_f5_c3,16.5334,0.0457,False,True,False,26.0.1,0.0,2.941563044115015e+18,,,ZTF22abwwpxc
ztf,60692.5628819,2938562880815010000,2,2938562880815,19.0295,-1,2938,0.004575,17.16,15.38668,17.3958,0.072591,100.0,0.014176034,0.0682,276.2122118,13.3201529,0.867143,t17_f5_c3,17.3607,0.0832,False,True,False,26.0.1,0.0,2.941563044115015e+18,,,ZTF22abwwpxc
ztf,60692.56814809982,2938568140815010000,2,2938568140815,19.0352,-1,2938,0.128415,17.3451,15.353944,17.4603,0.075596,100.0,0.012079147,0.071,276.2122474,13.3201594,0.755714,t17_f5_c3,17.4474,0.0884,False,True,False,26.0.1,0.0,2.941563044115015e+18,,,ZTF22abwwpxc
ztf,60692.571562500205,2938571560815010001,2,2938571560815,19.0251,-1,2938,0.076059,17.2943,15.362286,17.3924,0.069891,100.0,0.011792765,0.0692,276.2121905,13.3201435,0.845714,t17_f5_c3,17.3816,0.0864,False,True,False,26.0.1,0.0,2.941563044115015e+18,,,ZTF22abwwpxc
ztf,60693.56722219987,2939567220815015000,2,2939567220815,19.4123,1,2939,0.911045,17.8594,15.103635,17.9616,0.186892,100.0,0.014766741,0.1015,276.2119482,13.3201696,0.332857,t17_f5_c3,17.8791,0.1177,False,True,False,26.0.1,0.0,2.941563044115015e+18,,,ZTF22abwwpxc
ztf,60694.56082180003,2940560820815015000,2,2940560820815,19.3575,1,2940,0.222316,17.0545,15.013247,17.1747,0.082871,100.0,0.012644476,0.046,276.2121652,13.3201958,0.892857,t17_f5_c3,17.1311,0.0547,False,True,False,26.0.1,0.0,2.941563044115015e+18,,,ZTF22abwwpxc
ztf,60694.56368059991,2940563680815015000,2,2940563680815,19.3542,1,2940,0.042763,17.2048,15.034877,17.0891,0.094297,100.0,0.012779934,0.043,276.2122164,13.320162,0.744286,t17_f5_c3,17.099,0.0538,False,True,False,26.0.1,0.0,2.941563044115015e+18,,,ZTF22abwwpxc
ztf,60694.5691550998,2940569150815015000,2,2940569150815,19.2032,1,2940,0.490992,16.8921,14.986841,16.935,0.070045,100.0,0.012113623,0.04,276.2120696,13.3201403,0.821429,t17_f5_c3,16.9657,0.0513,False,True,False,26.0.1,0.0,2.941563044115015e+18,,,ZTF22abwwpxc
ztf,60695.56304399995,2941563044115015040,2,2941563044115,18.717728,1,2941,1.3008063,17.104578,14.909732,17.2361,0.10372193,100.0,0.013738272,0.044,276.2118215,13.3201461,0.46142858,t17_f5_c3,17.1584,0.0508,True,True,False,26.0.1,0.0,,0.66598356,538120241.0,ZTF22abwwpxc
ztf,61051.581990700215,3297581990815015000,2,3297581990815,17.527325,1,3297,1.1657771,17.022932,15.008369,17.0396,0.12626031,0.010254678,0.01974431,0.1226,276.2118831,13.3200761,0.5542857,t17_f5_c3,16.8781,0.1353,True,True,False,27.5.7a32.dev1,0.0,,0.87961674,1584120208.0,ZTF22abwwpxc
ztf,61052.571886599995,3298571880815015007,2,3298571880815,18.2348,1,3298,0.535307,16.7373,14.958443,16.6768,0.071741,100.0,0.013938763,0.0496,276.2120748,13.3200806,0.46,t17_f5_c3,16.6045,0.0585,False,True,False,27.5.7a32.dev1,0.0,3.299571510815015e+18,,,ZTF22abwwpxc
ztf,61053.57151619997,3299571510815015000,2,3299571510815,18.684177,1,3299,1.2123401,17.204638,15.034855,17.2248,0.10954723,100.0,0.014848691,0.0552,276.211864,13.3202015,0.51714283,t17_f5_c3,17.1896,0.0669,True,True,False,27.5.7a32.dev1,0.0,,0.7184657,1584120208.0,ZTF22abwwpxc
