tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59970.228379600216,2216228375215015013,2,2216228375215,19.3492,1,2216,0.697731,13.5123,12.344204,13.5798,0.02291,100.0,0.0078124427,0.0029,102.5422913,-13.8791098,0.464286,t17_f5_c3,13.5407,0.0029,False,True,False,1.1.6,0.0,2.216272665215015e+18,,,ZTF23aabgxgm
ztf,59970.2726619998,2216272665215015007,1,2216272665215,19.26209,1,2216,2.0174875,14.707674,,15.3082,0.058119025,,,0.0116,102.5426407,-13.8789297,0.36857143,t17_f5_c3,15.2109,0.0114,True,False,False,1.1.6,0.0,,0.04490501,308120152.0,ZTF23aabgxgm
ztf,60368.28813660005,2614288135215015022,2,2614288135215,19.0854,1,2614,0.264512,13.5533,12.358012,13.6249,0.025264,100.0,0.008402083,0.0036,102.5421487,-13.8792158,0.568571,t17_f5_c3,13.5805,0.0039,False,True,False,23.12.x,0.0,2.620215465215015e+18,,,ZTF23aabgxgm
ztf,60374.215462999884,2620215465215015041,1,2620215465215,19.972918,1,2620,1.2357084,15.820453,12.554033,15.9189,0.059387196,100.0,0.0029317366,0.0195,102.542444,-13.879045,0.29142857,t17_f5_c3,15.819,0.0208,True,True,True,23.12.x,0.0,,0.3697276,308120152.0,ZTF23aabgxgm
ztf,60397.20371530019,2643203715215015023,1,2643203715215,19.671532,1,2643,1.090314,15.344118,12.524909,15.4528,0.075341344,100.0,0.0056149997,0.0141,102.5424171,-13.8791122,0.30571428,t17_f5_c3,15.3448,0.0148,True,True,True,23.12.x,0.0,,0.11078173,308120152.0,ZTF23aabgxgm
ztf,60658.3193518999,2904319355215015070,2,2904319355215,18.4359,1,2904,0.318535,13.5935,12.371217,13.6297,0.026048,100.0,0.008450086,0.0059,102.5421313,-13.8792445,0.525714,t17_f5_c3,13.6004,0.0069,False,True,False,26.0.1,0.0,2.932233135215015e+18,,,ZTF23aabgxgm
ztf,60659.436134300195,2905436135215015027,2,2905436135215,18.7448,1,2905,0.38419,14.5854,12.605769,14.7747,0.053316,100.0,0.0086100465,0.0113,102.5422078,-13.8791409,0.734286,t17_f5_c3,14.7664,0.0133,False,True,False,26.0.1,0.0,2.932233135215015e+18,,,ZTF23aabgxgm
ztf,60666.33680560021,2912336805215015031,2,2912336805215,19.5915,1,2912,0.279131,13.5823,12.367571,13.6133,0.039009,100.0,0.012743043,0.0035,102.5421484,-13.879218,0.467143,t17_f5_c3,13.6013,0.0037,False,True,False,26.0.1,0.0,2.932233135215015e+18,,,ZTF23aabgxgm
ztf,60666.40076390002,2912400765215015033,1,2912400765215,20.0999,1,2912,0.712732,15.4327,12.531267,15.3782,0.100003,100.0,0.0069093923,0.0115,102.5422184,-13.8789876,0.544286,t17_f5_c3,15.2535,0.0115,False,True,False,26.0.1,0.0,2.932233135215015e+18,,,ZTF23aabgxgm
ztf,60666.40076390002,2912400765215015041,1,2912400765215,20.0999,1,2912,1.0785,15.2455,12.517242,15.2316,0.018103,100.0,0.001467059,0.0114,102.5422443,-13.8788835,0.52,t17_f5_c3,15.2241,0.0118,False,True,False,26.0.1,0.0,2.932233135215015e+18,,,ZTF23aabgxgm
