tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59966.31476850016,2212314761215015024,1,2212314761215,20.0952,1,2212,0.374679,17.4724,15.079968,17.59,0.111617,0.007492015,0.0123241665,0.0436,116.5613889,-26.877326,0.744286,t17_f5_c3,17.6083,0.0522,False,True,False,1.1.6,0.0,2.230232391215015e+18,,,ZTF23aaccbpk
ztf,59968.31480319984,2214314801215015056,1,2214314801215,19.6846,1,2214,0.288473,17.5606,15.089363,17.5374,0.093558,100.0,0.009606957,0.0477,116.5614664,-26.8774502,0.73,t17_f5_c3,17.558,0.0587,False,True,False,1.1.6,0.0,2.240251931215015e+18,,,ZTF23aaccbpk
ztf,59969.27188660018,2215271881215015034,1,2215271881215,19.4635,1,2215,0.439182,17.4031,15.072096,17.5282,0.078013,100.0,0.00911519,0.045,116.5614079,-26.8775518,0.718571,t17_f5_c3,17.5243,0.054,False,True,False,1.1.6,0.0,2.240251931215015e+18,,,ZTF23aaccbpk
ztf,59970.330335599836,2216330331215015058,2,2216330331215,18.986,1,2216,0.561861,17.1596,14.921227,17.4817,0.141296,0.016909892,0.017979642,0.0497,116.5613941,-26.877587,0.344286,t17_f5_c3,17.4787,0.0609,False,True,False,1.1.6,0.0,2.240251931215015e+18,,,ZTF23aaccbpk
ztf,59972.35987270018,2218359871215015090,1,2218359871215,19.4927,1,2218,0.727775,17.457,15.078258,17.4479,0.091468,0.003024811,0.010227556,0.0469,116.5613406,-26.8776326,0.648571,t17_f5_c3,17.4143,0.0553,False,True,False,1.1.6,0.0,2.240251931215015e+18,,,ZTF23aaccbpk
ztf,59979.25175930001,2225251751215015006,1,2225251751215,18.9411,1,2225,0.122164,17.5577,15.089065,17.8097,0.129526,0.00896526,0.013332238,0.1255,116.5613407,-26.8774361,0.758571,t17_f5_c3,17.7606,0.1521,False,True,False,1.1.6,0.0,2.230232391215015e+18,,,ZTF23aaccbpk
ztf,59982.25155089982,2228251551215015039,2,2228251551215,18.7109,1,2228,0.418468,17.0729,14.909803,17.3841,0.110967,0.01387419,0.015134035,0.0702,116.5612559,-26.8774911,0.564286,t17_f5_c3,17.3082,0.0823,False,True,False,1.1.6,0.0,2.230232391215015e+18,,,ZTF23aaccbpk
ztf,59984.23239579983,2230232391215015038,1,2230232391215,18.98125,1,2230,1.2617834,17.342916,15.06489,17.4858,0.085124664,0.0039917845,0.010443465,0.0661,116.5610151,-26.8772853,0.5985714,t17_f5_c3,17.5108,0.0845,True,True,False,1.1.6,0.0,,0.8576143,261120112.0,ZTF23aaccbpk
ztf,59985.23070599977,2231230701215015026,2,2231230701215,19.3652,1,2231,0.093635,17.0213,14.902619,17.3593,0.089741,0.01124738,0.012750255,0.0469,116.5613407,-26.8774378,0.525714,t17_f5_c3,17.29,0.0537,False,True,False,1.1.6,0.0,2.240251931215015e+18,,,ZTF23aaccbpk
ztf,59985.25365740014,2231253651215015027,1,2231253651215,18.979477,1,2231,1.5645024,17.605135,,17.6002,0.11124916,,,0.0616,116.5609717,-26.877181,0.5157143,t17_f5_c3,17.5128,0.0706,True,False,True,1.1.6,0.0,,0.77920055,261120112.0,ZTF23aaccbpk
ztf,59994.25193289993,2240251931215015017,1,2240251931215,19.804512,1,2240,0.68276346,17.587763,15.092121,17.4896,0.089763544,100.0,0.009012456,0.0459,116.5611663,-26.8773927,0.72571427,t17_f5_c3,17.4958,0.0555,True,True,False,1.1.6,0.0,,0.9371604,261120112.0,ZTF23aaccbpk
ztf,60695.33575229999,2941335751215015075,1,2941335751215,19.5755,1,2941,0.091474,16.9963,15.015915,17.1245,0.042256,100.0,0.0068192147,0.036,116.5613896,-26.8774534,0.727143,t17_f5_c3,17.1265,0.0438,False,True,False,26.0.1,0.0,2.971229561215015e+18,,,ZTF23aaccbpk
ztf,60696.314919000026,2942314911215015040,1,2942314911215,19.1031,1,2942,0.663794,17.2607,15.0544615,17.293,0.10064,0.009090691,0.0131909195,0.0369,116.5612413,-26.8775726,0.567143,t17_f5_c3,17.2489,0.0429,False,True,False,26.0.1,0.0,2.971229561215015e+18,,,ZTF23aaccbpk
ztf,60714.315196800046,2960315191215015032,1,2960315191215,18.8946,1,2960,0.315769,17.2278,15.050092,17.1908,0.083152,0.005879226,0.01118895,0.0596,116.561456,-26.8774862,0.782857,t17_f5_c3,17.1734,0.0737,False,True,False,26.0.1,0.0,2.971229561215015e+18,,,ZTF23aaccbpk
ztf,60722.230763900094,2968230761215015103,2,2968230761215,18.4912,1,2968,0.159878,16.5086,14.813294,16.7464,0.10535,0.021402955,0.022106113,0.0557,116.5613215,-26.8774473,0.53,t17_f5_c3,16.6502,0.0641,False,True,False,26.0.1,0.0,2.971229561215015e+18,,,ZTF23aaccbpk
ztf,60722.253321799915,2968253321215015030,1,2968253321215,18.4992,1,2968,0.142018,17.0593,15.025837,17.0057,0.083862,0.008912309,0.012887846,0.0685,116.5613564,-26.8774661,0.75,t17_f5_c3,17.0483,0.0898,False,True,False,26.0.1,0.0,2.971229561215015e+18,,,ZTF23aaccbpk
ztf,60724.31954859989,2970319541215015019,2,2970319541215,19.2065,1,2970,0.310423,16.8189,14.871459,17.061,0.050128,0.0059566963,0.0083388155,0.0425,116.5613424,-26.8775146,0.675714,t17_f5_c3,17.0518,0.0516,False,True,False,26.0.1,0.0,2.971229561215015e+18,,,ZTF23aaccbpk
ztf,60725.229560200125,2971229561215015066,1,2971229561215,19.42789,1,2971,0.87292653,16.784906,14.978891,16.9615,0.07216513,0.010368849,0.013674811,0.0409,116.5613142,-26.877192,0.42142856,t17_f5_c3,16.9697,0.0502,True,True,False,26.0.1,0.0,,0.9635253,261120112.0,ZTF23aaccbpk
ztf,61027.377488399856,3273377481215015081,2,3273377481215,19.2961,1,3273,0.315931,16.6458,14.840682,16.9578,0.063506,0.010624461,0.012043914,0.0318,116.5614373,-26.8774953,0.475714,t17_f5_c3,16.951,0.0384,False,True,False,27.5.7a32.dev1,0.0,3.302355251215015e+18,,,ZTF23aaccbpk
ztf,61029.440196800046,3275440191215015031,1,3275440191215,20.2598,1,3275,0.125932,16.8545,14.991741,17.0865,0.059084,0.0056141512,0.010625913,0.0266,116.5614202,-26.8774282,0.691429,t17_f5_c3,17.0902,0.0307,False,True,False,27.5.7a32.dev1,0.0,3.302355251215015e+18,,,ZTF23aaccbpk
ztf,61030.42335649999,3276423351215015083,1,3276423351215,20.1084,1,3276,0.075956,16.7764,14.977274,17.0114,0.047669,0.0018399577,0.00909046,0.0278,116.5614032,-26.8774357,0.591429,t17_f5_c3,17.0244,0.0326,False,True,False,27.5.7a32.dev1,0.0,3.302355251215015e+18,,,ZTF23aaccbpk
ztf,61049.3346644002,3295334661215015040,1,3295334661215,19.2212,1,3295,0.259719,16.8842,14.997023,17.0727,0.064504,0.0068168524,0.011342687,0.0401,116.5614413,-26.8774751,0.74,t17_f5_c3,17.0543,0.0486,False,True,False,27.5.7a32.dev1,0.0,3.302355251215015e+18,,,ZTF23aaccbpk
ztf,61051.35599539988,3297355991215015043,1,3297355991215,19.2187,1,3297,0.329345,16.9145,15.00229,17.0714,0.083223,0.01102378,0.014300773,0.0315,116.5613553,-26.8775201,0.572857,t17_f5_c3,17.0463,0.0373,False,True,False,27.5.7a32.dev1,0.0,3.302355251215015e+18,,,ZTF23aaccbpk
ztf,61052.41854170011,3298418541215015044,2,3298418541215,18.97,1,3298,0.364627,17.0317,14.904091,17.0108,0.083188,0.010062385,0.011722412,0.0404,116.5614768,-26.8773943,0.58,t17_f5_c3,17.022,0.0504,False,True,False,27.5.7a32.dev1,0.0,3.302355251215015e+18,,,ZTF23aaccbpk
ztf,61053.31395829981,3299313951215015032,1,3299313951215,19.2422,1,3299,0.340507,17.0656,15.026803,17.1098,0.074009,0.0064244303,0.011317904,0.031,116.5612707,-26.8774302,0.54,t17_f5_c3,17.0635,0.0357,False,True,False,27.5.7a32.dev1,0.0,3.302355251215015e+18,,,ZTF23aaccbpk
ztf,61055.35589119978,3301355891215015071,2,3301355891215,19.3087,1,3301,0.101775,16.7755,14.864119,17.0011,0.075019,0.011525453,0.012900864,0.0335,116.5613696,-26.8774019,0.49,t17_f5_c3,16.9824,0.04,False,True,False,27.5.7a32.dev1,0.0,3.302355251215015e+18,,,ZTF23aaccbpk
ztf,61055.39055560017,3301390551215015069,1,3301390551215,19.1713,1,3301,0.07022,16.9028,15.00027,17.1255,0.088038,0.01225964,0.01526365,0.0347,116.5613867,-26.877447,0.587143,t17_f5_c3,17.1328,0.0424,False,True,False,27.5.7a32.dev1,0.0,3.302355251215015e+18,,,ZTF23aaccbpk
ztf,61056.29254630022,3302292541215015149,2,3302292541215,19.2165,1,3302,0.285975,16.7174,14.853903,16.8549,0.083978,0.013957776,0.015092696,0.0294,116.5613586,-26.8775104,0.447143,t17_f5_c3,16.8175,0.0346,False,True,False,27.5.7a32.dev1,0.0,3.302355251215015e+18,,,ZTF23aaccbpk
ztf,61056.355254599825,3302355251215015025,1,3302355251215,19.208422,1,3302,1.1464877,17.171572,15.042354,17.2358,0.1060842,0.011552554,0.014926694,0.0368,116.5613285,-26.8771114,0.47714287,t17_f5_c3,17.189,0.0428,True,True,False,27.5.7a32.dev1,0.0,,0.787434,261120112.0,ZTF23aaccbpk
