tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60016.48502309993,2262485024915015005,1,2262485024915,19.352505,1,2262,0.67605776,18.207077,17.99493,18.3053,0.123568125,0.101531275,0.10163609,0.113,273.5065432,15.2320194,0.7457143,t17_f5_c3,1.0,18.2762,0.1409,537120149.0,True,True,False,1.1.6,0.0,,ZTF23aadceqv
ztf,60016.50494210003,2262504944915015006,2,2262504944915,19.454988,1,2262,0.6319413,18.235943,17.939306,18.254,0.085673,0.06489427,0.06519127,0.0958,273.5065127,15.2320485,0.7728571,t17_f5_c3,1.0,18.2663,0.1238,537120249.0,True,True,False,1.1.6,0.0,,ZTF23aadceqv
ztf,60021.496655100025,2267496654915015006,2,2267496654915,19.984379,1,2267,0.61491793,18.617592,18.216784,18.6844,0.09558314,0.06558898,0.06607819,0.1122,273.5065569,15.2320785,0.95428574,t17_f5_c3,1.0,18.6716,0.1416,537120249.0,True,True,False,1.1.6,0.0,,ZTF23aadceqv
ztf,60021.511099500116,2267511094915015007,1,2267511094915,19.605076,1,2267,0.45092148,18.804695,18.459587,18.7886,0.17153321,0.12462513,0.12482606,0.1499,273.5065127,15.2320763,0.78571427,t17_f5_c3,1.0,18.9055,0.2135,537120149.0,True,True,False,1.1.6,0.0,,ZTF23aadceqv
ztf,60032.458506899886,2278458504915015009,2,2278458504915,19.88406,1,2278,0.7443765,18.628616,18.224394,18.6025,0.09437668,0.064535126,0.065039255,0.0943,273.5065863,15.2320545,0.8371429,t17_f5_c3,1.0,18.5228,0.1116,537120249.0,True,True,False,1.1.6,0.0,,ZTF23aadceqv
ztf,60042.44001160003,2288440014915015004,2,2288440014915,19.74945,1,2288,0.84617734,18.831205,18.359865,18.5483,0.13904808,0.08961363,0.09008019,0.1355,273.5065233,15.2319875,0.6685714,t17_f5_c3,0.9999995,18.632,0.1873,537120249.0,True,True,False,1.1.6,0.0,,ZTF23aadceqv
ztf,60044.419386600144,2290419384915015001,2,2290419384915,20.093012,1,2290,0.55591273,19.077724,18.513052,19.2181,0.11950807,0.070257425,0.071044184,0.1874,273.5065214,15.2320748,0.91,t17_f5_c3,1.0,19.0539,0.2063,537120249.0,True,True,False,1.1.6,0.0,,ZTF23aadceqv
ztf,60044.48224540008,2290482244915015004,1,2290482244915,19.962791,1,2290,0.54764235,19.268604,18.776339,19.2029,0.17826529,0.11288472,0.1132819,0.1995,273.5065477,15.2320615,0.7828571,t17_f5_c3,1.0,19.1063,0.234,537120149.0,True,True,False,1.1.6,0.0,,ZTF23aadceqv
ztf,60046.46153939981,2292461534915015004,1,2292461534915,18.463247,1,2292,0.60432595,18.48624,18.219013,18.4359,0.19283652,0.1506576,0.15076435,0.3787,273.5064217,15.2320352,0.6614286,t17_f5_c3,0.99999595,18.3704,0.4579,537120149.0,True,True,False,1.1.6,0.0,,ZTF23aadceqv
ztf,60051.42581020016,2297425814915015005,2,2297425814915,20.748716,1,2297,0.6089676,17.249615,17.12013,17.2517,0.05229788,0.046326313,0.046418432,0.0193,273.5065287,15.232062,0.89,t17_f5_c3,0.9999981,17.2366,0.023,537120249.0,True,True,False,1.1.6,0.0,,ZTF23aadceqv
ztf,60051.4662269,2297466224915015009,1,2297466224915,20.691517,1,2297,0.5923009,17.096657,17.015512,17.0889,0.060894385,0.05647823,0.056509256,0.016,273.5065377,15.2320445,0.55142856,t17_f5_c3,0.9999569,17.0524,0.0185,537120149.0,True,True,False,1.1.6,0.0,,ZTF23aadceqv
ztf,60054.39978010021,2300399784915015005,2,2300399784915,20.446571,1,2300,0.70867693,19.37108,18.677755,19.2078,0.19920824,0.10447246,0.105190635,0.1304,273.5065833,15.2320646,0.78,t17_f5_c3,0.9999997,19.1085,0.1516,537120249.0,True,True,False,1.1.6,0.0,,ZTF23aadceqv
ztf,60054.442314799875,2300442314915015007,1,2300442314915,20.542944,1,2300,0.28132734,19.560825,18.952728,19.4638,0.13783918,0.07793527,0.078728795,0.1417,273.5065007,15.2321226,0.87,t17_f5_c3,1.0,19.391,0.169,537120149.0,True,True,False,1.1.6,0.0,,ZTF23aadceqv
ztf,60056.441967600025,2302441964915015012,1,2302441964915,20.6195,1,2302,0.6336492,19.40317,18.859898,19.4022,0.13579777,0.08169616,0.08233493,0.1274,273.5065832,15.2320574,0.8642857,t17_f5_c3,1.0,19.4385,0.1677,537120149.0,True,True,False,1.2.0,0.0,,ZTF23aadceqv
ztf,60056.46434029983,2302464344915015003,2,2302464344915,20.537952,1,2302,0.67684925,19.327858,18.654716,19.3087,0.14239326,0.07565289,0.076600775,0.1328,273.5065686,15.232066,0.8457143,t17_f5_c3,1.0,19.1496,0.1463,537120249.0,True,True,False,1.2.0,0.0,,ZTF23aadceqv
ztf,60058.44087960012,2304440874915015012,2,2304440874915,20.587528,1,2304,0.7857048,19.4785,18.73315,19.2522,0.13333398,0.065858096,0.06711214,0.1192,273.506591,15.2320429,0.86,t17_f5_c3,1.0,19.1441,0.1373,537120249.0,True,True,False,1.2.0,0.0,,ZTF23aadceqv
ztf,60060.42343749991,2306423434915015014,1,2306423434915,20.2643,1,2306,0.85886,20.0154,19.188759,19.7519,0.289996,0.13472572,0.13543649,0.2212,273.5066252,15.2320057,0.682857,t17_f5_c3,,19.4151,0.2077,,False,True,False,1.2.0,0.0,2.306460314915015e+18,ZTF23aadceqv
ztf,60060.46031250013,2306460314915015008,2,2306460314915,20.292677,1,2306,0.7790261,19.744772,18.85903,19.7185,0.13224068,0.056662153,0.05848817,0.2211,273.5066553,15.2321266,0.93,t17_f5_c3,1.0,19.6319,0.2609,537120249.0,True,True,False,1.2.0,0.0,,ZTF23aadceqv
ztf,60062.443993099965,2308443994915015019,1,2308443994915,20.660572,1,2308,0.700759,19.514044,18.925762,19.555,0.11047136,0.06333229,0.0642594,0.1416,273.5065953,15.2320405,0.88714284,t17_f5_c3,1.0,19.6404,0.1948,537120149.0,True,True,False,1.2.0,0.0,,ZTF23aadceqv
ztf,60062.46390049998,2308463904915015007,2,2308463904915,20.530287,1,2308,0.78305775,19.407225,18.69669,19.2381,0.16539747,0.085052,0.08596372,0.1256,273.5066118,15.2320628,0.85714287,t17_f5_c3,1.0,19.1399,0.1463,537120249.0,True,True,False,1.2.0,0.0,,ZTF23aadceqv
ztf,60064.44292820012,2310442924915015008,2,2310442924915,20.794725,1,2310,0.6583369,19.473219,18.73049,19.6495,0.11591089,0.057047088,0.058483377,0.1484,273.5065606,15.2320641,0.8957143,t17_f5_c3,1.0,19.7301,0.2027,537120249.0,True,True,False,1.2.0,0.0,,ZTF23aadceqv
ztf,60064.46430560015,2310464304915015014,1,2310464304915,20.787434,1,2310,0.8372553,19.723743,19.042768,19.6364,0.13698164,0.07214987,0.07315975,0.1377,273.5066866,15.232084,0.85,t17_f5_c3,1.0,19.7152,0.188,537120149.0,True,True,False,1.2.0,0.0,,ZTF23aadceqv
ztf,60072.39900460001,2318399004915015002,1,2318399004915,19.5389,1,2318,0.698668,19.5773,18.962107,19.2863,0.286772,0.16233788,0.16272698,0.2987,273.506471,15.2320021,0.684286,t17_f5_c3,,18.7911,0.2434,,False,True,False,1.2.0,0.0,2.318470944915015e+18,ZTF23aadceqv
ztf,60072.470949099865,2318470944915015005,2,2318470944915,19.751562,1,2318,0.64472765,19.278301,18.627777,18.9738,0.17818806,0.09717028,0.09787438,0.1986,273.5065088,15.2320444,0.79142857,t17_f5_c3,1.0,18.8679,0.231,537120249.0,True,True,False,1.2.0,0.0,,ZTF23aadceqv
ztf,60076.408946800046,2322408944915015008,1,2322408944915,20.353357,1,2322,0.5506565,19.85453,19.110655,19.6496,0.21398178,0.107077904,0.10785161,0.1954,273.5065192,15.2320511,0.6157143,t17_f5_c3,0.99999666,19.646,0.2492,537120149.0,True,True,False,1.2.0,0.0,,ZTF23aadceqv
ztf,60076.44613429997,2322446134915015007,2,2322446134915,20.406017,1,2322,0.6266246,19.560383,18.773594,19.6852,0.19753866,0.09476221,0.095705405,0.2142,273.5065838,15.232097,0.8457143,t17_f5_c3,1.0,19.6605,0.2675,537120249.0,True,True,False,1.2.0,0.0,,ZTF23aadceqv
ztf,60078.379166699946,2324379164915015039,1,2324379164915,20.77882,1,2324,0.7157526,19.661045,19.008833,19.5626,0.15582268,0.084646165,0.085456565,0.1288,273.5066272,15.232063,0.70714283,t17_f5_c3,1.0,19.6924,0.1841,537120149.0,True,True,False,1.2.0,0.0,,ZTF23aadceqv
ztf,60078.420567099936,2324420564915015008,2,2324420564915,20.588503,1,2324,0.7694803,19.62561,18.804707,19.3806,0.14688917,0.06757158,0.06896494,0.134,273.5066468,15.2321054,0.80714285,t17_f5_c3,0.99999976,19.1472,0.1377,537120249.0,True,True,False,1.2.0,0.0,,ZTF23aadceqv
ztf,60081.34515050007,2327345154915015009,1,2327345154915,20.606953,1,2327,0.7288796,20.10302,19.228802,19.8356,0.21482134,0.09494383,0.09602632,0.1891,273.5066345,15.2320627,0.79142857,t17_f5_c3,1.0,19.9693,0.2724,537120149.0,True,True,False,1.2.0,0.0,,ZTF23aadceqv
ztf,60081.39887729986,2327398874915015006,2,2327398874915,20.622496,1,2327,0.76133657,19.618723,18.801468,19.7957,0.13593267,0.06254159,0.06403564,0.1936,273.50664,15.2321074,0.8657143,t17_f5_c3,1.0,19.5895,0.2041,537120249.0,True,True,False,1.2.0,0.0,,ZTF23aadceqv
ztf,60083.42309030006,2329423094915015010,1,2329423094915,20.5805,1,2329,1.17873,20.2033,19.272488,19.9121,0.244336,0.10258592,0.10367216,0.2059,273.5067728,15.2320341,0.608571,t17_f5_c3,,20.4903,0.4464,,False,True,False,1.2.0,0.0,2.329446874915015e+18,ZTF23aadceqv
ztf,60083.44687499991,2329446874915015008,2,2329446874915,20.67598,1,2329,0.79563737,19.833572,18.897411,20.068,0.17240791,0.07122662,0.07279356,0.2381,273.506632,15.2320762,0.76428574,t17_f5_c3,1.0,20.3113,0.3793,537120249.0,True,True,False,1.2.0,0.0,,ZTF23aadceqv
ztf,60085.371111100074,2331371114915015014,1,2331371114915,20.5958,1,2331,0.996361,19.886,19.126402,19.5891,0.229819,0.11341648,0.11416867,0.1525,273.5066694,15.2319879,0.652857,t17_f5_c3,,19.5729,0.1915,,False,True,False,1.2.0,0.0,2.331404294915015e+18,ZTF23aadceqv
ztf,60085.40429400001,2331404294915015010,2,2331404294915,20.48197,1,2331,0.7861535,19.63727,18.810165,19.4131,0.20947593,0.09680199,0.097789526,0.1525,273.5066117,15.2320619,0.74714285,t17_f5_c3,0.9999999,19.2854,0.173,537120249.0,True,True,False,1.2.0,0.0,,ZTF23aadceqv
ztf,60087.39920140011,2333399204915015008,2,2333399204915,20.748035,1,2333,1.0022752,19.99831,18.963945,19.9499,0.18990006,0.07148258,0.07324516,0.1972,273.5066981,15.2320684,0.7,t17_f5_c3,0.99999994,19.83,0.2246,537120249.0,True,True,False,1.2.0,0.0,,ZTF23aadceqv
ztf,60089.381817100104,2335381814915015005,2,2335381814915,20.835423,1,2335,0.9193326,19.85391,18.905952,19.878,0.16873062,0.068825275,0.07047104,0.1748,273.5066766,15.2320771,0.7542857,t17_f5_c3,0.99999976,19.7671,0.2005,537120249.0,True,True,False,1.2.0,0.0,,ZTF23aadceqv
