tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60021.43940970022,2267439404215015012,2,2267439404215,19.3571,1,2267,1.71575,19.3626,19.0398,0.251388,0.1975,205.0796653,-23.8531624,0.302857,t17_f5_c3,18.7972,0.2024,False,False,False,1.1.6,0.0,2.278336994215015e+18,,,ZTF23aaeayer
ztf,60032.3369907001,2278336994215015006,2,2278336994215,19.8617,1,2278,1.9723619,18.29322,18.2665,0.07050187,0.0875,205.0797331,-23.8531952,0.9442857,t17_f5_c3,18.165,0.1018,True,False,False,1.1.6,0.0,,0.99999976,273120242.0,ZTF23aaeayer
ztf,60043.355833299924,2289355834215015090,2,2289355834215,18.953531,1,2289,1.9334495,18.323435,18.5318,0.09828675,0.2716,205.0797012,-23.8532219,0.6028572,t17_f5_c3,18.5213,0.3455,True,False,False,1.1.6,0.0,,0.9999717,273120242.0,ZTF23aaeayer
ztf,60045.40401619999,2291404014215015015,2,2291404014215,19.856153,1,2291,2.044266,18.292587,18.3942,0.07587819,0.1096,205.079731,-23.8532375,0.94142854,t17_f5_c3,18.4671,0.15,True,False,False,1.1.6,0.0,,0.99999964,273120242.0,ZTF23aaeayer
ztf,60049.32230320014,2295322304215015013,2,2295322304215,20.112589,1,2295,1.9975343,18.266933,18.3422,0.07044303,0.0819,205.0797099,-23.853237,0.9557143,t17_f5_c3,18.3559,0.1055,True,False,False,1.1.6,0.0,,0.99999976,273120242.0,ZTF23aaeayer
ztf,60049.34028939996,2295340284215015008,1,2295340284215,20.160025,1,2295,2.3087041,19.084248,18.9732,0.13687609,0.1334,205.0797193,-23.8532412,0.8957143,t17_f5_c3,18.8085,0.1465,True,False,False,1.1.6,0.0,,0.9999981,273120142.0,ZTF23aaeayer
ztf,60051.315069399774,2297315064215015011,1,2297315064215,20.285364,1,2297,2.3329988,19.098938,19.1579,0.097816475,0.1386,205.0797447,-23.8532176,0.89428574,t17_f5_c3,19.1925,0.1824,True,False,False,1.1.6,0.0,,0.9999496,273120142.0,ZTF23aaeayer
ztf,60051.37711809995,2297377114215015019,2,2297377114215,20.259897,1,2297,1.9573983,18.285625,18.1784,0.063825525,0.0638,205.0797102,-23.8532211,0.93857145,t17_f5_c3,18.1896,0.0818,True,False,False,1.1.6,0.0,,0.9999924,273120242.0,ZTF23aaeayer
ztf,60053.2994328998,2299299434215015017,2,2299299434215,19.368204,1,2299,2.3388324,18.290903,18.3931,0.120010085,0.0987,205.0798207,-23.8532647,0.5271429,t17_f5_c3,18.3183,0.1179,True,False,False,1.1.6,0.0,,0.99986124,273120242.0,ZTF23aaeayer
ztf,60055.315821799915,2301315824215015009,1,2301315824215,20.054993,1,2301,2.393642,19.207308,18.9943,0.10774907,0.1464,205.0797614,-23.8532298,0.8742857,t17_f5_c3,19.1477,0.2154,True,False,False,1.1.6,0.0,,0.99999833,273120142.0,ZTF23aaeayer
