tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,drb,rfid,oid
ztf,60029.527013900224,2275527011115015011,2,2275527011115,19.3185,1,2275,1.48535,19.4427,19.6378,0.182274,0.4527,337.0439413,29.8428462,0.575714,t17_f5_c3,18.4188,0.214,False,False,False,1.1.6,0.0,2.282517335715015e+18,,,,,,ZTF23aaefrsq
ztf,60029.53187499987,2275531871115015010,2,2275531871115,19.1515,1,2275,0.849581,19.3562,19.2663,0.218013,0.4121,337.0438691,29.8426848,0.627143,t17_f5_c3,18.1972,0.2166,False,True,True,1.1.6,0.0,2.282517335715015e+18,19.080128,0.16835386,0.16906512,,,ZTF23aaefrsq
ztf,60036.51733799977,2282517335715015001,2,2282517335715,19.703304,1,2282,6.7072725,18.820152,18.7104,0.111232646,0.1701,337.0437771,29.8427357,0.7171429,t17_f5_c3,17.9011,0.123,True,False,False,1.1.6,0.0,,,,,0.990746,645120257.0,ZTF23aaefrsq
ztf,60036.52160880016,2282521601115015010,2,2282521601115,19.657192,1,2282,0.91961133,18.877424,18.7299,0.1114514,0.1829,337.0437983,29.8427099,0.9085714,t17_f5_c3,18.606,0.247,True,True,True,1.1.6,0.0,,18.691956,0.09332333,0.09395021,0.9082233,691120211.0,ZTF23aaefrsq
ztf,60036.52635420021,2282526351115015002,2,2282526351115,19.0605,1,2282,0.968081,18.7667,17.855,0.150384,0.1328,337.0438373,29.8427207,0.394286,t17_f5_c3,17.5458,0.1367,False,True,True,1.1.6,0.0,2.289512005715015e+18,18.597889,0.12834504,0.12872906,,,ZTF23aaefrsq
ztf,60043.512002300005,2289512005715015000,2,2289512005715,19.517757,1,2289,6.6688995,18.706518,18.4805,0.1268741,0.1594,337.0437836,29.8427593,0.7814286,t17_f5_c3,18.2988,0.1985,True,False,False,1.1.6,0.0,,,,,0.9946558,645120257.0,ZTF23aaefrsq
ztf,60043.514374999795,2289514375715015000,2,2289514375715,19.5446,1,2289,6.66668,18.8347,18.4252,0.11516,0.1526,337.0438021,29.8427287,0.524286,t17_f5_c3,17.3568,0.0845,False,False,False,1.1.6,0.0,2.289516745715015e+18,,,,,,ZTF23aaefrsq
ztf,60043.51674770005,2289516745715015001,2,2289516745715,19.602486,1,2289,6.7682433,18.737087,18.5551,0.10334051,0.1759,337.0437779,29.8427062,0.7771429,t17_f5_c3,17.317,0.0832,True,False,False,1.1.6,0.0,,,,,0.9471834,645120257.0,ZTF23aaefrsq
ztf,60044.509710600134,2290509715715015000,2,2290509715715,19.776358,1,2290,6.621483,18.812494,18.6048,0.10834413,0.1605,337.0438065,29.8427464,0.74285716,t17_f5_c3,18.536,0.2328,True,False,False,1.1.6,0.0,,,,,0.04396048,645120257.0,ZTF23aaefrsq
ztf,60044.512083299924,2290512085715015001,2,2290512085715,19.687994,1,2290,6.684824,18.779352,18.5842,0.10730899,0.1669,337.0437589,29.8427936,0.76,t17_f5_c3,17.971,0.1442,True,False,False,1.1.6,0.0,,,,,0.52008384,645120257.0,ZTF23aaefrsq
ztf,60044.51445600018,2290514455715015001,2,2290514455715,19.654676,1,2290,6.6515517,18.694954,18.6427,0.12050117,0.1873,337.0438084,29.8427296,0.8385714,t17_f5_c3,17.7594,0.1244,True,False,False,1.1.6,0.0,,,,,0.9890715,645120257.0,ZTF23aaefrsq
ztf,60044.51681709988,2290516815715015000,2,2290516815715,19.32207,1,2290,6.5384946,18.922548,18.6071,0.1301399,0.2166,337.0438301,29.8427557,0.5914286,t17_f5_c3,18.1636,0.2058,True,False,False,1.1.6,0.0,,,,,0.9103447,645120257.0,ZTF23aaefrsq
ztf,60045.51077549998,2291510775715015000,2,2291510775715,19.679607,1,2291,6.7447367,18.878748,19.2744,0.14657815,0.2978,337.0437624,29.8427488,0.55285716,t17_f5_c3,18.5647,0.2341,True,False,False,1.1.6,0.0,,,,,0.04241744,645120257.0,ZTF23aaefrsq
ztf,60046.50984949991,2292509845715015001,2,2292509845715,19.5353,1,2292,6.7086525,18.982857,18.862,0.1261753,0.2345,337.0437807,29.8427403,0.60714287,t17_f5_c3,17.0447,0.0658,True,False,False,1.1.6,0.0,,,,,0.28199324,645120257.0,ZTF23aaefrsq
ztf,60046.51464120019,2292514645715015000,2,2292514645715,18.7382,1,2292,6.73003,18.6926,17.9036,0.239321,0.2012,337.0437909,29.8427078,0.254286,t17_f5_c3,16.4008,0.069,False,False,False,1.1.6,0.0,2.296496131115015e+18,,,,,,ZTF23aaefrsq
ztf,60050.496134299785,2296496131115015010,2,2296496131115,20.242212,1,2296,1.0375218,19.008263,19.068,0.11719025,0.1609,337.0437607,29.8427419,0.8842857,t17_f5_c3,18.2492,0.1412,True,True,True,1.1.6,0.0,,18.801176,0.09609629,0.09684038,0.14914277,691120211.0,ZTF23aaefrsq
ztf,60050.49861110002,2296498611115015013,2,2296498611115,20.2486,1,2296,0.956001,18.9751,18.0588,0.099871,0.064,337.0438002,29.8427184,0.417143,t17_f5_c3,18.1796,0.1291,False,True,True,1.1.6,0.0,2.300488531115015e+18,18.773699,0.08213532,0.08296196,,,ZTF23aaefrsq
ztf,60050.501076399814,2296501071115015018,2,2296501071115,20.2235,1,2296,0.999677,18.9549,18.4675,0.099441,0.094,337.0438132,29.8427343,0.584286,t17_f5_c3,18.4074,0.161,False,True,True,1.1.6,0.0,2.300488531115015e+18,18.756893,0.08206107,0.08286335,,,ZTF23aaefrsq
ztf,60051.49271989986,2297492711115015019,2,2297492711115,20.1305,1,2297,1.17426,18.986,18.3096,0.097504,0.0798,337.0437862,29.8427807,0.52,t17_f5_c3,19.0174,0.2736,False,True,True,1.1.6,0.0,2.300488531115015e+18,18.782745,0.079994865,0.080857575,,,ZTF23aaefrsq
ztf,60051.500127300154,2297500121115015024,2,2297500121115,20.2338,1,2297,1.12082,19.0064,18.1573,0.11165,0.069,337.0438024,29.8427692,0.431429,t17_f5_c3,17.6379,0.0783,False,True,True,1.1.6,0.0,2.300488531115015e+18,18.799635,0.0915108,0.092289664,,,ZTF23aaefrsq
ztf,60054.48853009986,2300488531115015007,2,2300488531115,20.245907,1,2300,0.9830681,19.224804,19.5315,0.1058755,0.246,337.0437644,29.8427263,0.7985714,t17_f5_c3,18.6998,0.2116,True,True,True,1.1.6,0.0,,18.976881,0.08307507,0.08426087,0.01139453,691120211.0,ZTF23aaefrsq
ztf,60054.49099540012,2300490991115015015,2,2300490991115,20.2584,1,2300,0.994733,19.1277,19.9927,0.103935,0.3728,337.0438072,29.8427343,0.514286,t17_f5_c3,17.5542,0.0734,False,True,True,1.1.6,0.0,2.301487385715015e+18,18.898909,0.08315983,0.08418691,,,ZTF23aaefrsq
ztf,60054.49593750015,2300495931115015016,2,2300495931115,20.1918,1,2300,1.07067,19.1989,18.4774,0.107872,0.0956,337.0437965,29.8427518,0.425714,t17_f5_c3,17.8368,0.0949,False,True,True,1.1.6,0.0,2.301487385715015e+18,18.956215,0.085150644,0.08626498,,,ZTF23aaefrsq
ztf,60055.48738430021,2301487385715015000,2,2301487385715,20.174923,1,2301,6.8093038,19.298906,19.1436,0.1292748,0.193,337.0437603,29.8427112,0.6257143,t17_f5_c3,17.9764,0.111,True,False,False,1.1.6,0.0,,,,,0.9861547,645120257.0,ZTF23aaefrsq
ztf,60055.48983799992,2301489835715015000,2,2301489835715,20.22876,1,2301,6.715605,19.286066,19.7163,0.1406829,0.32,337.0437816,29.8427313,0.5857143,t17_f5_c3,18.0618,0.1185,True,False,False,1.1.6,0.0,,,,,0.67132205,645120257.0,ZTF23aaefrsq
ztf,60055.494756899774,2301494755715015000,2,2301494755715,20.223892,1,2301,6.5218096,19.352312,19.5147,0.13850471,0.2744,337.0438192,29.842788,0.3857143,t17_f5_c3,17.7174,0.0904,True,False,False,1.1.6,0.0,,,,,0.12631953,645120257.0,ZTF23aaefrsq
