tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60679.56328700017,2925563281115010072,2,2925563281115,18.784796,-1,2925,1.2184265,15.350805,12.617205,15.3237,0.07456169,100.0,0.0060127806,0.0152,254.1278542,-2.6687972,0.5214286,t17_f5_c3,0.87501514,15.3157,0.0168,1477120211.0,True,True,False,26.0.1,0.0,,ZTF23aaijyrl
ztf,60687.56043979991,2933560431115010040,2,2933560431115,18.226341,-1,2933,0.56213665,14.780035,12.679516,15.2973,0.036689233,100.0,0.0053006713,0.014,254.1283466,-2.6688227,0.42142856,t17_f5_c3,0.24299768,15.4216,0.0185,1477120211.0,True,True,False,26.0.1,0.0,,ZTF23aaijyrl
ztf,60688.56342589995,2934563421115010015,2,2934563421115,18.513096,-1,2934,0.2964812,14.945967,12.657509,15.2571,0.05075346,100.0,0.0061671236,0.0148,254.1281941,-2.668857,0.6085714,t17_f5_c3,0.98695743,15.26,0.0172,1477120211.0,True,True,False,26.0.1,0.0,,ZTF23aaijyrl
ztf,61051.586331000086,3297586334815010032,2,3297586334815,17.007,-1,3297,1.42378,15.4583,,16.0758,0.07708,,,0.08,254.1281039,-2.6691427,0.308571,t17_f5_c3,,16.1667,0.1102,,False,False,True,27.5.7a32.dev1,0.0,3.32755650111501e+18,ZTF23aaijyrl
ztf,61069.56378469989,3315563781115010008,2,3315563781115,19.8645,-1,3315,0.234165,14.1905,12.79897,14.2547,0.043205,100.0,0.011992838,0.0046,254.1281679,-2.6688312,0.657143,t17_f5_c3,,14.2508,0.0049,,False,True,False,27.5.7a32.dev1,0.0,3.33956425111501e+18,ZTF23aaijyrl
ztf,61070.56296300003,3316562964815010017,2,3316562964815,19.483486,-1,3316,0.80321115,14.700388,12.784651,14.693,0.043334093,100.0,0.0074222405,0.0073,254.1281529,-2.6689753,0.5342857,t17_f5_c3,0.9982054,14.6718,0.0076,1425120248.0,True,True,True,27.5.7a32.dev1,0.0,,ZTF23aaijyrl
ztf,61070.56343750004,3316563431115010013,2,3316563431115,19.627722,-1,3316,0.068990126,14.184191,12.800728,14.2884,0.03440827,100.0,0.009622275,0.0046,254.1281833,-2.6687861,0.6314286,t17_f5_c3,0.9999485,14.2848,0.0049,1477120211.0,True,True,True,27.5.7a32.dev1,0.0,,ZTF23aaijyrl
ztf,61074.56047450006,3320560474815010011,2,3320560474815,19.043362,-1,3320,0.6238865,14.75783,12.77511,14.6096,0.04186996,100.0,0.0067424052,0.0076,254.1281535,-2.6689213,0.6085714,t17_f5_c3,0.99889135,14.5811,0.0083,1425120248.0,True,True,True,27.5.7a32.dev1,0.0,,ZTF23aaijyrl
ztf,61075.559502299875,3321559504815010008,2,3321559504815,19.363077,-1,3321,0.5499976,14.768333,12.773429,14.6629,0.048592452,100.0,0.0077376096,0.0074,254.1281858,-2.6689075,0.61,t17_f5_c3,0.9982686,14.6461,0.008,1425120248.0,True,True,True,27.5.7a32.dev1,0.0,,ZTF23aaijyrl
ztf,61076.5592939998,3322559294815010023,2,3322559294815,18.626892,-1,3322,0.25260207,14.314825,12.866981,14.3196,0.04137398,100.0,0.010904091,0.0088,254.1282023,-2.6688205,0.5442857,t17_f5_c3,0.85860413,14.312,0.0102,1425120248.0,True,True,True,27.5.7a32.dev1,0.0,,ZTF23aaijyrl
ztf,61076.560289400164,3322560281115010093,2,3322560281115,17.07756,-1,3322,0.047500122,14.100599,12.825304,14.1019,0.027320342,100.0,0.008440496,0.0234,254.1282075,-2.6687796,0.62,t17_f5_c3,0.99970853,14.0916,0.0292,1477120211.0,True,True,True,27.5.7a32.dev1,0.0,,ZTF23aaijyrl
ztf,61077.5578240999,3323557821115010007,2,3323557821115,19.67116,-1,3323,0.23684807,14.196416,12.797334,14.281,0.04558826,100.0,0.012566668,0.0048,254.12813,-2.668776,0.6514286,t17_f5_c3,0.99960494,14.2795,0.0052,1477120211.0,True,True,True,27.5.7a32.dev1,0.0,,ZTF23aaijyrl
ztf,61079.555705999956,3325555704815010050,2,3325555704815,19.419203,-1,3325,0.25708526,14.608748,12.801153,14.7563,0.04459461,100.0,0.008438094,0.0077,254.1281265,-2.6687653,0.6157143,t17_f5_c3,0.99676466,14.754,0.0083,1425120248.0,True,True,True,27.5.7a32.dev1,0.0,,ZTF23aaijyrl
