tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,61083.56328700017,3329563284015015005,2,3329563284015,19.339214,1,3329,0.7654909,15.902641,14.157223,15.9841,0.08950153,100.0,0.017933412,0.0193,281.7274562,-11.7687376,0.6185714,t17_f5_c3,0.976145,15.9905,0.0238,1377120240.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF23aasvmih
ztf,61096.5500115999,3342550014015015005,2,3342550014015,19.383669,1,3342,0.10032864,13.960419,13.405538,13.9731,0.026571708,0.0047805365,0.015939223,0.0038,281.7273023,-11.7686185,0.70857143,t17_f5_c3,0.9999975,13.9602,0.0043,1377120240.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF23aasvmih
ztf,61096.5500115999,3342550014015025005,2,3342550014015,19.3837,1,3342,0.100329,13.9604,13.405526,13.9731,0.026572,0.0047820043,0.01593951,0.0038,281.7273023,-11.7686185,0.708571,t17_f5_c3,,13.9602,0.0043,,False,True,False,27.5.7a32.dev1,0.0,3.363525904015015e+18,ZTF23aasvmih
ztf,61099.54688660009,3345546884015015008,2,3345546884015,19.90026,1,3345,0.11714057,13.82662,13.323317,13.8503,0.029692886,0.012253905,0.018678023,0.0027,281.727302,-11.7686247,0.7114286,t17_f5_c3,0.9998311,13.8399,0.003,1377120240.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF23aasvmih
ztf,61099.54688660009,3345546884015025008,2,3345546884015,19.9003,1,3345,0.117141,13.8266,13.323304,13.8503,0.029693,0.012254396,0.018678222,0.0027,281.727302,-11.7686247,0.711429,t17_f5_c3,,13.8399,0.003,,False,True,False,27.5.7a32.dev1,0.0,3.363525904015015e+18,ZTF23aasvmih
ztf,61100.54565969994,3346545654015015005,2,3346545654015,19.42571,1,3346,0.16264479,13.776889,13.291769,13.8048,0.021063687,100.0,0.013473683,0.0029,281.7273096,-11.7686398,0.70428574,t17_f5_c3,0.99998873,13.7955,0.0034,1377120240.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF23aasvmih
ztf,61105.54025459988,3351540254015015005,2,3351540254015,19.552788,1,3351,0.12725306,13.635179,13.199018,13.667,0.027891532,0.0137950955,0.018664131,0.0026,281.7273028,-11.7686288,0.68857145,t17_f5_c3,0.99987406,13.6573,0.0029,1377120240.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF23aasvmih
ztf,61105.54025459988,3351540254015025005,2,3351540254015,19.5528,1,3351,0.127253,13.6352,13.199031,13.667,0.027892,0.013795209,0.018664325,0.0026,281.7273028,-11.7686288,0.688571,t17_f5_c3,,13.6573,0.0029,,False,True,False,27.5.7a32.dev1,0.0,3.363525904015015e+18,ZTF23aasvmih
ztf,61108.540983799845,3354540984015015003,2,3354540984015,19.363298,1,3354,0.18142885,13.638569,13.201284,13.6404,0.025663886,0.011645246,0.01715571,0.0027,281.7272923,-11.7686478,0.6628571,t17_f5_c3,0.9999597,13.6272,0.003,1377120240.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF23aasvmih
ztf,61108.540983799845,3354540984015025003,2,3354540984015,19.3633,1,3354,0.181429,13.6386,13.201305,13.6404,0.025664,0.0116448505,0.017155621,0.0027,281.7272923,-11.7686478,0.662857,t17_f5_c3,,13.6272,0.003,,False,True,False,27.5.7a32.dev1,0.0,3.363525904015015e+18,ZTF23aasvmih
ztf,61111.532627299894,3357532624015015004,2,3357532624015,19.913862,1,3357,0.15440957,13.608898,13.181361,13.6295,0.024900265,0.011362051,0.01679535,0.0023,281.7272933,-11.7686398,0.70714283,t17_f5_c3,0.9999857,13.6186,0.0024,1377120240.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF23aasvmih
ztf,61113.5306712999,3359530674015015007,2,3359530674015,19.888994,1,3359,0.1282422,13.596651,13.173085,13.6364,0.022221668,0.008696854,0.015043546,0.0023,281.7272916,-11.7686315,0.6957143,t17_f5_c3,0.99944717,13.6262,0.0025,1377120240.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF23aasvmih
ztf,61113.5306712999,3359530674015025007,2,3359530674015,19.889,1,3359,0.128242,13.5967,13.173118,13.6364,0.022222,0.00869634,0.015043553,0.0023,281.7272916,-11.7686315,0.695714,t17_f5_c3,,13.6262,0.0025,,False,True,False,27.5.7a32.dev1,0.0,3.363525904015015e+18,ZTF23aasvmih
ztf,61117.525902799796,3363525904015015008,2,3363525904015,19.976288,1,3363,0.13921453,13.610442,13.182402,13.6497,0.026377339,0.012765902,0.017783405,0.0022,281.7272911,-11.7686359,0.71,t17_f5_c3,0.99849963,13.6416,0.0023,1377120240.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF23aasvmih
