tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60168.49578699982,2414495781215015005,2,2414495781215,19.668924,1,2414,0.7217044,19.54769,18.12698,20.0324,0.166214,0.03140406,0.044914246,0.4657,107.1587903,44.9305431,0.9028571,t17_f5_c3,0.9999652,19.6368,0.4142,747120212.0,True,True,False,1.2.0,0.0,,ZTF23aaxddjy
ztf,60168.49578699982,2414495781215025005,2,2414495781215,19.6689,1,2414,0.721704,19.5477,18.126984,20.0324,0.166214,0.031403475,0.0449139,0.4657,107.1587903,44.9305431,0.902857,t17_f5_c3,,19.6368,0.4142,,False,True,False,1.2.0,0.0,2.424488351215015e+18,ZTF23aaxddjy
ztf,60169.49569439981,2415495691215015002,2,2415495691215,19.755442,1,2415,0.7028632,19.31136,18.057882,19.6576,0.15049401,0.036640707,0.047438234,0.3088,107.1585866,44.9305947,0.96,t17_f5_c3,0.9999987,19.5132,0.3455,747120212.0,True,True,False,1.2.0,0.0,,ZTF23aaxddjy
ztf,60169.49569439981,2415495691215025002,2,2415495691215,19.7554,1,2415,0.702863,19.3114,18.057896,19.6576,0.150494,0.03663886,0.04743703,0.3088,107.1585866,44.9305947,0.96,t17_f5_c3,,19.5132,0.3455,,False,True,False,1.2.0,0.0,2.424488351215015e+18,ZTF23aaxddjy
ztf,60169.498136600014,2415498131215015003,2,2415498131215,19.605467,1,2415,0.53776103,19.411556,18.08848,19.4733,0.17610192,0.041834537,0.05206353,0.2834,107.1586223,44.9305481,0.93857145,t17_f5_c3,0.99850696,19.364,0.3276,747120212.0,True,True,False,1.2.0,0.0,,ZTF23aaxddjy
ztf,60169.50056710001,2415500561215015002,2,2415500561215,19.5277,1,2415,0.174145,19.4975,18.113188,19.2055,0.235039,0.05751783,0.06567731,0.2443,107.1586538,44.9304053,0.93,t17_f5_c3,,19.2877,0.3372,,False,True,False,1.2.0,0.0,2.415502991215015e+18,ZTF23aaxddjy
ztf,60169.502997700125,2415502991215015007,2,2415502991215,19.333958,1,2415,0.6103503,19.19316,18.019217,19.4539,0.18515894,0.055664673,0.06280118,0.3537,107.1586021,44.9305728,0.9514286,t17_f5_c3,0.9871293,19.2696,0.3828,747120212.0,True,True,False,1.2.0,0.0,,ZTF23aaxddjy
ztf,60170.49646990001,2416496461215015002,2,2416496461215,19.608313,1,2416,0.4192922,19.471943,18.105986,19.6132,0.20914313,0.05040695,0.05943754,0.3143,107.1586094,44.9305181,0.92285717,t17_f5_c3,0.99948514,19.4975,0.3613,747120212.0,True,True,False,1.2.0,0.0,,ZTF23aaxddjy
ztf,60170.50120369997,2416501201215015001,2,2416501201215,19.4014,1,2416,0.493482,19.377,18.07815,18.9668,0.232122,0.06310307,0.07017389,0.2123,107.1585045,44.9305282,0.794286,t17_f5_c3,,18.7804,0.229,,False,True,False,1.2.0,0.0,2.424488351215015e+18,ZTF23aaxddjy
ztf,60170.503576400224,2416503571215015002,2,2416503571215,19.2695,1,2416,0.662328,19.3304,18.063848,19.5227,0.221349,0.061923593,0.06893772,0.4138,107.158687,44.9305654,0.918571,t17_f5_c3,,19.0697,0.3498,,False,True,False,1.2.0,0.0,2.424488351215015e+18,ZTF23aaxddjy
ztf,60178.48835649993,2424488351215015004,2,2424488351215,20.085894,1,2424,0.7368169,19.28318,18.048922,19.7507,0.09531074,0.0064929333,0.030580046,0.2744,107.1584391,44.9305804,0.91571426,t17_f5_c3,0.9999943,19.9281,0.4115,747120212.0,True,True,False,1.2.0,0.0,,ZTF23aaxddjy
ztf,60178.49337959988,2424493371215015002,2,2424493371215,20.1004,1,2424,0.3998,19.6846,18.162308,19.8387,0.222775,0.04364597,0.054821286,0.2924,107.1586778,44.9304927,0.864286,t17_f5_c3,,19.6741,0.3204,,False,True,False,1.2.0,0.0,2.424495891215015e+18,ZTF23aaxddjy
ztf,60178.49589119991,2424495891215015008,2,2424495891215,20.046005,1,2424,0.51090467,19.41006,18.088037,19.7395,0.20254526,0.051313136,0.059939455,0.274,107.1585846,44.9305451,0.9071429,t17_f5_c3,0.99999523,19.4538,0.2687,747120212.0,True,True,False,1.2.0,0.0,,ZTF23aaxddjy
ztf,60178.498414400034,2424498411215015007,2,2424498411215,20.083704,1,2424,0.47861564,19.319164,18.060337,19.4178,0.15120035,0.03656942,0.04742658,0.2038,107.1584957,44.9305204,0.9671429,t17_f5_c3,0.999993,19.6388,0.3178,747120212.0,True,True,False,1.2.0,0.0,,ZTF23aaxddjy
ztf,60179.490324100014,2425490321215015001,2,2425490321215,19.990692,1,2425,0.44078597,19.529486,18.122032,19.9203,0.1696086,0.033626318,0.046394464,0.3308,107.1585459,44.9305224,0.94142854,t17_f5_c3,0.99828774,19.6909,0.3418,747120212.0,True,True,False,1.2.0,0.0,,ZTF23aaxddjy
ztf,60179.49283559993,2425492831215015006,2,2425492831215,20.067236,1,2425,0.27299035,19.561268,18.130632,19.9988,0.1771371,0.03480799,0.047430277,0.3446,107.1585764,44.9304767,0.91571426,t17_f5_c3,0.9999937,20.1125,0.4875,747120212.0,True,True,False,1.2.0,0.0,,ZTF23aaxddjy
ztf,60179.49534719996,2425495341215015005,2,2425495341215,19.993996,1,2425,0.33495665,19.316282,18.059431,19.4689,0.15431872,0.03796216,0.04849294,0.2197,107.1586017,44.9304949,0.9671429,t17_f5_c3,0.99987173,19.4913,0.2855,747120212.0,True,True,False,1.2.0,0.0,,ZTF23aaxddjy
ztf,60179.497858799994,2425497851215015006,2,2425497851215,19.915876,1,2425,0.4325018,19.483442,18.109241,19.7117,0.14300694,0.025078798,0.040334515,0.2802,107.1586353,44.930515,0.94285715,t17_f5_c3,0.9999659,19.8511,0.4062,747120212.0,True,True,False,1.2.0,0.0,,ZTF23aaxddjy
ztf,60179.5003819,2425500381215015006,2,2425500381215,19.727797,1,2425,0.5885625,19.326385,18.062597,19.5945,0.17419715,0.04519511,0.054390814,0.2649,107.1586097,44.9305661,0.91,t17_f5_c3,0.99976385,19.785,0.4027,747120212.0,True,True,False,1.2.0,0.0,,ZTF23aaxddjy
ztf,60181.48960650014,2427489601215015006,2,2427489601215,19.73538,1,2427,0.47246185,19.595877,18.139791,19.995,0.19820023,0.040394995,0.051840648,0.3235,107.1586064,44.9305289,0.77,t17_f5_c3,0.9999752,19.8961,0.3765,747120212.0,True,True,False,1.2.0,0.0,,ZTF23aaxddjy
