tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60221.423796299845,2467423791215015000,1,2467423791215,19.0438,1,2467,0.500864,18.4464,17.746767,18.3385,0.157681,0.07997279,0.08278022,0.1001,66.582454,-11.9888736,0.398571,t17_f5_c3,18.286,0.1217,False,True,False,1.2.1,0.0,2.467484361215015e+18,,,ZTF23abhyssf
ztf,60221.48436339991,2467484361215015001,2,2467484361215,19.414442,1,2467,0.17822286,18.672201,17.694674,18.38,0.10343398,0.03196505,0.042038996,0.1018,66.5825117,-11.9889674,0.5285714,t17_f5_c3,18.3249,0.1234,True,True,False,1.2.1,0.0,,0.9999894,354120212.0,ZTF23abhyssf
ztf,60223.4051967999,2469405191215015000,1,2469405191215,19.887548,1,2469,0.08080834,18.64434,17.846176,18.3578,0.10392297,0.043974727,0.049824856,0.0807,66.5824674,-11.9890199,0.82,t17_f5_c3,18.2884,0.0961,True,True,False,1.2.1,0.0,,1.0,354120112.0,ZTF23abhyssf
ztf,60225.397465299815,2471397461215015000,1,2471397461215,20.306387,1,2471,0.23162226,18.533287,17.791515,18.31,0.09043792,0.039870705,0.0456711,0.0634,66.5824223,-11.9890172,0.9242857,t17_f5_c3,18.2523,0.0758,True,True,False,1.2.1,0.0,,1.0,354120112.0,ZTF23abhyssf
ztf,60225.46164349979,2471461641215015003,2,2471461641215,20.182676,1,2471,0.3484634,18.48262,17.61359,18.2757,0.09790725,0.035940163,0.043974694,0.0688,66.5824272,-11.9889276,0.94142854,t17_f5_c3,18.2919,0.0881,True,True,False,1.2.1,0.0,,1.0,354120212.0,ZTF23abhyssf
ztf,60228.44001160003,2474440011215015002,1,2474440011215,20.523851,1,2474,0.1575687,18.503258,17.776245,18.4517,0.06805898,0.027044851,0.034840204,0.0492,66.5824437,-11.9890042,0.94,t17_f5_c3,18.4083,0.0586,True,True,False,1.2.1,0.0,,1.0,354120112.0,ZTF23abhyssf
ztf,60231.4415972,2477441591215015000,1,2477441591215,20.419847,1,2477,0.3075292,18.66711,17.857035,18.315,0.08122984,0.030396666,0.03851989,0.0512,66.5824003,-11.9890039,0.70714283,t17_f5_c3,18.2744,0.0615,True,True,False,1.2.1,0.0,,0.9999998,354120112.0,ZTF23abhyssf
ztf,60233.38745369995,2479387451215015000,1,2479387451215,20.562029,1,2479,0.28685474,18.586914,17.818264,18.4582,0.08465151,0.03489933,0.041703746,0.0603,66.5824129,-11.9889788,0.95714283,t17_f5_c3,18.4336,0.0739,True,True,False,1.2.1,0.0,,0.9999989,354120112.0,ZTF23abhyssf
ztf,60233.44172450015,2479441721215015002,2,2479441721215,20.430122,1,2479,0.33419412,18.448862,17.598297,18.2842,0.09140626,0.03346,0.041759014,0.0606,66.5824031,-11.9889537,0.9242857,t17_f5_c3,18.2044,0.0707,True,True,False,1.2.1,0.0,,1.0,354120212.0,ZTF23abhyssf
ztf,60235.38112269994,2481381121215015000,1,2481381121215,20.63658,1,2481,0.16643715,18.71345,17.878761,18.5591,0.08287047,0.029886274,0.03841712,0.0591,66.5824407,-11.9890118,0.94714284,t17_f5_c3,18.5972,0.0764,True,True,False,1.2.1,0.0,,0.9999999,354120112.0,ZTF23abhyssf
ztf,60235.42670139996,2481426701215015000,2,2481426701215,20.144348,1,2481,0.28522718,18.565655,17.6501,18.4194,0.10080591,0.034566764,0.043377515,0.0667,66.5824144,-11.9890534,0.82714283,t17_f5_c3,18.3736,0.0804,True,True,False,1.2.1,0.0,,0.9999998,354120212.0,ZTF23abhyssf
ztf,60237.36674770014,2483366741215015003,2,2483366741215,19.998678,1,2483,0.23496902,18.5208,17.630573,18.1987,0.08450164,0.026885556,0.037219815,0.0622,66.5824164,-11.9889931,0.7385714,t17_f5_c3,18.1473,0.0747,True,True,False,1.2.1,0.0,,0.9999969,354120212.0,ZTF23abhyssf
ztf,60237.43055560021,2483430551215015003,1,2483430551215,20.546268,1,2483,0.20255587,18.72236,17.882883,18.5467,0.080764554,0.028326288,0.03727607,0.0642,66.582439,-11.988983,0.95428574,t17_f5_c3,18.5085,0.0778,True,True,False,1.2.1,0.0,,1.0,354120112.0,ZTF23abhyssf
ztf,60239.42103009997,2485421031215015000,2,2485421031215,20.436447,1,2485,0.28925824,18.451302,17.599411,18.2908,0.0732605,0.022179347,0.03342827,0.0563,66.5824027,-11.9889872,0.94857144,t17_f5_c3,18.2236,0.0663,True,True,False,1.2.1,0.0,,1.0,354120212.0,ZTF23abhyssf
ztf,60239.439953700174,2485439951215015002,1,2485439951215,20.696064,1,2485,0.25999957,18.740988,17.891441,18.5774,0.07884552,0.026522929,0.036054417,0.0569,66.5824142,-11.9889992,0.9457143,t17_f5_c3,18.5702,0.0703,True,True,False,1.2.1,0.0,,1.0,354120112.0,ZTF23abhyssf
ztf,60244.33767359983,2490337671215015001,2,2490337671215,19.173239,1,2490,0.46220446,18.49564,17.61942,18.227,0.11939284,0.04678436,0.05327087,0.1265,66.5823507,-11.9889889,0.6557143,t17_f5_c3,18.1161,0.1461,True,True,False,1.2.1,0.0,,0.9999963,354120212.0,ZTF23abhyssf
ztf,60244.376226900145,2490376221215015001,1,2490376221215,19.270323,1,2490,0.60931545,19.073536,18.031027,18.9225,0.18452351,0.06495083,0.07063959,0.2552,66.5823556,-11.989122,0.8,t17_f5_c3,18.9409,0.3328,True,True,False,1.2.1,0.0,,0.999926,354120112.0,ZTF23abhyssf
ztf,60246.33677079994,2492336771215015000,2,2492336771215,18.76451,1,2492,0.32793835,18.455814,17.601469,18.5672,0.18758827,0.081642985,0.085401855,0.2319,66.5825732,-11.9889848,0.54714286,t17_f5_c3,18.8697,0.3933,True,True,False,1.2.1,0.0,,0.99982536,354120212.0,ZTF23abhyssf
ztf,60246.38979170006,2492389791215015000,1,2492389791215,18.843895,1,2492,0.7647963,19.057676,18.02493,18.8697,0.18885145,0.06751945,0.0729493,0.3125,66.5824084,-11.9888101,0.81,t17_f5_c3,18.6153,0.3176,True,True,False,1.2.1,0.0,,0.9998278,354120112.0,ZTF23abhyssf
ztf,60249.389594899956,2495389591215015000,1,2495389591215,19.13301,1,2495,0.50099355,19.262869,18.099665,19.0464,0.21133326,0.066069625,0.07239126,0.2813,66.5823447,-11.9890026,0.88,t17_f5_c3,19.0982,0.3783,True,True,False,1.2.1,0.0,,0.9998043,354120112.0,ZTF23abhyssf
ztf,60249.419733799994,2495419731215015007,2,2495419731215,18.689892,1,2495,0.2066191,18.556719,17.646248,18.2375,0.15616682,0.062260605,0.06751498,0.1919,66.5824227,-11.989009,0.51428574,t17_f5_c3,18.0443,0.2061,True,True,False,1.2.1,0.0,,0.99928087,354120212.0,ZTF23abhyssf
ztf,60251.35744210007,2497357441215015007,1,2497357441215,19.912834,1,2497,0.43357506,19.567938,18.194817,19.2874,0.14508097,0.025194302,0.04096022,0.2025,66.582402,-11.9889233,0.93,t17_f5_c3,19.1874,0.2361,True,True,False,1.2.1,0.0,,0.9999995,354120112.0,ZTF23abhyssf
ztf,60251.41643519979,2497416431215015000,2,2497416431215,19.726278,1,2497,0.2512907,18.70462,17.707733,18.3783,0.12876558,0.04335081,0.0514097,0.0936,66.5824119,-11.9889916,0.6857143,t17_f5_c3,18.213,0.1023,True,True,False,1.2.1,0.0,,0.9999988,354120212.0,ZTF23abhyssf
ztf,60253.393900500145,2499393901215015001,2,2499393901215,19.94805,1,2499,0.2522384,18.688648,17.701328,18.4197,0.10146631,0.030258343,0.040868998,0.0802,66.582411,-11.9889943,0.83428574,t17_f5_c3,18.4421,0.1037,True,True,False,1.2.1,0.0,,1.0,354120212.0,ZTF23abhyssf
ztf,60253.43731479999,2499437311215015000,1,2499437311215,20.26437,1,2499,0.22277214,19.228136,18.08764,19.0273,0.110297605,0.025146194,0.038580533,0.1267,66.5824405,-11.9889689,0.9628571,t17_f5_c3,19.0531,0.1647,True,True,False,1.2.1,0.0,,0.99999547,354120112.0,ZTF23abhyssf
ztf,60257.398206000216,2503398201215015002,2,2503398201215,19.991062,1,2503,0.48412094,18.705566,17.70811,18.4502,0.09281095,0.024646,0.037035406,0.0833,66.5823933,-11.9889035,0.8685714,t17_f5_c3,18.4605,0.1065,True,True,False,1.2.1,0.0,,0.9999994,354120212.0,ZTF23abhyssf
ztf,60257.46865739999,2503468651215015000,1,2503468651215,19.4676,1,2503,0.803486,19.347,18.127756,19.2739,0.220873,0.06512346,0.07185297,0.169,66.5826772,-11.98888,0.441429,t17_f5_c3,19.0113,0.1692,False,True,False,1.2.1,0.0,2.505365791215015e+18,,,ZTF23abhyssf
ztf,60259.36579860002,2505365791215015000,2,2505365791215,20.280897,1,2505,0.29755285,18.738705,17.721214,18.3971,0.0981618,0.02637947,0.038454406,0.0708,66.5823968,-11.9890022,0.79142857,t17_f5_c3,18.4307,0.092,True,True,False,1.2.1,0.0,,1.0,354120212.0,ZTF23abhyssf
ztf,60259.39806709997,2505398061215015000,1,2505398061215,20.206673,1,2505,0.2581012,19.450993,18.160505,19.4845,0.15911044,0.037021182,0.048473414,0.1669,66.5824212,-11.9890421,0.93857145,t17_f5_c3,19.5593,0.2266,True,True,False,1.2.1,0.0,,1.0,354120112.0,ZTF23abhyssf
ztf,60261.27793980017,2507277931215015001,2,2507277931215,20.015535,1,2507,0.3649282,18.760124,17.729555,18.3647,0.10677036,0.030213369,0.041325945,0.0797,66.5823866,-11.9890217,0.7985714,t17_f5_c3,18.3368,0.0982,True,True,False,1.2.1,0.0,,0.9999999,354120212.0,ZTF23abhyssf
ztf,60261.41291669989,2507412911215015000,1,2507412911215,20.378012,1,2507,0.19010586,19.573826,18.196476,19.5005,0.122361585,0.011746569,0.03441164,0.1697,66.582452,-11.9889738,0.9785714,t17_f5_c3,19.5935,0.2342,True,True,False,1.2.1,0.0,,0.99999905,354120112.0,ZTF23abhyssf
ztf,60262.399120400194,2508399121215015001,1,2508399121215,20.59143,1,2508,0.52374977,19.727016,18.23742,19.4186,0.12240423,100.0,0.031042563,0.1455,66.5823476,-11.9889586,0.94714284,t17_f5_c3,19.4902,0.1964,True,True,False,1.2.1,0.0,,0.99999917,354120112.0,ZTF23abhyssf
