tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60223.5232406999,2469523243615015008,2,2469523243615,19.3051,1,2469,3.71919,19.2386,19.0461,0.231446,0.2686,150.8630812,-1.5490471,0.774286,t17_f5_c3,18.8403,0.2852,False,False,False,1.2.1,0.0,2.470530963615015e+18,,,ZTF23abipwqf
ztf,60223.52567130001,2469525673615015003,2,2469525673615,19.2119,1,2469,3.49874,19.1766,18.7397,0.193112,0.2065,150.8629828,-1.5490489,0.534286,t17_f5_c3,18.7031,0.2566,False,False,False,1.2.1,0.0,2.470530963615015e+18,,,ZTF23abipwqf
ztf,60223.5281134001,2469528113615015005,2,2469528113615,19.0969,1,2469,3.42574,19.1766,18.8493,0.229223,0.2471,150.863023,-1.5489877,0.708571,t17_f5_c3,18.7853,0.299,False,False,False,1.2.1,0.0,2.470530963615015e+18,,,ZTF23abipwqf
ztf,60224.52364580007,2470523643615015014,2,2470523643615,19.651735,1,2470,3.855209,19.187494,19.1813,0.17211321,0.2577,150.8631579,-1.5490249,0.9071429,t17_f5_c3,19.3845,0.3989,True,False,False,1.2.1,0.0,,0.9834048,417120236.0,ZTF23abipwqf
ztf,60224.52608799981,2470526083615015011,2,2470526083615,19.5633,1,2470,3.61406,19.2147,19.0434,0.162617,0.2402,150.8630592,-1.5490264,0.854286,t17_f5_c3,19.2329,0.3668,False,False,False,1.2.1,0.0,2.470530963615015e+18,,,ZTF23abipwqf
ztf,60224.53096059989,2470530963615015003,2,2470530963615,19.405945,1,2470,3.7547917,19.19666,19.0552,0.17246157,0.2807,150.8630976,-1.5490445,0.8057143,t17_f5_c3,19.6414,0.6178,True,False,False,1.2.1,0.0,,0.98344386,417120236.0,ZTF23abipwqf
ztf,60224.533402800094,2470533403615015005,2,2470533403615,19.1827,1,2470,3.72694,19.5069,19.9522,0.219585,0.7776,150.8631193,-1.5490088,0.798571,t17_f5_c3,19.317,0.5574,False,False,False,1.2.1,0.0,2.476519693615015e+18,,,ZTF23abipwqf
ztf,60230.514548600186,2476514543615015008,2,2476514543615,20.0431,1,2476,3.84352,19.1354,19.1352,0.138337,0.1893,150.8631117,-1.5490659,0.857143,t17_f5_c3,19.243,0.2677,False,False,False,1.2.1,0.0,2.476519693615015e+18,,,ZTF23abipwqf
ztf,60230.51711810008,2476517113615015013,2,2476517113615,19.927635,1,2476,3.7698011,19.112625,18.8507,0.124192335,0.1514,150.8631101,-1.5490386,0.8357143,t17_f5_c3,18.9702,0.2165,True,False,False,1.2.1,0.0,,0.9999597,417120236.0,ZTF23abipwqf
ztf,60230.51969909994,2476519693615015009,2,2476519693615,19.999939,1,2476,3.7797916,19.053543,19.2811,0.10494738,0.2246,150.8631165,-1.5490361,0.92714286,t17_f5_c3,19.2207,0.2724,True,False,False,1.2.1,0.0,,0.99999785,417120236.0,ZTF23abipwqf
