tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60287.400300899986,2533400305715015001,2,2533400305715,19.586382,1,2533,4.234258,18.325844,18.2039,0.09535444,0.0816,151.587227,-6.2562325,0.38714287,t17_f5_c3,0.9999254,18.1663,0.0991,366120257.0,True,False,True,23.12.x,0.0,,ZTF23absirul
ztf,60287.43744210014,2533437445715015001,1,2533437445715,19.7527,1,2533,2.9918,18.7696,18.6859,0.132205,0.0992,151.5872177,-6.2561877,0.315714,t17_f5_c3,,18.695,0.1257,,False,False,True,23.12.x,0.0,2.534432955715015e+18,ZTF23absirul
ztf,60288.43295140006,2534432955715015003,2,2534432955715,19.851887,1,2534,4.208239,18.245358,18.1898,0.07259771,0.0767,151.5872564,-6.2561674,0.81285715,t17_f5_c3,0.99999225,18.1748,0.095,366120257.0,True,False,True,23.12.x,0.0,,ZTF23absirul
ztf,60290.442314799875,2536442315715015049,2,2536442315715,18.7131,1,2536,3.18598,17.8855,17.3304,0.119694,0.1132,151.5875044,-6.2563416,0.197143,t17_f5_c3,,17.2202,0.1304,,False,False,True,23.12.x,0.0,2.536482155715015e+18,ZTF23absirul
ztf,60290.482152800076,2536482155715015003,1,2536482155715,20.434256,1,2536,2.8763378,18.656942,18.71,0.07436124,0.0858,151.5872443,-6.2561614,0.91,t17_f5_c3,0.9999995,18.7625,0.1114,366120157.0,True,False,True,23.12.x,0.0,,ZTF23absirul
ztf,60306.40686339978,2552406865715015010,2,2552406865715,19.391813,1,2552,4.3387733,18.331276,18.7965,0.083245024,0.2205,151.5872221,-6.2561573,0.5914286,t17_f5_c3,0.9999988,18.8151,0.2859,366120257.0,True,False,True,23.12.x,0.0,,ZTF23absirul
ztf,60315.336678199936,2561336675715015000,2,2561336675715,19.464125,1,2561,4.3329782,18.153097,18.1118,0.09477738,0.0716,151.5872254,-6.2561513,0.39,t17_f5_c3,0.9948838,18.0866,0.0879,366120257.0,True,False,True,23.12.x,0.0,,ZTF23absirul
ztf,60315.38005790021,2561380055715015000,2,2561380055715,19.80557,1,2561,4.215964,18.29605,18.3396,0.080033906,0.0843,151.5872535,-6.2561729,0.7342857,t17_f5_c3,0.99999964,18.2354,0.0961,366120257.0,True,False,True,23.12.x,0.0,,ZTF23absirul
ztf,60322.41951389983,2568419515715015000,2,2568419515715,19.987371,1,2568,4.161291,18.315168,18.2489,0.07824851,0.0719,151.5872667,-6.2561819,0.8,t17_f5_c3,0.99999815,18.2788,0.0921,366120257.0,True,False,True,23.12.x,0.0,,ZTF23absirul
ztf,60322.466053199954,2568466055715015001,1,2568466055715,20.079046,1,2568,2.950295,18.990654,19.0164,0.12844436,0.1208,151.5872189,-6.2561455,0.62714285,t17_f5_c3,0.9999916,19.1545,0.1715,366120157.0,True,False,True,23.12.x,0.0,,ZTF23absirul
