tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,parent_candid,oid
ztf,60315.29626160022,2561296260415015000,2,2561296260415,19.823875,1,2561,1.6008676,17.335644,17.7158,0.09688724,0.0479,123.7785287,-19.0557235,0.41,t17_f5_c3,0.39084753,17.7194,0.0588,311120204.0,True,False,True,23.12.x,0.0,,,,,ZTF24aaapdnw
ztf,60341.25118059991,2587251180415015000,1,2587251180415,19.831282,1,2587,1.0259714,16.634886,16.7752,0.044917624,0.0193,123.7784776,-19.0555429,0.75142854,t17_f5_c3,0.9999337,16.7786,0.0232,311120104.0,True,True,False,23.12.x,0.0,15.515895,0.010366815,0.01602582,,ZTF24aaapdnw
ztf,60341.314375000075,2587314370415015000,2,2587314370415,19.881851,1,2587,1.109117,16.697538,16.8605,0.049398452,0.0232,123.7785105,-19.055585,0.73285717,t17_f5_c3,0.99385303,16.8498,0.0279,311120204.0,True,True,False,23.12.x,0.0,15.408756,0.008411621,0.015073028,,ZTF24aaapdnw
ztf,60354.37221059995,2600372210415015000,2,2600372210415,19.870434,1,2600,1.2160455,16.933401,17.1196,0.09240733,0.0317,123.7785079,-19.0556168,0.52428573,t17_f5_c3,0.73477995,17.1033,0.0382,311120204.0,True,True,False,23.12.x,0.0,15.475452,0.02013166,0.024128307,,ZTF24aaapdnw
ztf,60364.21008099988,2610210080415015000,2,2610210080415,16.968676,1,2610,1.0349402,16.696884,16.8967,0.14548503,0.3367,123.7784132,-19.0555757,0.47142857,t17_f5_c3,0.8187546,17.1415,0.5418,311120204.0,True,True,False,23.12.x,0.0,15.408557,0.042613663,0.04441067,,ZTF24aaapdnw
ztf,60368.25167819997,2614251670415015000,2,2614251670415,19.643906,1,2614,1.0546546,16.679722,16.7636,0.05746697,0.0281,123.7785192,-19.0555659,0.85142857,t17_f5_c3,0.9965639,16.6999,0.0329,311120204.0,True,True,False,23.12.x,0.0,15.403289,0.012636345,0.017735569,,ZTF24aaapdnw
ztf,60374.25197920017,2620251970415015000,2,2620251970415,19.9086,1,2620,1.12022,16.7182,16.8574,0.060259,0.0234,123.7784917,-19.0555928,0.55,t17_f5_c3,,16.8402,0.0278,,False,True,False,23.12.x,0.0,15.415019,0.0130756805,0.018144684,2.634253620415015e+18,ZTF24aaapdnw
ztf,60388.253622699995,2634253620415015000,1,2634253620415,19.040789,1,2634,0.9194959,16.191172,16.3455,0.05509298,0.0222,123.7785443,-19.055488,0.75,t17_f5_c3,0.9995308,16.3675,0.0282,311120104.0,True,True,False,23.12.x,0.0,15.336086,0.022825275,0.025064675,,ZTF24aaapdnw
ztf,60391.19059030013,2637190590415015000,1,2637190590415,19.4231,1,2637,0.784111,16.5414,16.6549,0.071929,0.0298,123.778496,-19.0554685,0.617143,t17_f5_c3,,16.6318,0.0367,,False,True,False,23.12.x,0.0,15.481609,0.02437738,0.027101142,2.637210840415015e+18,ZTF24aaapdnw
ztf,60391.21084489999,2637210840415015001,2,2637210840415,19.440487,1,2637,1.100457,17.07068,17.4059,0.111747295,0.0626,123.7784991,-19.0555843,0.38142857,t17_f5_c3,0.3200392,17.4381,0.0814,311120204.0,True,True,False,23.12.x,0.0,15.509657,0.02270986,0.026535507,,ZTF24aaapdnw
ztf,60397.25303239981,2643253030415015000,2,2643253030415,19.610044,1,2643,1.1071612,17.04048,17.3392,0.15394695,0.0529,123.7785142,-19.0555835,0.28285715,t17_f5_c3,0.19963682,17.3927,0.0697,311120204.0,True,True,False,23.12.x,0.0,15.502409,0.03475882,0.03733728,,ZTF24aaapdnw
ztf,60404.14900460001,2650149000415015000,2,2650149000415,20.244106,1,2650,1.1308903,16.816208,17.0319,0.0986738,0.0249,123.7785069,-19.0555918,0.53,t17_f5_c3,0.9288322,17.0283,0.0299,311120204.0,True,True,False,23.12.x,0.0,15.443611,0.024698498,0.027871676,,ZTF24aaapdnw
ztf,60408.19741899986,2654197410415015000,1,2654197410415,19.810497,1,2654,0.965625,16.595606,16.7619,0.08283475,0.0226,123.778521,-19.0555116,0.7014286,t17_f5_c3,0.9695723,16.7704,0.0275,311120104.0,True,True,False,23.12.x,0.0,15.501717,0.027735678,0.030245228,,ZTF24aaapdnw
ztf,60964.45937500009,3210459370415015000,1,3210459370415,19.002962,1,3210,1.0841144,16.023624,16.1578,0.048118323,0.0154,123.7784533,-19.0555635,0.44285715,t17_f5_c3,0.9902737,16.1186,0.018,311120104.0,True,True,False,27.5.6,0.0,15.256643,0.021703435,0.02374203,,ZTF24aaapdnw
ztf,60964.49480320001,3210494800415015000,2,3210494800415,19.7286,1,3210,0.7596,15.2646,15.2953,0.026338,0.007,123.7785026,-19.0554832,0.84,t17_f5_c3,,15.289,0.0082,,False,True,False,27.5.7a32.dev1,0.0,14.748567,0.014891615,0.016374556,3.236480700415015e+18,ZTF24aaapdnw
ztf,60966.46267359983,3212462670415015000,2,3212462670415,19.734278,1,3212,0.86354256,15.768443,15.7838,0.02997412,0.0107,123.7785361,-19.0555019,0.81714284,t17_f5_c3,0.99998915,15.7743,0.0127,311120204.0,True,True,False,27.5.6,0.0,15.033501,0.0123958895,0.015232444,,ZTF24aaapdnw
