tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60317.38252309989,2563382520215015013,2,2563382520215,20.0749,1,2563,7.91264,19.3195,19.3789,0.13792,0.1761,97.7568151,15.761158,0.898571,t17_f5_c3,19.2232,0.1967,False,False,True,23.12.x,0.0,2.563384390215015e+18,,,ZTF24aaaztkz
ztf,60317.382986099925,2563382980215015007,2,2563382980215,20.1261,1,2563,8.32446,19.3208,19.2662,0.160953,0.1551,97.7567076,15.7611029,0.858571,t17_f5_c3,19.4685,0.2398,False,False,True,23.12.x,0.0,2.563384390215015e+18,,,ZTF24aaaztkz
ztf,60317.38346059993,2563383460215015008,2,2563383460215,20.0611,1,2563,8.30744,19.2093,19.0946,0.13272,0.1353,97.7566906,15.7611488,0.83,t17_f5_c3,19.0415,0.1655,False,False,True,23.12.x,0.0,2.563384390215015e+18,,,ZTF24aaaztkz
ztf,60317.38393520005,2563383930215015010,2,2563383930215,20.1266,1,2563,8.86426,19.3094,19.2078,0.129285,0.146,97.7565173,15.7611268,0.834286,t17_f5_c3,19.2263,0.1903,False,False,True,23.12.x,0.0,2.563385820215015e+18,,,ZTF24aaaztkz
ztf,60317.384398099966,2563384390215015008,2,2563384390215,20.11768,1,2563,9.155013,19.304386,19.1983,0.10273942,0.1458,97.7564383,15.7611044,0.9042857,t17_f5_c3,19.2546,0.1967,True,False,True,23.12.x,0.0,,0.9999987,563120202.0,ZTF24aaaztkz
ztf,60317.38487270009,2563384870215015008,2,2563384870215,19.9827,1,2563,9.48289,19.3385,19.5033,0.10795,0.2039,97.756325,15.7611186,0.811429,t17_f5_c3,19.4696,0.2536,False,False,True,23.12.x,0.0,2.563385340215015e+18,,,ZTF24aaaztkz
ztf,60317.38534720009,2563385340215015011,2,2563385340215,20.117744,1,2563,9.776994,19.25057,19.1608,0.11683145,0.1409,97.7562317,15.7611182,0.9142857,t17_f5_c3,19.1714,0.182,True,False,True,23.12.x,0.0,,0.9999974,563120202.0,ZTF24aaaztkz
ztf,60317.38582180021,2563385820215015008,2,2563385820215,20.014563,1,2563,10.228657,19.530897,19.4326,0.1483305,0.1901,97.7561189,15.7610552,0.71428573,t17_f5_c3,19.329,0.2216,True,False,True,23.12.x,0.0,,0.99999714,563120202.0,ZTF24aaaztkz
ztf,60317.38628470013,2563386280215015006,2,2563386280215,20.070892,1,2563,10.483846,19.264973,19.279,0.115891114,0.1603,97.7560118,15.7611125,0.91714287,t17_f5_c3,19.2361,0.1974,True,False,True,23.12.x,0.0,,0.99999964,563120202.0,ZTF24aaaztkz
ztf,60317.386759299785,2563386750215015009,2,2563386750215,20.1404,1,2563,10.8222,19.4572,19.4154,0.131208,0.1769,97.7559111,15.7611086,0.861429,t17_f5_c3,19.7461,0.3068,False,False,True,23.12.x,0.0,2.563387220215015e+18,,,ZTF24aaaztkz
ztf,60317.38722220017,2563387220215015005,2,2563387220215,20.005127,1,2563,11.090943,19.360853,19.3234,0.15793978,0.1717,97.7558272,15.761109,0.66571426,t17_f5_c3,19.193,0.1952,True,False,True,23.12.x,0.0,,0.99999875,563120202.0,ZTF24aaaztkz
