tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60317.476956000086,2563476952615015013,2,2563476952615,19.7871,1,2563,7.3598,18.644,18.5723,0.118001,0.0783,149.6767734,2.956338,0.497143,t17_f5_c3,18.4867,0.0923,False,False,True,23.12.x,0.0,2.563480712615015e+18,,,ZTF24aabbxad
ztf,60317.47741900012,2563477412615015011,2,2563477412615,19.6369,1,2563,7.32584,18.6512,18.8704,0.139988,0.1028,149.6767203,2.9562914,0.528571,t17_f5_c3,18.9528,0.1415,False,False,True,23.12.x,0.0,2.563481192615015e+18,,,ZTF24aabbxad
ztf,60317.47789350012,2563477892615015014,2,2563477892615,19.7333,1,2563,7.28438,18.6126,18.6752,0.110996,0.0853,149.6766612,2.9562452,0.547143,t17_f5_c3,18.6819,0.1095,False,False,True,23.12.x,0.0,2.563481662615015e+18,,,ZTF24aabbxad
ztf,60317.47836809978,2563478362615015021,2,2563478362615,19.7136,1,2563,7.25966,18.6434,18.7986,0.11705,0.0963,149.6766781,2.9562738,0.587143,t17_f5_c3,18.6556,0.108,False,False,True,23.12.x,0.0,2.563481192615015e+18,,,ZTF24aabbxad
ztf,60317.47883100016,2563478832615015012,2,2563478832615,19.7839,1,2563,7.15296,18.731,18.7853,0.119543,0.0936,149.6765825,2.9562188,0.568571,t17_f5_c3,18.6459,0.1053,False,False,True,23.12.x,0.0,2.563481662615015e+18,,,ZTF24aabbxad
ztf,60317.479305599816,2563479302615015006,2,2563479302615,19.8347,1,2563,6.89844,18.6552,18.8478,0.126973,0.1003,149.6765435,2.9562769,0.694286,t17_f5_c3,18.8895,0.133,False,False,True,23.12.x,0.0,2.563482602615015e+18,,,ZTF24aabbxad
ztf,60317.47978009982,2563479782615015007,2,2563479782615,19.8191,1,2563,6.94554,18.6184,18.5648,0.10957,0.0777,149.6765116,2.95623,0.618571,t17_f5_c3,18.4566,0.0897,False,False,True,23.12.x,0.0,2.563482602615015e+18,,,ZTF24aabbxad
ztf,60317.48024309985,2563480242615015006,2,2563480242615,19.8176,1,2563,6.79719,18.673,18.7237,0.115876,0.0888,149.6764656,2.9562466,0.602857,t17_f5_c3,18.6061,0.1017,False,False,True,23.12.x,0.0,2.563482602615015e+18,,,ZTF24aabbxad
ztf,60317.48071759986,2563480712615015013,2,2563480712615,19.751465,1,2563,6.618093,18.665377,18.748,0.12492436,0.0911,149.6763912,2.9562486,0.56,t17_f5_c3,18.6215,0.1035,True,False,True,23.12.x,0.0,,0.9991091,468120226.0,ZTF24aabbxad
ztf,60317.48119209986,2563481192615015008,2,2563481192615,19.8274,1,2563,6.62185,18.647268,18.6363,0.10436834,0.0816,149.6763542,2.9562167,0.551429,t17_f5_c3,18.517,0.0933,True,False,True,23.12.x,0.0,,,,ZTF24aabbxad
ztf,60317.48166669998,2563481662615015010,2,2563481662615,19.782831,1,2563,6.3629217,18.573229,18.5875,0.11901144,0.0784,149.6762608,2.9562358,0.60571426,t17_f5_c3,18.722,0.113,True,False,True,23.12.x,0.0,,0.9995032,468120226.0,ZTF24aabbxad
ztf,60317.4821295999,2563482122615015008,2,2563482122615,19.686571,1,2563,6.18202,18.567722,18.7061,0.11760183,0.0873,149.6761823,2.9562424,0.5214286,t17_f5_c3,18.6565,0.1063,True,False,True,23.12.x,0.0,,0.99976915,468120226.0,ZTF24aabbxad
ztf,60317.48260420002,2563482602615015010,2,2563482602615,19.685457,1,2563,6.065725,18.642086,18.6799,0.12649016,0.0868,149.6761365,2.9562507,0.48,t17_f5_c3,18.647,0.1074,True,False,True,23.12.x,0.0,,0.9999032,468120226.0,ZTF24aabbxad
ztf,60317.483078700025,2563483072615015009,2,2563483072615,19.6557,1,2563,6.30687,18.6385,18.603,0.128482,0.0804,149.6761096,2.9561529,0.42,t17_f5_c3,18.5492,0.0976,False,False,True,23.12.x,0.0,2.563484012615015e+18,,,ZTF24aabbxad
ztf,60317.48354170006,2563483542615015005,2,2563483542615,19.768036,1,2563,6.2392025,18.727028,18.7615,0.11851017,0.0931,149.6760537,2.9561421,0.5271429,t17_f5_c3,18.7141,0.1137,True,False,True,23.12.x,0.0,,0.99973774,468120226.0,ZTF24aabbxad
ztf,60317.48401620006,2563484012615015016,2,2563484012615,19.897976,1,2563,6.1618814,18.645102,18.5482,0.09910428,0.076,149.6760454,2.9561625,0.5371429,t17_f5_c3,18.4868,0.0915,True,False,True,23.12.x,0.0,,0.99997175,468120226.0,ZTF24aabbxad
ztf,60317.4854282001,2563485422615015011,2,2563485422615,19.883942,1,2563,5.858012,18.560326,18.5434,0.12408962,0.0759,149.675852,2.9561604,0.5814286,t17_f5_c3,18.4396,0.0879,True,False,True,23.12.x,0.0,,0.9993925,468120226.0,ZTF24aabbxad
