tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60317.49250000017,2563492500615015063,2,2563492500615,19.4367,1,2563,7.71285,17.3005,17.3535,0.039728,0.0305,151.5010289,1.3419929,0.502857,t17_f5_c3,17.329,0.0375,False,False,True,23.12.x,0.0,2.563496260615015e+18,,,ZTF24aabbyzc
ztf,60317.4929630002,2563492960615015046,2,2563492960615,19.5353,1,2563,7.45204,17.3039,17.2902,0.036793,0.0286,151.5009665,1.3420274,0.501429,t17_f5_c3,17.2475,0.0345,False,False,True,23.12.x,0.0,2.563496260615015e+18,,,ZTF24aabbyzc
ztf,60317.493437500205,2563493430615015056,2,2563493430615,19.4231,1,2563,7.32593,17.2894,17.3353,0.040385,0.0295,151.5009396,1.342055,0.465714,t17_f5_c3,17.3033,0.036,False,False,False,23.12.x,0.0,2.563496720615015e+18,,,ZTF24aabbyzc
ztf,60317.49391200021,2563493910615015067,2,2563493910615,19.5202,1,2563,7.13274,17.2552,17.2611,0.033954,0.0279,151.5008641,1.342037,0.544286,t17_f5_c3,17.2249,0.0339,False,False,False,23.12.x,0.0,2.563496720615015e+18,,,ZTF24aabbyzc
ztf,60317.49437499978,2563494370615015080,2,2563494370615,19.5877,1,2563,7.01647,17.2719,17.3177,0.03212,0.0296,151.5008275,1.3420409,0.627143,t17_f5_c3,17.2669,0.0355,False,False,False,23.12.x,0.0,2.563496720615015e+18,,,ZTF24aabbyzc
ztf,60317.49484949978,2563494840615015042,2,2563494840615,19.451,1,2563,6.92,17.2297,17.2508,0.037572,0.0298,151.5007814,1.3420213,0.561429,t17_f5_c3,17.1958,0.0357,False,False,False,23.12.x,0.0,2.563498140615015e+18,,,ZTF24aabbyzc
ztf,60317.4953240999,2563495320615015058,2,2563495320615,19.4816,1,2563,6.75232,17.2862,17.3288,0.04183,0.0291,151.5007208,1.342017,0.505714,t17_f5_c3,17.3022,0.0358,False,False,False,23.12.x,0.0,2.563498140615015e+18,,,ZTF24aabbyzc
ztf,60317.49578699982,2563495780615015062,2,2563495780615,19.4442,1,2563,6.58532,17.2879,17.3223,0.043326,0.0292,151.5006703,1.3420266,0.45,t17_f5_c3,17.2959,0.0359,False,False,False,23.12.x,0.0,2.563499080615015e+18,,,ZTF24aabbyzc
ztf,60317.49626159994,2563496260615015063,2,2563496260615,19.5085,1,2563,6.39747,17.31,17.2981,0.037451,0.0296,151.5006167,1.3420436,0.558571,t17_f5_c3,17.2622,0.0361,False,False,False,23.12.x,0.0,2.563499080615015e+18,,,ZTF24aabbyzc
ztf,60317.496724499855,2563496720615015081,2,2563496720615,19.5191,1,2563,6.21735,17.2599,17.3194,0.036261,0.0295,151.5005489,1.3420386,0.558571,t17_f5_c3,17.2972,0.0363,False,False,False,23.12.x,0.0,2.563499080615015e+18,,,ZTF24aabbyzc
ztf,60317.49719909998,2563497190615015090,2,2563497190615,19.5127,1,2563,6.07918,17.2833,17.3266,0.04048,0.0295,151.5005153,1.3420584,0.538571,t17_f5_c3,17.3031,0.0363,False,False,False,23.12.x,0.0,2.563500970615015e+18,,,ZTF24aabbyzc
ztf,60317.49767359998,2563497670615015063,2,2563497670615,19.564,1,2563,6.0463,17.2761,17.2904,0.042656,0.0286,151.5004707,1.3420191,0.538571,t17_f5_c3,17.261,0.035,False,False,False,23.12.x,0.0,2.563500970615015e+18,,,ZTF24aabbyzc
ztf,60317.498148099985,2563498140615015063,2,2563498140615,19.6889,1,2563,5.75523,17.2471,17.2669,0.032587,0.0279,151.5004018,1.342065,0.671429,t17_f5_c3,17.2397,0.0341,False,False,False,23.12.x,0.0,2.563500970615015e+18,,,ZTF24aabbyzc
