tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60317.496724499855,2563496721715015009,2,2563496721715,19.6416,1,2563,17.0686,18.558,18.6526,0.130605,0.0834,153.6095701,3.8959423,0.395714,t17_f5_c3,18.546,0.0965,False,False,True,23.12.x,0.0,2.563500491715015e+18,,,ZTF24aabbzrc
ztf,60317.49719909998,2563497191715015014,2,2563497191715,19.6279,1,2563,17.0173,18.5984,18.6853,0.117111,0.0867,153.6095062,3.8959019,0.387143,t17_f5_c3,18.661,0.1081,False,False,True,23.12.x,0.0,2.563500971715015e+18,,,ZTF24aabbzrc
ztf,60317.49767359998,2563497671715015015,2,2563497671715,19.6934,1,2563,17.2712,18.5085,18.5738,0.08756,0.0794,153.6094749,3.8959667,0.554286,t17_f5_c3,18.4777,0.0927,False,False,True,23.12.x,0.0,2.563501901715015e+18,,,ZTF24aabbzrc
ztf,60317.498148099985,2563498141715015012,2,2563498141715,19.832,1,2563,17.5159,18.6635,18.5806,0.111925,0.0771,153.6093814,3.896002,0.455714,t17_f5_c3,18.5364,0.0943,False,False,True,23.12.x,0.0,2.563502851715015e+18,,,ZTF24aabbzrc
ztf,60317.49861110002,2563498611715015009,2,2563498611715,19.767,1,2563,17.4882,18.6149,18.664,0.088517,0.0847,153.6093692,3.8959882,0.538571,t17_f5_c3,18.5455,0.0969,False,False,True,23.12.x,0.0,2.563502851715015e+18,,,ZTF24aabbzrc
ztf,60317.49908560002,2563499081715015012,2,2563499081715,19.8153,1,2563,17.3547,18.5843,18.5501,0.123216,0.0748,153.6094367,3.8959758,0.502857,t17_f5_c3,18.4966,0.0908,False,False,True,23.12.x,0.0,2.563501901715015e+18,,,ZTF24aabbzrc
ztf,60317.49956020014,2563499561715015014,2,2563499561715,19.7841,1,2563,17.6652,18.5527,18.5687,0.12058,0.078,153.6093045,3.8960139,0.582857,t17_f5_c3,18.5388,0.0968,False,False,True,23.12.x,0.0,2.563502851715015e+18,,,ZTF24aabbzrc
ztf,60317.50002310006,2563500021715015018,2,2563500021715,19.9041,1,2563,17.7472,18.594,18.5524,0.097815,0.0758,153.6093216,3.896047,0.577143,t17_f5_c3,18.5404,0.0955,False,False,True,23.12.x,0.0,2.563502851715015e+18,,,ZTF24aabbzrc
ztf,60317.50049770018,2563500491715015015,2,2563500491715,19.8213,1,2563,18.0485,18.5226,18.6132,0.08961,0.0815,153.6092456,3.8961056,0.651429,t17_f5_c3,18.5869,0.1014,False,False,True,23.12.x,0.0,2.563501901715015e+18,,,ZTF24aabbzrc
ztf,60317.500972200185,2563500971715015015,2,2563500971715,19.8774,1,2563,18.1546,18.606718,18.559,0.102668725,0.076,153.6091863,3.8961122,0.642857,t17_f5_c3,18.5392,0.095,True,False,True,23.12.x,0.0,,,,ZTF24aabbzrc
ztf,60317.50143520022,2563501431715015011,2,2563501431715,19.8568,1,2563,18.2004,18.5118,18.4995,0.09608,0.0731,153.6091787,3.8961229,0.7,t17_f5_c3,18.4685,0.0906,False,False,True,23.12.x,0.0,2.563501901715015e+18,,,ZTF24aabbzrc
ztf,60317.50190970022,2563501901715015012,2,2563501901715,19.8722,1,2563,18.3285,18.642628,18.5943,0.08525027,0.0796,153.6091035,3.896128,0.601429,t17_f5_c3,18.5398,0.0966,True,False,True,23.12.x,0.0,,,,ZTF24aabbzrc
ztf,60317.50238429988,2563502381715015008,2,2563502381715,19.626068,1,2563,18.325428,18.6179,18.5792,0.116817,0.0855,153.6091378,3.8961428,0.45714286,t17_f5_c3,18.4701,0.0988,False,False,True,23.12.x,0.0,2.563503791715015e+18,0.9997721,468120217.0,ZTF24aabbzrc
ztf,60317.50285879988,2563502851715015012,2,2563502851715,19.7285,1,2563,18.5124,18.6234,18.6926,0.115409,0.0874,153.6090444,3.8961565,0.541429,t17_f5_c3,18.7053,0.1128,False,False,True,23.12.x,0.0,2.563503321715015e+18,,,ZTF24aabbzrc
ztf,60317.503321799915,2563503321715015011,2,2563503321715,19.7392,1,2563,18.8682,18.561523,18.6273,0.11945577,0.0833,153.6090008,3.8962473,0.561429,t17_f5_c3,18.6708,0.1105,True,False,True,23.12.x,0.0,,,,ZTF24aabbzrc
ztf,60317.50379629992,2563503791715015011,2,2563503791715,19.7549,1,2563,19.0745,18.592697,18.5599,0.10601935,0.0776,153.608995,3.8963076,0.487143,t17_f5_c3,18.4701,0.0911,True,False,True,23.12.x,0.0,,,,ZTF24aabbzrc
ztf,60317.504270799924,2563504271715015015,2,2563504271715,19.76134,1,2563,18.943201,18.614489,18.5599,0.11602331,0.0765,153.6089474,3.8962441,0.47857141,t17_f5_c3,18.5543,0.097,True,False,True,23.12.x,0.0,,0.9992392,468120217.0,ZTF24aabbzrc
ztf,60317.50520829996,2563505201715015008,2,2563505201715,19.74622,1,2563,19.152546,18.5572,18.4812,0.10126691,0.0712,153.6088528,3.8962621,0.47142857,t17_f5_c3,18.4406,0.0874,True,False,True,23.12.x,0.0,,0.9998764,468120217.0,ZTF24aabbzrc
