tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,oid
ztf,60319.13405090012,2565134052015015025,2,2565134052015,19.7411,1,2565,3.02908,19.1913,19.2,0.111775,0.1988,90.2211326,18.3523733,0.731429,t17_f5_c3,19.038,0.2199,False,False,True,23.12.x,0.0,2.565135932015015e+18,,,,,,ZTF24aabgicb
ztf,60319.13451390015,2565134512015015027,2,2565134512015,19.5452,1,2565,2.46445,19.1587,19.4782,0.180899,0.2804,90.2210186,18.35225,0.614286,t17_f5_c3,19.3952,0.3333,False,False,True,23.12.x,0.0,2.565135932015015e+18,,,,,,ZTF24aabgicb
ztf,60319.134988400154,2565134982015015063,2,2565134982015,19.3301,1,2565,2.5579,19.3328,19.1475,0.191381,0.2748,90.2209638,18.3523568,0.42,t17_f5_c3,19.2433,0.3854,False,False,True,23.12.x,0.0,2.565135932015015e+18,,,,,,ZTF24aabgicb
ztf,60319.13546299981,2565135462015015037,2,2565135462015,19.1935,1,2565,1.72723,19.3775,18.9836,0.220896,0.2623,90.2208188,18.3521591,0.345714,t17_f5_c3,19.0105,0.3455,False,False,True,23.12.x,0.0,2.565136412015015e+18,,,,,,ZTF24aabgicb
ztf,60319.135937499814,2565135932015015027,2,2565135932015,19.15015,1,2565,1.635565,19.13352,19.02,0.19704257,0.2944,90.2207706,18.3521679,0.63714284,t17_f5_c3,18.7816,0.3034,True,False,True,23.12.x,0.0,,0.99660754,562120220.0,,,,ZTF24aabgicb
ztf,60319.13641199982,2565136412015015040,2,2565136412015,19.377724,1,2565,1.508543,19.304333,19.9293,0.2089391,0.525,90.2205666,18.3522469,0.5957143,t17_f5_c3,19.7087,0.5508,True,False,True,23.12.x,0.0,,0.9993063,562120220.0,,,,ZTF24aabgicb
ztf,60319.13687499985,2565136872015015012,2,2565136872015,19.611074,1,2565,1.2611793,19.323223,19.2409,0.18071793,0.2369,90.220548,18.3521796,0.75,t17_f5_c3,19.4631,0.373,True,True,False,23.12.x,0.0,,0.96373814,562120220.0,19.228443,0.16530685,0.16561094,ZTF24aabgicb
ztf,60319.137349499855,2565137342015015019,2,2565137342015,19.4668,1,2565,1.36422,19.4165,19.1531,0.237755,0.2371,90.2203627,18.3522253,0.464286,t17_f5_c3,19.2044,0.3189,False,True,False,23.12.x,0.0,2.565138762015015e+18,,,19.313608,0.21598591,0.21625826,ZTF24aabgicb
ztf,60319.13782409998,2565137822015015025,2,2565137822015,19.544767,1,2565,1.4272695,19.410048,19.4152,0.18608819,0.2935,90.2202663,18.3522199,0.6614286,t17_f5_c3,19.1352,0.2913,True,False,True,23.12.x,0.0,,0.9928086,562120220.0,,,,ZTF24aabgicb
ztf,60319.13828699989,2565138282015015020,2,2565138282015,19.211586,1,2565,0.8432421,19.324175,19.2178,0.190643,0.315,90.2202193,18.3519824,0.47428572,t17_f5_c3,19.5038,0.5262,True,True,False,23.12.x,0.0,,0.9875853,562120220.0,19.229315,0.1744048,0.17469351,ZTF24aabgicb
ztf,60319.138761600014,2565138762015015018,2,2565138762015,18.871796,1,2565,1.297355,19.053625,19.3213,0.1988657,0.4601,90.2201499,18.3520941,0.5885714,t17_f5_c3,19.5212,0.7109,True,True,False,23.12.x,0.0,,0.9965067,562120220.0,18.978987,0.18548287,0.18565412,ZTF24aabgicb
