tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.1500694002,2565150065515015000,2,2565150065515,19.752,1,2565,3.42832,17.8141,17.9066,0.074527,0.0549,89.8859262,21.732868,0.834286,t17_f5_c3,17.9651,0.0751,False,False,False,23.12.x,0.0,2.565151955515015e+18,,,ZTF24aabguci
ztf,60319.15054399986,2565150545515015000,2,2565150545515,19.872,1,2565,3.63149,17.7923,17.8002,0.051175,0.049,89.8858378,21.7328625,0.9,t17_f5_c3,17.8254,0.0648,False,False,False,23.12.x,0.0,2.565151955515015e+18,,,ZTF24aabguci
ztf,60319.15101849986,2565151015515015000,2,2565151015515,19.7276,1,2565,4.01641,17.802,17.7571,0.057484,0.0523,89.885691,21.7328633,0.874286,t17_f5_c3,17.9277,0.0786,False,False,False,23.12.x,0.0,2.565151955515015e+18,,,ZTF24aabguci
ztf,60319.151481499895,2565151485515015000,2,2565151485515,19.4929,1,2565,4.14389,17.8039,17.7932,0.066923,0.0655,89.8856317,21.7328734,0.818571,t17_f5_c3,17.7915,0.084,False,False,False,23.12.x,0.0,2.565151955515015e+18,,,ZTF24aabguci
ztf,60319.1519559999,2565151955515015001,2,2565151955515,19.259365,1,2565,4.4391418,17.820549,17.8774,0.069741696,0.0926,89.8855263,21.7328682,0.8542857,t17_f5_c3,17.9921,0.132,True,False,False,23.12.x,0.0,,1.0,562120255.0,ZTF24aabguci
ztf,60319.15241899993,2565152415515015001,2,2565152415515,18.930347,1,2565,4.614702,17.857903,17.9845,0.09678427,0.1413,89.8854531,21.7328774,0.92142856,t17_f5_c3,17.8832,0.1653,True,False,False,23.12.x,0.0,,1.0,562120255.0,ZTF24aabguci
ztf,60319.15289349994,2565152895515015001,2,2565152895515,18.591665,1,2565,5.1109543,17.801456,17.6566,0.13109256,0.1272,89.8853274,21.7328001,0.67285717,t17_f5_c3,17.736,0.1756,True,False,False,23.12.x,0.0,,0.9999995,562120255.0,ZTF24aabguci
ztf,60319.15336810006,2565153365515015001,2,2565153365515,18.84069,1,2565,5.3001122,17.822115,17.8102,0.09007674,0.1229,89.8852546,21.7328078,0.7871429,t17_f5_c3,17.7057,0.1433,True,False,False,23.12.x,0.0,,1.0,562120255.0,ZTF24aabguci
ztf,60319.15384260006,2565153845515015002,2,2565153845515,18.599775,1,2565,5.4241986,17.711147,17.5215,0.120061085,0.1231,89.8851734,21.7328771,0.6614286,t17_f5_c3,17.3416,0.134,True,False,False,23.12.x,0.0,,0.9999988,562120255.0,ZTF24aabguci
ztf,60319.154305600096,2565154305515015001,2,2565154305515,19.046291,1,2565,5.874263,17.779202,17.9287,0.09841517,0.1152,89.8850556,21.7328194,0.84,t17_f5_c3,18.1412,0.1795,True,False,False,23.12.x,0.0,,1.0,562120255.0,ZTF24aabguci
ztf,60319.15479170019,2565154795515015000,2,2565154795515,19.272749,1,2565,6.08651,17.828672,17.822,0.072063394,0.0856,89.8849857,21.7328097,0.85571426,t17_f5_c3,17.7529,0.1029,True,False,False,23.12.x,0.0,,1.0,562120255.0,ZTF24aabguci
