tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.16373840021,2565163734615015012,2,2565163734615,20.0895,1,2565,3.21724,17.4776,17.4877,0.037661,0.0327,85.0272412,19.2396404,0.928571,t17_f5_c3,17.5,0.0416,False,False,False,23.12.x,0.0,2.565165614615015e+18,,,ZTF24aabhbta
ztf,60319.16420139978,2565164204615015016,2,2565164204615,20.0477,1,2565,3.53668,17.45,17.4971,0.042546,0.0334,85.0271404,19.2396413,0.92,t17_f5_c3,17.4711,0.0411,False,False,False,23.12.x,0.0,2.565165614615015e+18,,,ZTF24aabhbta
ztf,60319.16467589978,2565164674615015019,2,2565164674615,19.7158,1,2565,3.66339,17.454,17.5324,0.048638,0.0446,85.0270663,19.239648,0.918571,t17_f5_c3,17.5024,0.0551,False,False,False,23.12.x,0.0,2.565165614615015e+18,,,ZTF24aabhbta
ztf,60319.1651504999,2565165154615015011,2,2565165154615,19.6396,1,2565,3.79578,17.4505,17.4384,0.035385,0.0442,85.0269628,19.2396148,0.922857,t17_f5_c3,17.3795,0.0531,False,False,False,23.12.x,0.0,2.565165614615015e+18,,,ZTF24aabhbta
ztf,60319.16561339982,2565165614615015025,2,2565165614615,19.983282,1,2565,3.8311777,17.428682,17.4353,0.040564943,0.0321,85.026867,19.2396176,0.9128571,t17_f5_c3,17.4496,0.0409,True,False,False,23.12.x,0.0,,0.9999959,562120246.0,ZTF24aabhbta
ztf,60319.16608799994,2565166084615015017,2,2565166084615,20.029898,1,2565,3.8853219,17.447515,17.4728,0.043912392,0.0321,85.0267762,19.2396179,0.9114286,t17_f5_c3,17.4702,0.0403,True,False,False,23.12.x,0.0,,0.9999816,562120246.0,ZTF24aabhbta
ztf,60319.166562499944,2565166564615015025,2,2565166564615,19.977087,1,2565,3.978328,17.457748,17.542,0.045637473,0.0339,85.0266867,19.2396159,0.8685714,t17_f5_c3,17.5459,0.0428,True,False,False,23.12.x,0.0,,0.9999927,562120246.0,ZTF24aabhbta
ztf,60319.16703699995,2565167034615015009,2,2565167034615,19.876648,1,2565,3.7642581,17.47033,17.5349,0.05299013,0.0337,85.026581,19.2395967,0.81285715,t17_f5_c3,17.5098,0.0415,True,False,False,23.12.x,0.0,,0.9999629,562120246.0,ZTF24aabhbta
ztf,60319.16751160007,2565167514615015007,2,2565167514615,19.802063,1,2565,3.5701542,17.454094,17.469,0.0417024,0.033,85.0265099,19.2395969,0.7985714,t17_f5_c3,17.436,0.0403,True,False,False,23.12.x,0.0,,0.99987966,562120246.0,ZTF24aabhbta
ztf,60319.167986100074,2565167984615015010,2,2565167984615,19.919605,1,2565,3.3260682,17.465954,17.537,0.056937113,0.0339,85.0264137,19.2395923,0.85,t17_f5_c3,17.5395,0.0428,True,False,False,23.12.x,0.0,,0.99999475,562120246.0,ZTF24aabhbta
ztf,60319.16844910011,2565168444615015009,2,2565168444615,19.843786,1,2565,3.1036494,17.470781,17.5246,0.04006714,0.034,85.0263149,19.2395811,0.81857145,t17_f5_c3,17.4734,0.0409,True,False,False,23.12.x,0.0,,0.99998844,562120246.0,ZTF24aabhbta
