tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.17550930008,2565175502715015030,2,2565175502715,20.2273,1,2565,13.1814,19.327,19.235,0.110069,0.149,87.5425083,17.1774376,0.814286,t17_f5_c3,19.29,0.2006,False,False,True,23.12.x,0.0,2.565178342715015e+18,,,ZTF24aabhifx
ztf,60319.17598380009,2565175982715015026,2,2565175982715,20.2507,1,2565,13.3435,19.4159,19.2868,0.114554,0.1513,87.5424368,17.1773721,0.814286,t17_f5_c3,19.3463,0.2046,False,False,True,23.12.x,0.0,2.565178342715015e+18,,,ZTF24aabhifx
ztf,60319.17645830009,2565176452715015035,2,2565176452715,20.3101,1,2565,13.2862,19.3508,19.2197,0.093268,0.1409,87.542394,17.1773822,0.831429,t17_f5_c3,19.2606,0.1872,False,False,True,23.12.x,0.0,2.565178342715015e+18,,,ZTF24aabhifx
ztf,60319.17693290021,2565176932715015026,2,2565176932715,20.2374,1,2565,13.3278,19.38,19.1362,0.108277,0.1341,87.5422564,17.1773382,0.67,t17_f5_c3,19.1963,0.1814,False,False,True,23.12.x,0.0,2.565178342715015e+18,,,ZTF24aabhifx
ztf,60319.17739580013,2565177392715015037,2,2565177392715,20.2796,1,2565,13.1378,19.2152,19.5943,0.085389,0.1982,87.542241,17.177387,0.815714,t17_f5_c3,19.5119,0.2353,False,False,True,23.12.x,0.0,2.565178342715015e+18,,,ZTF24aabhifx
ztf,60319.177870399784,2565177872715015026,2,2565177872715,20.2531,1,2565,13.3185,19.3683,19.3419,0.104589,0.1579,87.5422041,17.1773312,0.837143,t17_f5_c3,19.2783,0.1908,False,False,True,23.12.x,0.0,2.565178342715015e+18,,,ZTF24aabhifx
ztf,60319.17834489979,2565178342715015026,2,2565178342715,20.207352,1,2565,13.346361,19.32398,19.3055,0.08982866,0.1542,87.5421376,17.1773112,0.8357143,t17_f5_c3,19.205,0.18,True,False,True,23.12.x,0.0,,0.9999949,562120227.0,ZTF24aabhifx
ztf,60319.17881939979,2565178812715015023,2,2565178812715,20.225443,1,2565,13.254209,19.330978,19.272,0.12611096,0.1492,87.5420724,17.1773252,0.82,t17_f5_c3,19.1792,0.1755,True,False,True,23.12.x,0.0,,0.9999954,562120227.0,ZTF24aabhifx
ztf,60319.179282399826,2565179282715015030,2,2565179282715,20.204138,1,2565,13.236861,19.335274,19.41,0.09175207,0.1721,87.5419695,17.1773164,0.8157143,t17_f5_c3,19.3869,0.2158,True,False,True,23.12.x,0.0,,0.9999957,562120227.0,ZTF24aabhifx
ztf,60319.17975689983,2565179752715015021,2,2565179752715,20.175955,1,2565,13.374087,19.331266,19.2691,0.11133526,0.1487,87.5419236,17.177271,0.74857146,t17_f5_c3,19.145,0.1699,True,False,True,23.12.x,0.0,,0.99989617,562120227.0,ZTF24aabhifx
ztf,60319.18023149995,2565180232715015022,2,2565180232715,20.158865,1,2565,13.406654,19.368755,19.5147,0.09974128,0.1868,87.5418524,17.1772566,0.76428574,t17_f5_c3,19.525,0.2418,True,False,True,23.12.x,0.0,,0.9999992,562120227.0,ZTF24aabhifx
ztf,60319.18069439987,2565180692715015028,2,2565180692715,20.194473,1,2565,13.228693,19.399975,19.4316,0.09597012,0.171,87.5417855,17.1772995,0.7385714,t17_f5_c3,19.6742,0.2738,True,False,True,23.12.x,0.0,,0.99998426,562120227.0,ZTF24aabhifx
ztf,60319.18116899999,2565181162715015023,2,2565181162715,20.156273,1,2565,13.344969,19.335941,19.2864,0.11044182,0.1534,87.5417206,17.1772646,0.8371429,t17_f5_c3,19.2709,0.1937,True,False,True,23.12.x,0.0,,0.9999965,562120227.0,ZTF24aabhifx
ztf,60319.18164349999,2565181642715015023,2,2565181642715,20.1815,1,2565,13.4346,19.3822,19.4738,0.092002,0.1794,87.5416605,17.1772331,0.784286,t17_f5_c3,19.5403,0.2445,False,False,True,23.12.x,0.0,2.565182112715015e+18,,,ZTF24aabhifx
ztf,60319.182118100114,2565182112715015019,2,2565182112715,20.169912,1,2565,13.54169,19.35096,19.4021,0.10310357,0.1682,87.5416496,17.1772016,0.8,t17_f5_c3,19.3679,0.2087,True,False,True,23.12.x,0.0,,0.9999833,562120227.0,ZTF24aabhifx
