tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.27256939979,2565272564415015015,2,2565272564415,20.3394,1,2565,4.1299,18.9134,18.9947,0.077797,0.1117,85.9252722,20.3521537,0.901429,t17_f5_c3,19.0391,0.1527,False,False,True,23.12.x,0.0,2.565274444415015e+18,,,ZTF24aabixol
ztf,60319.273032399826,2565273034415015016,2,2565273034415,20.3143,1,2565,4.42521,18.9677,18.9928,0.08598,0.1128,85.9251331,20.352136,0.862857,t17_f5_c3,19.2059,0.1793,False,False,True,23.12.x,0.0,2.565274444415015e+18,,,ZTF24aabixol
ztf,60319.27350689983,2565273504415015018,2,2565273504415,20.3015,1,2565,4.73102,19.0228,19.064,0.106173,0.1202,85.9250636,20.3521905,0.918571,t17_f5_c3,19.2694,0.1898,False,False,True,23.12.x,0.0,2.565274444415015e+18,,,ZTF24aabixol
ztf,60319.27396989986,2565273964415015014,2,2565273964415,20.3004,1,2565,4.89105,18.8997,18.9747,0.067729,0.1107,85.9249773,20.352162,0.932857,t17_f5_c3,19.1577,0.17,False,False,True,23.12.x,0.0,2.565274444415015e+18,,,ZTF24aabixol
ztf,60319.27444439987,2565274444415015016,2,2565274444415,20.263521,1,2565,5.2139597,18.916079,19.0838,0.06836212,0.1215,85.9248408,20.3521405,0.92714286,t17_f5_c3,19.2062,0.1759,True,False,True,23.12.x,0.0,,0.9999188,562120244.0,ZTF24aabixol
ztf,60319.27491899999,2565274914415015017,2,2565274914415,20.3128,1,2565,5.44766,18.9271,18.9344,0.065763,0.1053,85.9247577,20.3521367,0.935714,t17_f5_c3,19.0628,0.1528,False,False,True,23.12.x,0.0,2.565276794415015e+18,,,ZTF24aabixol
ztf,60319.275381899904,2565275384415015018,2,2565275384415,20.226572,1,2565,5.8150835,18.922958,18.9701,0.07218822,0.1098,85.924636,20.3521499,0.89285713,t17_f5_c3,19.0297,0.1494,True,False,True,23.12.x,0.0,,0.99939823,562120244.0,ZTF24aabixol
ztf,60319.275856500026,2565275854415015017,2,2565275854415,20.21747,1,2565,6.060202,18.858036,18.9155,0.0851806,0.1047,85.924526,20.3521021,0.8857143,t17_f5_c3,18.8928,0.1318,True,False,True,23.12.x,0.0,,0.9999639,562120244.0,ZTF24aabixol
ztf,60319.27633100003,2565276334415015015,2,2565276334415,20.197956,1,2565,6.346798,18.91361,18.786,0.08022962,0.0929,85.9244319,20.3521066,0.7114286,t17_f5_c3,18.7998,0.1208,True,False,True,23.12.x,0.0,,0.99878836,562120244.0,ZTF24aabixol
ztf,60319.27679400006,2565276794415015015,2,2565276794415,20.198044,1,2565,6.6052322,18.9137,18.9891,0.08552353,0.1115,85.9243185,20.3520949,0.76857144,t17_f5_c3,19.0742,0.1546,True,False,True,23.12.x,0.0,,0.9999894,562120244.0,ZTF24aabixol
ztf,60319.27726850007,2565277264415015015,2,2565277264415,20.189753,1,2565,6.8173633,18.895311,19.0528,0.08212635,0.1194,85.924247,20.3521361,0.83,t17_f5_c3,19.3704,0.2048,True,False,True,23.12.x,0.0,,0.9999901,562120244.0,ZTF24aabixol
