tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.26925930008,2565269253015015002,2,2565269253015,20.2003,1,2565,2.0994,18.9468,18.9372,0.080798,0.1075,85.2710874,17.8721117,0.952857,t17_f5_c3,19.0171,0.1475,False,False,False,23.12.x,0.0,2.565271143015015e+18,,,ZTF24aabiynq
ztf,60319.26973380009,2565269733015015003,2,2565269733015,20.3176,1,2565,2.3345,18.8747,18.7919,0.091109,0.0894,85.2709978,17.8720888,0.864286,t17_f5_c3,18.7328,0.1077,False,False,False,23.12.x,0.0,2.565271623015015e+18,,,ZTF24aabiynq
ztf,60319.27020830009,2565270203015015001,2,2565270203015,20.3182,1,2565,2.64296,18.8979,18.9478,0.104314,0.1027,85.2708996,17.8720865,0.95,t17_f5_c3,19.0036,0.1374,False,False,False,23.12.x,0.0,2.565271623015015e+18,,,ZTF24aabiynq
ztf,60319.27068290021,2565270683015015003,2,2565270683015,20.4033,1,2565,2.96267,18.9891,18.968,0.103497,0.1013,85.2707943,17.8720708,0.891429,t17_f5_c3,18.9333,0.1247,False,False,False,23.12.x,0.0,2.565271623015015e+18,,,ZTF24aabiynq
ztf,60319.27114580013,2565271143015015003,2,2565271143015,20.322268,1,2565,3.269394,18.968649,19.1652,0.10447323,0.1258,85.2707034,17.8720723,0.9085714,t17_f5_c3,18.9969,0.1372,True,False,False,23.12.x,0.0,,0.99999994,562120230.0,ZTF24aabiynq
ztf,60319.271620399784,2565271623015015003,2,2565271623015,20.338745,1,2565,3.5293634,18.992731,18.8634,0.09282868,0.0951,85.2706185,17.8720724,0.9142857,t17_f5_c3,18.7594,0.1097,True,False,False,23.12.x,0.0,,0.9999997,562120230.0,ZTF24aabiynq
ztf,60319.27209489979,2565272093015015004,2,2565272093015,20.41658,1,2565,3.8506408,18.948265,19.0382,0.093849845,0.1078,85.2705149,17.8720376,0.97,t17_f5_c3,19.0573,0.1389,True,False,False,23.12.x,0.0,,1.0,562120230.0,ZTF24aabiynq
ztf,60319.27256939979,2565272563015015002,2,2565272563015,20.506279,1,2565,4.227209,19.075644,18.8944,0.08601589,0.0908,85.2704039,17.8720515,0.9285714,t17_f5_c3,18.8585,0.1111,True,False,False,23.12.x,0.0,,1.0,562120230.0,ZTF24aabiynq
ztf,60319.273032399826,2565273033015015006,2,2565273033015,20.522,1,2565,4.4100895,18.98302,19.0117,0.0775984,0.1,85.2703526,17.8720643,0.9742857,t17_f5_c3,19.0647,0.1328,True,False,False,23.12.x,0.0,,1.0,562120230.0,ZTF24aabiynq
ztf,60319.27350689983,2565273503015015003,2,2565273503015,20.473799,1,2565,4.7424855,18.904415,18.8952,0.08491769,0.0922,85.2702467,17.8720266,0.97,t17_f5_c3,18.9174,0.1191,True,False,False,23.12.x,0.0,,0.9999999,562120230.0,ZTF24aabiynq
ztf,60319.27396989986,2565273963015015001,2,2565273963015,20.48271,1,2565,4.7352786,19.051023,18.9653,0.088387266,0.0985,85.270139,17.8720218,0.96,t17_f5_c3,18.8853,0.1161,True,False,False,23.12.x,0.0,,0.9999981,562120230.0,ZTF24aabiynq
