tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.27962959977,2565279620815015016,2,2565279620815,20.3028,1,2565,5.97063,19.3729,19.481,0.113412,0.1703,87.8777684,16.4935468,0.88,t17_f5_c3,19.491,0.2198,False,False,True,23.12.x,0.0,2.565281970815015e+18,,,ZTF24aabjcrh
ztf,60319.28010419989,2565280100815015016,2,2565280100815,20.418,1,2565,6.11301,19.4449,19.2336,0.111646,0.1268,87.8776971,16.4935451,0.807143,t17_f5_c3,19.2698,0.1674,False,False,True,23.12.x,0.0,2.565281970815015e+18,,,ZTF24aabjcrh
ztf,60319.280578699894,2565280570815015016,2,2565280570815,20.3947,1,2565,6.21742,19.4632,19.5202,0.085244,0.1664,87.8776076,16.493574,0.882857,t17_f5_c3,19.6924,0.2494,False,False,True,23.12.x,0.0,2.565282450815015e+18,,,ZTF24aabjcrh
ztf,60319.28104169993,2565281040815015020,2,2565281040815,20.4299,1,2565,6.48686,19.3698,19.2629,0.0923,0.1295,87.8775237,16.4935441,0.908571,t17_f5_c3,19.2111,0.1578,False,False,True,23.12.x,0.0,2.565282450815015e+18,,,ZTF24aabjcrh
ztf,60319.28151619993,2565281510815015017,2,2565281510815,20.3514,1,2565,6.6448,19.4369,19.3033,0.102841,0.1408,87.8774432,16.4935462,0.868571,t17_f5_c3,19.3636,0.1904,False,False,True,23.12.x,0.0,2.565282450815015e+18,,,ZTF24aabjcrh
ztf,60319.281979199965,2565281970815015018,2,2565281970815,20.419905,1,2565,6.7970505,19.435396,19.1602,0.12734337,0.1189,87.87735,16.4935776,0.70857143,t17_f5_c3,19.1782,0.1545,True,False,True,23.12.x,0.0,,0.99998844,562120208.0,ZTF24aabjcrh
ztf,60319.28245369997,2565282450815015018,2,2565282450815,20.533636,1,2565,6.786099,19.379595,19.3991,0.089536406,0.1387,87.8772491,16.4935672,0.9028571,t17_f5_c3,19.6529,0.2236,True,False,True,23.12.x,0.0,,0.9999994,562120208.0,ZTF24aabjcrh
ztf,60319.28292819997,2565282920815015023,2,2565282920815,20.500753,1,2565,6.7662907,19.376787,19.2493,0.08612471,0.1232,87.8772009,16.4936092,0.88714284,t17_f5_c3,19.2449,0.1571,True,False,True,23.12.x,0.0,,0.99999976,562120208.0,ZTF24aabjcrh
ztf,60319.283402800094,2565283400815015021,2,2565283400815,20.407564,1,2565,6.615832,19.440483,19.3223,0.12889104,0.139,87.8771493,16.493594,0.81285715,t17_f5_c3,19.3664,0.1854,True,False,True,23.12.x,0.0,,0.9999917,562120208.0,ZTF24aabjcrh
ztf,60319.2838773001,2565283870815015025,2,2565283870815,20.37872,1,2565,6.483116,19.447836,19.4104,0.11239502,0.1531,87.8770602,16.4936263,0.8585714,t17_f5_c3,19.4852,0.21,True,False,True,23.12.x,0.0,,0.9999213,562120208.0,ZTF24aabjcrh
ztf,60319.28434030013,2565284340815015018,2,2565284340815,20.367992,1,2565,6.473105,19.52957,19.686,0.116857246,0.1976,87.876984,16.4936887,0.84,t17_f5_c3,19.8249,0.2879,True,False,True,23.12.x,0.0,,0.99999964,562120208.0,ZTF24aabjcrh
ztf,60319.284814800136,2565284810815015019,2,2565284810815,20.435835,1,2565,6.0566587,19.438786,19.2673,0.1157416,0.1301,87.876855,16.4936395,0.80142856,t17_f5_c3,19.3122,0.1737,True,False,True,23.12.x,0.0,,0.9999832,562120208.0,ZTF24aabjcrh
