tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.312615700066,2565312613915015019,2,2565312613915,20.2419,1,2565,8.19893,19.4607,19.3746,0.103839,0.176,90.2259233,19.5596197,0.83,t17_f5_c3,19.2578,0.2025,False,False,True,23.12.x,0.0,2.565315453915015e+18,,,ZTF24aabjtxv
ztf,60319.31309030019,2565313093915015023,2,2565313093915,20.2922,1,2565,8.05673,19.4008,19.529,0.129766,0.1946,90.225882,19.5596437,0.817143,t17_f5_c3,19.4997,0.2427,False,False,True,23.12.x,0.0,2.565315453915015e+18,,,ZTF24aabjtxv
ztf,60319.31356480019,2565313563915015019,2,2565313563915,20.2088,1,2565,8.05533,19.4492,19.5584,0.09916,0.2106,90.2258098,19.5596088,0.804286,t17_f5_c3,19.7426,0.3197,False,False,True,23.12.x,0.0,2.565315453915015e+18,,,ZTF24aabjtxv
ztf,60319.314027800225,2565314023915015019,2,2565314023915,20.1762,1,2565,7.92732,19.4104,19.3038,0.131892,0.1628,90.2257501,19.5596166,0.754286,t17_f5_c3,19.1926,0.1884,False,False,True,23.12.x,0.0,2.565315453915015e+18,,,ZTF24aabjtxv
ztf,60319.31450230023,2565314503915015016,2,2565314503915,20.1195,1,2565,7.92195,19.4077,19.5369,0.156062,0.2147,90.2256971,19.5595966,0.742857,t17_f5_c3,19.5219,0.2715,False,False,True,23.12.x,0.0,2.565315453915015e+18,,,ZTF24aabjtxv
ztf,60319.314976899885,2565314973915015020,2,2565314973915,20.1997,1,2565,7.83444,19.4119,19.4804,0.103325,0.1982,90.2256171,19.5595915,0.835714,t17_f5_c3,19.4576,0.2488,False,False,True,23.12.x,0.0,2.565315453915015e+18,,,ZTF24aabjtxv
ztf,60319.31545139989,2565315453915015021,2,2565315453915,20.227304,1,2565,7.7624907,19.46673,19.1875,0.11651966,0.1481,90.2255391,19.5595823,0.69285715,t17_f5_c3,19.2368,0.1985,True,False,True,23.12.x,0.0,,0.9999998,562120239.0,ZTF24aabjtxv
ztf,60319.31592589989,2565315923915015020,2,2565315923915,20.235271,1,2565,7.5409775,19.411709,19.4233,0.12786394,0.1834,90.22548,19.5596319,0.8257143,t17_f5_c3,19.3829,0.2264,True,False,True,23.12.x,0.0,,0.9999993,562120239.0,ZTF24aabjtxv
ztf,60319.316400500014,2565316403915015018,2,2565316403915,20.182917,1,2565,7.7090344,19.506147,19.2735,0.09806729,0.1636,90.2253963,19.5595535,0.64428574,t17_f5_c3,19.3151,0.2178,True,False,True,23.12.x,0.0,,0.99795365,562120239.0,ZTF24aabjtxv
ztf,60319.31686339993,2565316863915015018,2,2565316863915,20.206692,1,2565,7.426328,19.458342,19.523,0.11029038,0.1999,90.2253224,19.5596148,0.8057143,t17_f5_c3,19.5288,0.2577,True,False,True,23.12.x,0.0,,0.9999999,562120239.0,ZTF24aabjtxv
ztf,60319.31733800005,2565317333915015017,2,2565317333915,20.194494,1,2565,7.4507484,19.441603,19.3772,0.0997256,0.1814,90.2253231,19.559608,0.82714283,t17_f5_c3,19.3072,0.2179,True,False,True,23.12.x,0.0,,0.99999833,562120239.0,ZTF24aabjtxv
ztf,60319.317812500056,2565317813915015016,2,2565317813915,20.213272,1,2565,7.402662,19.408852,19.2283,0.08722392,0.1562,90.225231,19.5596014,0.78,t17_f5_c3,19.1391,0.1844,True,False,True,23.12.x,0.0,,0.9999966,562120239.0,ZTF24aabjtxv
ztf,60319.31828700006,2565318283915015018,2,2565318283915,20.244308,1,2565,7.3545747,19.513092,19.7036,0.11241532,0.2328,90.2252013,19.5596095,0.82714283,t17_f5_c3,19.8667,0.3466,True,False,True,23.12.x,0.0,,0.9999995,562120239.0,ZTF24aabjtxv
