tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.31356480019,2565313565315015036,2,2565313565315,20.1869,1,2565,6.23607,19.1815,19.0067,0.11601,0.126,88.4753304,21.9644918,0.817143,t17_f5_c3,18.9735,0.1564,False,False,True,23.12.x,0.0,2.565315455315015e+18,,,ZTF24aabjvlk
ztf,60319.314027800225,2565314025315015036,2,2565314025315,20.1153,1,2565,6.43596,19.2251,19.1893,0.111486,0.1522,88.4752425,21.9645367,0.901429,t17_f5_c3,19.175,0.1923,False,False,True,23.12.x,0.0,2.565315925315015e+18,,,ZTF24aabjvlk
ztf,60319.31450230023,2565314505315015042,2,2565314505315,20.0068,1,2565,6.23618,19.1222,19.1206,0.124137,0.1582,88.4750888,21.9645384,0.857143,t17_f5_c3,19.2019,0.2185,False,False,True,23.12.x,0.0,2.565315925315015e+18,,,ZTF24aabjvlk
ztf,60319.314976899885,2565314975315015048,2,2565314975315,20.2391,1,2565,6.17629,19.2073,19.3809,0.087582,0.1715,88.4750482,21.9645352,0.924286,t17_f5_c3,19.3349,0.2106,False,False,True,23.12.x,0.0,2.565315925315015e+18,,,ZTF24aabjvlk
ztf,60319.31545139989,2565315455315015055,2,2565315455315,20.268137,1,2565,5.9739285,19.185114,19.1718,0.11778355,0.1383,88.4749347,21.9645175,0.88,t17_f5_c3,19.1315,0.1705,True,False,True,23.12.x,0.0,,0.99999976,562120253.0,ZTF24aabjvlk
ztf,60319.31592589989,2565315925315015055,2,2565315925315,20.188465,1,2565,5.93668,19.123743,18.9801,0.12304113,0.1234,88.4748542,21.9645283,0.87714285,t17_f5_c3,19.019,0.1639,True,False,True,23.12.x,0.0,,1.0,562120253.0,ZTF24aabjvlk
ztf,60319.316400500014,2565316405315015042,2,2565316405315,20.150885,1,2565,5.870354,19.191881,19.3543,0.11408902,0.1767,88.4747596,21.9645328,0.9114286,t17_f5_c3,19.5837,0.2797,True,False,True,23.12.x,0.0,,0.99999976,562120253.0,ZTF24aabjvlk
ztf,60319.31686339993,2565316865315015048,2,2565316865315,20.231308,1,2565,5.727144,19.210545,19.0679,0.10094798,0.1283,88.4746634,21.9645107,0.89,t17_f5_c3,19.0506,0.1618,True,False,True,23.12.x,0.0,,0.9999999,562120253.0,ZTF24aabjvlk
ztf,60319.31733800005,2565317335315015037,2,2565317335315,20.23279,1,2565,5.7940946,19.119097,19.2608,0.11779812,0.1554,88.4745842,21.9645456,0.8957143,t17_f5_c3,19.2225,0.1924,True,False,True,23.12.x,0.0,,1.0,562120253.0,ZTF24aabjvlk
ztf,60319.317812500056,2565317815315015038,2,2565317815315,20.231934,1,2565,5.8482275,19.19079,19.109,0.12206877,0.1363,88.4744634,21.9645677,0.88857144,t17_f5_c3,19.0326,0.1632,True,False,True,23.12.x,0.0,,0.99999905,562120253.0,ZTF24aabjvlk
