tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.36115740007,2565361150715015013,2,2565361150715,20.4032,1,2565,7.41859,18.3565,18.4574,0.077079,0.0629,89.4594032,15.8136388,0.964286,t17_f5_c3,18.5028,0.0832,False,False,False,23.12.x,0.0,2.565363040715015e+18,,,ZTF24aabkvii
ztf,60319.36163190007,2565361630715015016,2,2565361630715,20.3963,1,2565,7.15672,18.3924,18.424,0.058656,0.0614,89.4593205,15.8136531,0.958571,t17_f5_c3,18.4836,0.0822,False,False,False,23.12.x,0.0,2.565363040715015e+18,,,ZTF24aabkvii
ztf,60319.36210650019,2565362100715015011,2,2565362100715,20.3496,1,2565,6.81665,18.3746,18.3411,0.057155,0.0588,89.4592232,15.8136687,0.958571,t17_f5_c3,18.2473,0.0685,False,False,False,23.12.x,0.0,2.565363990715015e+18,,,ZTF24aabkvii
ztf,60319.3625810002,2565362580715015011,2,2565362580715,20.2063,1,2565,6.5317,18.3705,18.3071,0.068282,0.0613,89.4591308,15.8137126,0.955714,t17_f5_c3,18.2856,0.0763,False,False,False,23.12.x,0.0,2.565363990715015e+18,,,ZTF24aabkvii
ztf,60319.36304400023,2565363040715015012,2,2565363040715,20.051153,1,2565,6.241875,18.400385,18.4282,0.071857296,0.0738,89.4590389,15.8137483,0.8214286,t17_f5_c3,18.4396,0.095,True,False,False,23.12.x,0.0,,0.99999905,562120207.0,ZTF24aabkvii
ztf,60319.36351849977,2565363510715015012,2,2565363510715,20.0415,1,2565,5.89448,18.4234,18.3845,0.077218,0.072,89.4589301,15.8137691,0.831429,t17_f5_c3,18.388,0.0919,False,False,False,23.12.x,0.0,2.565363990715015e+18,,,ZTF24aabkvii
ztf,60319.36399309989,2565363990715015010,2,2565363990715,20.095284,1,2565,5.757556,18.347664,18.3311,0.07857289,0.0664,89.4588778,15.8138193,0.8914286,t17_f5_c3,18.4033,0.0903,True,False,False,23.12.x,0.0,,0.9999982,562120207.0,ZTF24aabkvii
ztf,60319.36445599981,2565364450715015011,2,2565364450715,20.005312,1,2565,5.4925923,18.424322,18.3925,0.08063883,0.0733,89.4587904,15.8138463,0.8371429,t17_f5_c3,18.2977,0.0856,True,False,False,23.12.x,0.0,,0.99999285,562120207.0,ZTF24aabkvii
ztf,60319.36493059993,2565364930715015015,2,2565364930715,20.030598,1,2565,5.184267,18.410515,18.3193,0.06908654,0.068,89.4586849,15.8138805,0.68,t17_f5_c3,18.1558,0.0745,True,False,False,23.12.x,0.0,,0.9999969,562120207.0,ZTF24aabkvii
ztf,60319.36540509993,2565365400715015012,2,2565365400715,19.97872,1,2565,4.931988,18.42959,18.3003,0.07598548,0.0682,89.4585919,15.8139186,0.8757143,t17_f5_c3,18.2991,0.0868,True,False,False,23.12.x,0.0,,0.99999964,562120207.0,ZTF24aabkvii
ztf,60319.365868099965,2565365860715015012,2,2565365860715,20.000328,1,2565,4.6037517,18.401155,18.4448,0.08143894,0.0768,89.4584896,15.8139186,0.87714285,t17_f5_c3,18.3583,0.0904,True,False,False,23.12.x,0.0,,0.99999917,562120207.0,ZTF24aabkvii
