tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.360694400035,2565360690615015007,2,2565360690615,20.3198,1,2565,8.10591,18.4227,18.5303,0.078917,0.072,88.9190446,15.8485888,0.968571,t17_f5_c3,18.6911,0.1071,False,False,False,23.12.x,0.0,2.565362100615015e+18,,,ZTF24aabkwie
ztf,60319.36115740007,2565361150615015004,2,2565361150615,20.3665,1,2565,7.79022,18.4122,18.5474,0.063724,0.0711,88.918963,15.848632,0.974286,t17_f5_c3,18.3803,0.0786,False,False,False,23.12.x,0.0,2.565362100615015e+18,,,ZTF24aabkwie
ztf,60319.36163190007,2565361630615015005,2,2565361630615,20.3669,1,2565,7.44136,18.4713,18.3922,0.067416,0.062,88.9188419,15.8486465,0.97,t17_f5_c3,18.3717,0.0784,False,False,False,23.12.x,0.0,2.565363040615015e+18,,,ZTF24aabkwie
ztf,60319.36210650019,2565362100615015005,2,2565362100615,20.306513,1,2565,7.0625095,18.401154,18.4216,0.0631349,0.0664,88.9187407,15.8486984,0.9728571,t17_f5_c3,18.3518,0.0808,True,False,False,23.12.x,0.0,,0.9140074,562120206.0,ZTF24aabkwie
ztf,60319.3625810002,2565362580615015002,2,2565362580615,20.123257,1,2565,6.753585,18.444315,18.4485,0.06557112,0.0748,88.9186434,15.8487253,0.96428573,t17_f5_c3,18.4448,0.0982,True,False,False,23.12.x,0.0,,0.6253494,562120206.0,ZTF24aabkwie
ztf,60319.36304400023,2565363040615015003,2,2565363040615,20.0236,1,2565,6.2712684,18.452864,18.4244,0.06921283,0.0766,88.9184871,15.8487671,0.95428574,t17_f5_c3,17.9561,0.0674,True,False,False,23.12.x,0.0,,0.09483129,562120206.0,ZTF24aabkwie
ztf,60319.36351849977,2565363510615015001,2,2565363510615,20.014725,1,2565,5.956884,18.46445,18.5567,0.092386685,0.088,88.9183969,15.8488073,0.9514286,t17_f5_c3,18.029,0.0736,True,False,False,23.12.x,0.0,,0.640759,562120206.0,ZTF24aabkwie
ztf,60319.36399309989,2565363990615015011,2,2565363990615,20.042183,1,2565,5.642517,18.43189,18.5108,0.08655151,0.0834,88.9183053,15.8488455,0.95857143,t17_f5_c3,17.9684,0.071,True,False,False,23.12.x,0.0,,0.78912586,562120206.0,ZTF24aabkwie
ztf,60319.36445599981,2565364450615015006,2,2565364450615,19.966728,1,2565,5.2749104,18.43968,18.3727,0.08044771,0.0769,88.9181901,15.8488879,0.86142856,t17_f5_c3,17.5151,0.0494,True,False,False,23.12.x,0.0,,0.45736152,562120206.0,ZTF24aabkwie
ztf,60319.36493059993,2565364930615015007,2,2565364930615,19.945095,1,2565,5.0090003,18.400225,18.4602,0.07143676,0.0861,88.9180826,15.8489027,0.95714283,t17_f5_c3,17.6312,0.0576,True,False,False,23.12.x,0.0,,0.9739851,562120206.0,ZTF24aabkwie
