tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.419097200036,2565419091615015018,2,2565419091615,19.9428,1,2565,11.5978,16.5466,16.5726,0.029556,0.0165,91.7966954,18.0307099,0.89,t17_f5_c3,16.5614,0.0202,False,False,True,23.12.x,0.0,2.565420521615015e+18,,,ZTF24aablrxs
ztf,60319.41957180016,2565419571615015019,2,2565419571615,19.9544,1,2565,11.8675,16.5486,16.5514,0.024979,0.016,91.7965709,18.03072,0.881429,t17_f5_c3,16.5628,0.02,False,False,True,23.12.x,0.0,2.565420991615015e+18,,,ZTF24aablrxs
ztf,60319.42004630016,2565420041615015014,2,2565420041615,19.9423,1,2565,12.1806,16.5962,16.5899,0.029213,0.0164,91.7964486,18.0307454,0.882857,t17_f5_c3,16.5734,0.02,False,False,True,23.12.x,0.0,2.565420991615015e+18,,,ZTF24aablrxs
ztf,60319.420520800166,2565420521615015017,2,2565420521615,19.92375,1,2565,12.49182,16.561272,16.5557,0.03334064,0.0161,91.7963239,18.030766,0.88285714,t17_f5_c3,16.5492,0.0198,True,False,True,23.12.x,0.0,,0.99999976,562120216.0,ZTF24aablrxs
ztf,60319.42099539982,2565420991615015014,2,2565420991615,19.926228,1,2565,12.839923,16.56978,16.5853,0.036291864,0.0168,91.796205,18.0308032,0.88714284,t17_f5_c3,16.562,0.0204,True,False,True,23.12.x,0.0,,1.0,562120216.0,ZTF24aablrxs
ztf,60319.4214583002,2565421451615015019,2,2565421451615,19.902065,1,2565,13.149862,16.552937,16.5639,0.02998562,0.0161,91.7960761,18.030817,0.88285714,t17_f5_c3,16.5461,0.0196,True,False,True,23.12.x,0.0,,0.9999999,562120216.0,ZTF24aablrxs
ztf,60319.42193289986,2565421931615015013,2,2565421931615,19.888912,1,2565,13.443625,16.560205,16.5498,0.032958478,0.0161,91.7959619,18.0308334,0.88714284,t17_f5_c3,16.5299,0.0196,True,False,True,23.12.x,0.0,,0.9999999,562120216.0,ZTF24aablrxs
ztf,60319.42240739986,2565422401615015023,2,2565422401615,19.821531,1,2565,13.801077,16.556774,16.5799,0.0313635,0.0165,91.795836,18.030863,0.8442857,t17_f5_c3,16.585,0.0206,True,False,True,23.12.x,0.0,,0.9999999,562120216.0,ZTF24aablrxs
ztf,60319.422870399896,2565422871615015017,2,2565422871615,19.8506,1,2565,14.1676,16.5577,16.5629,0.035877,0.0162,91.7957026,18.0308829,0.858571,t17_f5_c3,16.5539,0.02,False,False,True,23.12.x,0.0,2.565423341615015e+18,,,ZTF24aablrxs
ztf,60319.4233448999,2565423341615015012,2,2565423341615,19.811817,1,2565,14.495046,16.55992,16.5657,0.03245778,0.0166,91.7955925,18.0309099,0.8585714,t17_f5_c3,16.5478,0.0202,True,False,True,23.12.x,0.0,,0.9999987,562120216.0,ZTF24aablrxs
