tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60319.45467589982,2565454675115015033,2,2565454675115,20.286926,1,2565,1.8160877,19.505493,19.3516,0.14072552,0.1608,154.3197142,6.9156687,0.5042857,t17_f5_c3,0.99992085,19.1723,0.1747,468120251.0,True,False,False,23.12.x,0.0,,ZTF24aabmdha
ztf,60319.45513889985,2565455135115015017,2,2565455135115,20.207941,1,2565,1.6012398,19.566692,19.4896,0.141785,0.202,154.3196882,6.9157571,0.8471429,t17_f5_c3,0.9999603,19.4954,0.2602,468120251.0,True,False,False,23.12.x,0.0,,ZTF24aabmdha
ztf,60319.455613399856,2565455615115015030,2,2565455615115,20.288507,1,2565,1.7219164,19.611534,19.7004,0.13542022,0.2263,154.3195889,6.9158016,0.8371429,t17_f5_c3,0.9999752,19.7263,0.2971,468120251.0,True,False,False,23.12.x,0.0,,ZTF24aabmdha
ztf,60319.45608799998,2565456085115015027,2,2565456085115,20.304857,1,2565,1.5392371,19.51942,19.8581,0.12939237,0.2557,154.3196598,6.9158015,0.82714283,t17_f5_c3,0.999977,19.8163,0.3153,468120251.0,True,False,False,23.12.x,0.0,,ZTF24aabmdha
ztf,60319.45655089989,2565456555115015019,2,2565456555115,20.304081,1,2565,1.6383275,19.48211,19.4983,0.13535602,0.1867,154.3196251,6.9157977,0.89,t17_f5_c3,0.9999895,19.4481,0.2283,468120251.0,True,False,False,23.12.x,0.0,,ZTF24aabmdha
ztf,60319.457025500014,2565457025115015022,2,2565457025115,20.278034,1,2565,1.8246536,19.498924,19.4447,0.12996767,0.1843,154.3195572,6.9157967,0.85571426,t17_f5_c3,0.99858165,19.3344,0.2131,468120251.0,True,False,False,23.12.x,0.0,,ZTF24aabmdha
ztf,60319.45748839993,2565457485115015017,2,2565457485115,20.261253,1,2565,1.859793,19.483244,19.8146,0.12994792,0.252,154.3195455,6.9157954,0.7728571,t17_f5_c3,0.999908,19.8981,0.3488,468120251.0,True,False,False,23.12.x,0.0,,ZTF24aabmdha
ztf,60319.45796300005,2565457965115015024,2,2565457965115,20.2289,1,2565,2.035936,19.512344,19.4873,0.15538026,0.1905,154.3194838,6.9157955,0.79571426,t17_f5_c3,0.99714565,19.4312,0.2317,468120251.0,True,False,False,23.12.x,0.0,,ZTF24aabmdha
ztf,60319.458437500056,2565458435115015019,2,2565458435115,20.246513,1,2565,2.1466029,19.5878,19.3764,0.15090568,0.1767,154.319424,6.9158316,0.6942857,t17_f5_c3,0.99962795,19.3069,0.2122,468120251.0,True,False,False,23.12.x,0.0,,ZTF24aabmdha
ztf,60319.45890050009,2565458905115015020,2,2565458905115,20.308092,1,2565,2.2540028,19.488888,19.1777,0.12664443,0.1388,154.319433,6.9157573,0.63857144,t17_f5_c3,0.9997642,19.0464,0.1573,468120251.0,True,False,False,23.12.x,0.0,,ZTF24aabmdha
ztf,60319.45937500009,2565459375115015020,2,2565459375115,20.3092,1,2565,2.0832,19.4955,19.5231,0.171082,0.1916,154.3194368,6.9158452,0.787143,t17_f5_c3,,19.6999,0.2886,,False,False,False,23.12.x,0.0,2.565460785115015e+18,ZTF24aabmdha
ztf,60319.4598495001,2565459845115015017,2,2565459845115,20.1783,1,2565,2.39242,19.4778,19.6037,0.149052,0.2256,154.3193499,6.9158259,0.844286,t17_f5_c3,,19.5774,0.2822,,False,False,False,23.12.x,0.0,2.565460785115015e+18,ZTF24aabmdha
ztf,60319.46032410022,2565460325115015032,2,2565460325115,20.2271,1,2565,2.43795,19.5877,19.3829,0.150711,0.1732,154.3193251,6.9158466,0.58,t17_f5_c3,,19.3961,0.2242,,False,False,False,23.12.x,0.0,2.565460785115015e+18,ZTF24aabmdha
ztf,60319.460787000135,2565460785115015023,2,2565460785115,20.237722,1,2565,2.4068885,19.520157,19.4896,0.15540309,0.1936,154.3193158,6.9158983,0.71,t17_f5_c3,0.9993106,19.3612,0.2204,468120251.0,True,False,False,23.12.x,0.0,,ZTF24aabmdha
