tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.458437500056,2565458432415015013,2,2565458432415,20.5036,1,2565,7.6005,20.0717,19.9887,0.160323,0.2526,150.4543806,4.0564565,0.72,t17_f5_c3,20.0527,0.3434,False,False,True,23.12.x,0.0,2.565461262415015e+18,,,ZTF24aabmgla
ztf,60319.45890050009,2565458902415015010,2,2565458902415,20.4591,1,2565,7.7635,19.9569,19.8688,0.144693,0.2286,150.4543001,4.0564312,0.695714,t17_f5_c3,19.8463,0.2869,False,False,True,23.12.x,0.0,2.565461262415015e+18,,,ZTF24aabmgla
ztf,60319.45937500009,2565459372415015014,2,2565459372415,20.4963,1,2565,8.0743,20.1047,20.041,0.193919,0.265,150.4542458,4.0565039,0.612857,t17_f5_c3,19.8442,0.2836,False,False,True,23.12.x,0.0,2.565462672415015e+18,,,ZTF24aabmgla
ztf,60319.4598495001,2565459842415015014,2,2565459842415,20.4786,1,2565,8.16333,19.8375,19.5859,0.182693,0.1764,150.4542163,4.0565074,0.56,t17_f5_c3,19.689,0.2482,False,False,True,23.12.x,0.0,2.565462672415015e+18,,,ZTF24aabmgla
ztf,60319.46032410022,2565460322415015020,2,2565460322415,20.4317,1,2565,8.59576,19.9103,20.2762,0.156953,0.3399,150.4541232,4.0565856,0.744286,t17_f5_c3,20.5445,0.5577,False,False,True,23.12.x,0.0,2.565464082415015e+18,,,ZTF24aabmgla
ztf,60319.46126159979,2565461262415015011,2,2565461262415,20.435646,1,2565,8.763203,20.007032,20.3362,0.19577886,0.3576,150.453982,4.0564761,0.72,t17_f5_c3,20.1328,0.3805,True,False,True,23.12.x,0.0,,0.9999696,468120224.0,ZTF24aabmgla
ztf,60319.46172450017,2565461722415015006,2,2565461722415,20.44139,1,2565,9.034156,19.910875,20.2616,0.16260804,0.3317,150.4539442,4.0565539,0.72571427,t17_f5_c3,20.1671,0.3903,True,False,True,23.12.x,0.0,,0.99994016,468120224.0,ZTF24aabmgla
ztf,60319.46219909983,2565462192415015007,2,2565462192415,20.408693,1,2565,9.184487,19.935846,19.9592,0.14302425,0.2546,150.4539013,4.0565684,0.7657143,t17_f5_c3,19.7233,0.2629,True,False,True,23.12.x,0.0,,0.99999213,468120224.0,ZTF24aabmgla
ztf,60319.46267359983,2565462672415015012,2,2565462672415,20.45594,1,2565,9.233131,20.032309,19.6849,0.19963121,0.1936,150.4538921,4.0565788,0.17857143,t17_f5_c3,19.4323,0.1967,True,False,True,23.12.x,0.0,,0.9990314,468120224.0,ZTF24aabmgla
ztf,60319.463148099836,2565463142415015011,2,2565463142415,20.4285,1,2565,9.344316,19.8817,19.5758,0.15442578,0.1786,150.4538338,4.0565473,0.60714287,t17_f5_c3,19.5472,0.2227,True,False,True,23.12.x,0.0,,0.9999999,468120224.0,ZTF24aabmgla
ztf,60319.46408559987,2565464082415015014,2,2565464082415,20.391964,1,2565,9.755269,19.952414,20.0712,0.19127256,0.2839,150.4537154,4.0565818,0.7657143,t17_f5_c3,20.2084,0.413,True,False,True,23.12.x,0.0,,0.99999464,468120224.0,ZTF24aabmgla
ztf,60319.464548599906,2565464542415015016,2,2565464542415,20.443201,1,2565,9.805984,20.02623,20.0263,0.1947399,0.2653,150.4536741,4.0565419,0.6142857,t17_f5_c3,19.6857,0.2491,True,False,True,23.12.x,0.0,,0.9906063,468120224.0,ZTF24aabmgla
ztf,60319.46502309991,2565465022415015011,2,2565465022415,20.4306,1,2565,9.69735,20.0465,20.5476,0.219802,0.4351,150.4537021,4.0565303,0.714286,t17_f5_c3,20.5355,0.5524,False,False,True,23.12.x,0.0,2.565465492415015e+18,,,ZTF24aabmgla
ztf,60319.46549770003,2565465492415015009,2,2565465492415,20.336695,1,2565,10.221815,19.925245,19.8183,0.13970093,0.23,150.4536062,4.056653,0.74857146,t17_f5_c3,19.9812,0.3422,True,False,True,23.12.x,0.0,,0.9999987,468120224.0,ZTF24aabmgla
