tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.46219909983,2565462190015015015,2,2565462190015,20.3976,1,2565,2.2533,19.203,18.9506,0.084585,0.0981,154.0062321,1.8015126,0.767143,t17_f5_c3,18.8873,0.1181,False,False,False,23.12.x,0.0,2.565465020015015e+18,,,ZTF24aabmhts
ztf,60319.46267359983,2565462670015015017,2,2565462670015,20.4632,1,2565,2.13617,19.1514,19.1497,0.079969,0.1124,154.0061662,1.8014671,0.951429,t17_f5_c3,19.1777,0.147,False,False,False,23.12.x,0.0,2.565465020015015e+18,,,ZTF24aabmhts
ztf,60319.463148099836,2565463140015015014,2,2565463140015,20.4418,1,2565,2.10605,19.1782,19.0967,0.075305,0.1082,154.006106,1.8014398,0.928571,t17_f5_c3,19.1384,0.1433,False,False,False,23.12.x,0.0,2.565465020015015e+18,,,ZTF24aabmhts
ztf,60319.46361109987,2565463610015015006,2,2565463610015,20.197,1,2565,2.09003,19.0965,19.0462,0.07844,0.124,154.0061058,1.801435,0.944286,t17_f5_c3,18.9259,0.142,False,False,False,23.12.x,0.0,2.565465020015015e+18,,,ZTF24aabmhts
ztf,60319.46408559987,2565464080015015024,2,2565464080015,20.3298,1,2565,2.00613,19.0825,19.0347,0.076679,0.1113,154.0060277,1.8013726,0.942857,t17_f5_c3,19.0821,0.1484,False,False,False,23.12.x,0.0,2.565465020015015e+18,,,ZTF24aabmhts
ztf,60319.464548599906,2565464540015015014,2,2565464540015,20.4228,1,2565,1.97532,19.1447,19.1131,0.077766,0.1117,154.0059787,1.8013303,0.947143,t17_f5_c3,19.2657,0.1639,False,False,False,23.12.x,0.0,2.565465020015015e+18,,,ZTF24aabmhts
ztf,60319.46502309991,2565465020015015018,2,2565465020015,20.494566,1,2565,1.9022923,19.064402,18.805,0.074011154,0.08,154.0059186,1.8012497,0.8057143,t17_f5_c3,18.7073,0.093,True,False,False,23.12.x,0.0,,0.99999774,468120200.0,ZTF24aabmhts
ztf,60319.46549770003,2565465490015015017,2,2565465490015,20.41039,1,2565,1.9983162,19.143257,19.0654,0.07703707,0.1078,154.0058829,1.8012505,0.93857145,t17_f5_c3,18.9407,0.1227,True,False,False,23.12.x,0.0,,0.9999765,468120200.0,ZTF24aabmhts
ztf,60319.465972200036,2565465970015015015,2,2565465970015,20.14989,1,2565,1.9112709,19.035183,18.9711,0.075386316,0.1201,154.0058265,1.8011212,0.93714285,t17_f5_c3,18.8622,0.139,True,False,False,23.12.x,0.0,,0.99985886,468120200.0,ZTF24aabmhts
ztf,60319.46643520007,2565466430015015011,2,2565466430015,20.30944,1,2565,2.1531105,19.090204,19.1054,0.07704954,0.1209,154.0057663,1.8011534,0.94142854,t17_f5_c3,19.1068,0.1547,True,False,False,23.12.x,0.0,,0.9998466,468120200.0,ZTF24aabmhts
ztf,60319.46690970007,2565466900015015018,2,2565466900015,20.345295,1,2565,2.0601778,19.107265,18.9749,0.068823144,0.1042,154.0057718,1.8011021,0.93142855,t17_f5_c3,18.8256,0.1159,True,False,False,23.12.x,0.0,,0.99978125,468120200.0,ZTF24aabmhts
ztf,60319.467384300195,2565467380015015019,2,2565467380015,20.371721,1,2565,2.3231068,19.085976,19.0722,0.074070685,0.1117,154.0056868,1.8010853,0.93714285,t17_f5_c3,18.9707,0.1298,True,False,False,23.12.x,0.0,,0.99971944,468120200.0,ZTF24aabmhts
ztf,60319.46784720011,2565467840015015005,2,2565467840015,20.131962,1,2565,2.3449373,19.064669,19.014,0.07279536,0.1266,154.0056547,1.8009716,0.92714286,t17_f5_c3,18.9671,0.1551,True,False,False,23.12.x,0.0,,0.9999734,468120200.0,ZTF24aabmhts
ztf,60319.4683333002,2565468330015015010,2,2565468330015,20.239702,1,2565,2.5582604,19.09099,19.148,0.08746325,0.1324,154.0055938,1.80097,0.9042857,t17_f5_c3,19.0496,0.1546,True,False,False,23.12.x,0.0,,0.9952296,468120200.0,ZTF24aabmhts
ztf,60319.46879629977,2565468790015015009,2,2565468790015,20.162575,1,2565,2.7320714,19.064888,19.082,0.08180477,0.132,154.0055411,1.8009305,0.94,t17_f5_c3,19.0437,0.163,True,False,False,23.12.x,0.0,,0.99975467,468120200.0,ZTF24aabmhts
ztf,60319.469270799775,2565469270015015012,2,2565469270015,20.229872,1,2565,2.7702954,19.052727,18.98,0.085280806,0.1145,154.0055291,1.8008608,0.9185714,t17_f5_c3,18.9541,0.1429,True,False,False,23.12.x,0.0,,0.9998721,468120200.0,ZTF24aabmhts
