tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.46784720011,2565467845515015008,2,2565467845515,20.2456,1,2565,10.7609,19.7601,20.054,0.154316,0.3162,152.6336697,6.9869703,0.792857,t17_f5_c3,19.8964,0.3509,False,False,True,23.12.x,0.0,2.565471625515015e+18,,,ZTF24aabmjlx
ztf,60319.4683333002,2565468335515015011,2,2565468335515,20.2816,1,2565,10.6646,19.8653,20.0693,0.160338,0.3162,152.6336692,6.9870097,0.694286,t17_f5_c3,20.0647,0.4039,False,False,True,23.12.x,0.0,2.565471155515015e+18,,,ZTF24aabmjlx
ztf,60319.46879629977,2565468795515015009,2,2565468795515,20.109,1,2565,10.3537,20.01,20.2513,0.229691,0.4049,152.6335374,6.987003,0.561429,t17_f5_c3,19.8266,0.352,False,False,True,23.12.x,0.0,2.565471155515015e+18,,,ZTF24aabmjlx
ztf,60319.469270799775,2565469275515015011,2,2565469275515,20.1792,1,2565,10.325,19.8117,19.6755,0.180493,0.2322,152.6335534,6.9870284,0.665714,t17_f5_c3,19.6155,0.2818,False,False,True,23.12.x,0.0,2.565471155515015e+18,,,ZTF24aabmjlx
ztf,60319.469745399896,2565469745515015010,2,2565469745515,20.2988,1,2565,9.86788,19.7649,19.6849,0.122509,0.2162,152.6334471,6.9871046,0.822857,t17_f5_c3,19.4996,0.2337,False,False,True,23.12.x,0.0,2.565471155515015e+18,,,ZTF24aabmjlx
ztf,60319.47020829981,2565470205515015010,2,2565470205515,20.3001,1,2565,9.8482,19.6857,19.744,0.136681,0.2279,152.6333991,6.9870669,0.855714,t17_f5_c3,19.6608,0.2705,False,False,True,23.12.x,0.0,2.565471155515015e+18,,,ZTF24aabmjlx
ztf,60319.47068289993,2565470685515015007,2,2565470685515,20.2905,1,2565,9.73447,19.6624,19.642,0.145828,0.2143,152.6333327,6.9870497,0.607143,t17_f5_c3,19.7653,0.3076,False,False,True,23.12.x,0.0,2.565474445515015e+18,,,ZTF24aabmjlx
ztf,60319.47115739994,2565471155515015007,2,2565471155515,20.224424,1,2565,9.384276,19.824747,20.1863,0.17636923,0.3741,152.6332732,6.987129,0.69285715,t17_f5_c3,20.1368,0.4588,True,False,True,23.12.x,0.0,,0.9999664,468120255.0,ZTF24aabmjlx
ztf,60319.47162039997,2565471625515015011,2,2565471625515,20.213123,1,2565,9.382551,19.848106,20.0399,0.15600467,0.3097,152.6332994,6.9871535,0.7728571,t17_f5_c3,20.0611,0.4049,True,False,True,23.12.x,0.0,,0.9999722,468120255.0,ZTF24aabmjlx
ztf,60319.472094899975,2565472095515015009,2,2565472095515,20.245018,1,2565,9.127047,19.869207,19.6411,0.17136073,0.219,152.6332198,6.9871786,0.71428573,t17_f5_c3,19.6262,0.2769,True,False,True,23.12.x,0.0,,0.9999708,468120255.0,ZTF24aabmjlx
ztf,60319.47256939998,2565472565515015013,2,2565472565515,20.231592,1,2565,9.021132,19.817577,19.9644,0.1441066,0.2842,152.6331869,6.9871889,0.78571427,t17_f5_c3,20.2995,0.4957,True,False,True,23.12.x,0.0,,0.99994594,468120255.0,ZTF24aabmjlx
ztf,60319.4730440001,2565473045515015012,2,2565473045515,20.18074,1,2565,8.970794,19.673079,19.5528,0.14273492,0.198,152.6331499,6.987176,0.7728571,t17_f5_c3,19.2754,0.1968,True,False,True,23.12.x,0.0,,0.99990726,468120255.0,ZTF24aabmjlx
ztf,60319.473506900016,2565473505515015012,2,2565473505515,20.278723,1,2565,8.696075,19.670732,19.6789,0.13671586,0.2224,152.6330645,6.9872035,0.8242857,t17_f5_c3,19.3883,0.2184,True,False,True,23.12.x,0.0,,0.9999409,468120255.0,ZTF24aabmjlx
ztf,60319.47398150014,2565473985515015012,2,2565473985515,20.238747,1,2565,8.645473,19.562155,19.172,0.1496005,0.1395,152.6330292,6.9871945,0.38,t17_f5_c3,19.0889,0.1655,True,False,True,23.12.x,0.0,,0.9881609,468120255.0,ZTF24aabmjlx
ztf,60319.47444440005,2565474445515015015,2,2565474445515,20.37227,1,2565,8.420887,19.798004,19.6078,0.14039534,0.1949,152.6329645,6.9872221,0.76285714,t17_f5_c3,19.5778,0.2428,True,False,True,23.12.x,0.0,,0.9970629,468120255.0,ZTF24aabmjlx
ztf,60319.474919000175,2565474915515015011,2,2565474915515,20.336588,1,2565,8.267909,19.656939,19.5518,0.15199095,0.1905,152.6329583,6.9872734,0.73714286,t17_f5_c3,19.5651,0.2471,True,False,True,23.12.x,0.0,,0.9999964,468120255.0,ZTF24aabmjlx
