tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.46549770003,2565465496115015021,2,2565465496115,20.147,1,2565,11.844,18.9586,18.9648,0.116228,0.1226,148.1340578,7.5021357,0.934286,t17_f5_c3,18.8006,0.1348,False,False,True,23.12.x,0.0,2.565469276115015e+18,,,ZTF24aabmjtf
ztf,60319.465972200036,2565465976115015016,2,2565465976115,20.0795,1,2565,11.8165,18.8943,19.032,0.123085,0.1322,148.1340552,7.5021554,0.94,t17_f5_c3,18.9498,0.1568,False,False,True,23.12.x,0.0,2.565470206115015e+18,,,ZTF24aabmjtf
ztf,60319.46643520007,2565466436115015016,2,2565466436115,20.121,1,2565,11.6724,18.9244,18.9383,0.114904,0.1211,148.1340253,7.5021992,0.842857,t17_f5_c3,18.9123,0.151,False,False,True,23.12.x,0.0,2.565470206115015e+18,,,ZTF24aabmjtf
ztf,60319.46690970007,2565466906115015014,2,2565466906115,20.1154,1,2565,11.6848,18.9259,19.1163,0.100559,0.1433,148.1340396,7.502239,0.805714,t17_f5_c3,19.1178,0.1833,False,False,True,23.12.x,0.0,2.565470686115015e+18,,,ZTF24aabmjtf
ztf,60319.467384300195,2565467386115015010,2,2565467386115,20.1339,1,2565,11.381,18.8689,18.8256,0.089573,0.1087,148.1339612,7.5022804,0.802857,t17_f5_c3,18.9182,0.1509,False,False,True,23.12.x,0.0,2.565470686115015e+18,,,ZTF24aabmjtf
ztf,60319.46784720011,2565467846115015015,2,2565467846115,20.0745,1,2565,11.323,18.9397,19.1478,0.100297,0.1485,148.1339614,7.5023488,0.93,t17_f5_c3,19.1968,0.1985,False,False,True,23.12.x,0.0,2.565470686115015e+18,,,ZTF24aabmjtf
ztf,60319.4683333002,2565468336115015005,2,2565468336115,20.1101,1,2565,11.1531,18.8956,18.9134,0.094854,0.1193,148.1339066,7.5023275,0.927143,t17_f5_c3,18.9098,0.1518,False,False,True,23.12.x,0.0,2.565470686115015e+18,,,ZTF24aabmjtf
ztf,60319.46879629977,2565468796115015013,2,2565468796115,20.0071,1,2565,11.0126,18.9071,19.0985,0.088582,0.1448,148.133886,7.5024168,0.885714,t17_f5_c3,19.2628,0.2153,False,False,True,23.12.x,0.0,2.565472566115015e+18,,,ZTF24aabmjtf
ztf,60319.469270799775,2565469276115015011,2,2565469276115,20.006392,1,2565,11.100033,18.864838,18.9095,0.09029138,0.1216,148.1339207,7.5024605,0.9071429,t17_f5_c3,18.835,0.1451,True,False,True,23.12.x,0.0,,0.999985,468120261.0,ZTF24aabmjtf
ztf,60319.469745399896,2565469746115015012,2,2565469746115,20.1219,1,2565,10.8683,18.8987,18.9695,0.087616,0.1252,148.1338558,7.5024711,0.891429,t17_f5_c3,19.0091,0.1658,False,False,True,23.12.x,0.0,2.565472566115015e+18,,,ZTF24aabmjtf
ztf,60319.47020829981,2565470206115015019,2,2565470206115,20.092823,1,2565,10.786464,18.905521,18.7329,0.09381114,0.1016,148.1338381,7.5025014,0.7942857,t17_f5_c3,18.6202,0.1169,True,False,True,23.12.x,0.0,,0.99999505,468120261.0,ZTF24aabmjtf
ztf,60319.47068289993,2565470686115015020,2,2565470686115,20.135027,1,2565,10.668078,18.951569,19.1357,0.089645036,0.144,148.1338181,7.5025713,0.8971428,t17_f5_c3,19.1411,0.1847,True,False,True,23.12.x,0.0,,0.9999963,468120261.0,ZTF24aabmjtf
ztf,60319.47115739994,2565471156115015017,2,2565471156115,20.16693,1,2565,10.646212,18.855879,18.8901,0.10885029,0.1148,148.1338149,7.5026032,0.8757143,t17_f5_c3,18.8278,0.1384,True,False,True,23.12.x,0.0,,0.99834806,468120261.0,ZTF24aabmjtf
ztf,60319.47162039997,2565471626115015017,2,2565471626115,20.082167,1,2565,10.453128,18.93441,18.9814,0.093941666,0.1274,148.1337673,7.5026515,0.95428574,t17_f5_c3,19.0505,0.1735,True,False,True,23.12.x,0.0,,0.999851,468120261.0,ZTF24aabmjtf
ztf,60319.472094899975,2565472096115015009,2,2565472096115,20.121052,1,2565,10.370088,18.864475,18.8242,0.087323695,0.1101,148.133746,7.5026788,0.91714287,t17_f5_c3,18.8689,0.1464,True,False,True,23.12.x,0.0,,0.9999999,468120261.0,ZTF24aabmjtf
ztf,60319.47256939998,2565472566115015050,2,2565472566115,20.038126,1,2565,10.262672,18.918545,19.0062,0.09790663,0.1326,148.1337209,7.5027111,0.9285714,t17_f5_c3,18.9177,0.1563,True,False,True,23.12.x,0.0,,0.99999166,468120261.0,ZTF24aabmjtf
ztf,60319.4730440001,2565473046115015013,2,2565473046115,20.002241,1,2565,9.989985,18.901642,18.7824,0.09915751,0.1084,148.1336477,7.5027504,0.8214286,t17_f5_c3,18.807,0.1416,True,False,True,23.12.x,0.0,,0.9999931,468120261.0,ZTF24aabmjtf
ztf,60319.473506900016,2565473506115015029,2,2565473506115,20.115309,1,2565,10.040183,18.986221,19.0809,0.09715092,0.1382,148.1336696,7.5028329,0.9514286,t17_f5_c3,18.9461,0.1561,True,False,True,23.12.x,0.0,,0.99997187,468120261.0,ZTF24aabmjtf
