tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.46784720011,2565467842315015023,2,2565467842315,20.2674,1,2565,14.4468,18.8775,18.9485,0.075117,0.1081,152.5199335,3.0094376,0.957143,t17_f5_c3,18.9688,0.1407,False,False,True,23.12.x,0.0,2.565471152315015e+18,,,ZTF24aabmkao
ztf,60319.4683333002,2565468332315015019,2,2565468332315,20.3654,1,2565,14.3438,18.866,18.8847,0.078526,0.0982,152.5198913,3.009442,0.94,t17_f5_c3,18.8308,0.1193,False,False,True,23.12.x,0.0,2.565471152315015e+18,,,ZTF24aabmkao
ztf,60319.46879629977,2565468792315015024,2,2565468792315,20.2071,1,2565,14.1074,18.8661,18.9723,0.091634,0.1202,152.5198318,3.0094722,0.962857,t17_f5_c3,18.8975,0.1435,False,False,True,23.12.x,0.0,2.565471152315015e+18,,,ZTF24aabmkao
ztf,60319.469270799775,2565469272315015030,2,2565469272315,20.2673,1,2565,13.9758,18.8524,18.8293,0.085252,0.0967,152.5197673,3.009442,0.954286,t17_f5_c3,18.7758,0.1176,False,False,True,23.12.x,0.0,2.565473042315015e+18,,,ZTF24aabmkao
ztf,60319.469745399896,2565469742315015017,2,2565469742315,20.3502,1,2565,13.7982,18.8637,18.7519,0.077906,0.0868,152.5197259,3.0094701,0.947143,t17_f5_c3,18.7088,0.1065,False,False,True,23.12.x,0.0,2.565473042315015e+18,,,ZTF24aabmkao
ztf,60319.47020829981,2565470202315015023,2,2565470202315,20.332,1,2565,13.8117,18.923,18.8945,0.084622,0.0999,152.5197401,3.0094845,0.94,t17_f5_c3,18.7931,0.1163,False,False,True,23.12.x,0.0,2.565473042315015e+18,,,ZTF24aabmkao
ztf,60319.47068289993,2565470682315015020,2,2565470682315,20.3242,1,2565,13.5139,18.8254,18.8443,0.072328,0.0975,152.51964,3.0094862,0.967143,t17_f5_c3,18.7916,0.1185,False,False,True,23.12.x,0.0,2.565473982315015e+18,,,ZTF24aabmkao
ztf,60319.47115739994,2565471152315015014,2,2565471152315,20.270634,1,2565,13.400177,18.907192,18.7235,0.098815575,0.0934,152.5195994,3.0094838,0.8457143,t17_f5_c3,18.6305,0.1096,True,False,True,23.12.x,0.0,,0.99999607,468120223.0,ZTF24aabmkao
ztf,60319.47162039997,2565471622315015018,2,2565471622315,20.300888,1,2565,13.264712,18.866968,18.8392,0.08141086,0.0965,152.5195556,3.0094877,0.8757143,t17_f5_c3,18.8503,0.1243,True,False,True,23.12.x,0.0,,0.9999998,468120223.0,ZTF24aabmkao
ztf,60319.472094899975,2565472092315015032,2,2565472092315,20.36102,1,2565,13.114369,18.88197,18.8358,0.0824135,0.0974,152.5195101,3.009497,0.9742857,t17_f5_c3,18.6809,0.1079,True,False,True,23.12.x,0.0,,0.9999831,468120223.0,ZTF24aabmkao
ztf,60319.47256939998,2565472562315015023,2,2565472562315,20.306885,1,2565,12.967656,18.810816,18.8813,0.08349291,0.1023,152.5194523,3.0094876,0.9685714,t17_f5_c3,18.8566,0.1277,True,False,True,23.12.x,0.0,,0.9999995,468120223.0,ZTF24aabmkao
ztf,60319.4730440001,2565473042315015032,2,2565473042315,20.278334,1,2565,12.714804,18.874254,18.8001,0.08268008,0.0931,152.5193671,3.009492,0.85571426,t17_f5_c3,18.7751,0.1162,True,False,True,23.12.x,0.0,,0.99999964,468120223.0,ZTF24aabmkao
ztf,60319.473506900016,2565473502315015035,2,2565473502315,20.334671,1,2565,12.665694,18.853989,18.7207,0.07946184,0.0855,152.5193468,3.0094883,0.95,t17_f5_c3,18.7029,0.1072,True,False,True,23.12.x,0.0,,0.99999857,468120223.0,ZTF24aabmkao
ztf,60319.47398150014,2565473982315015030,2,2565473982315,20.276031,1,2565,12.493498,18.861895,18.8897,0.09830623,0.1022,152.5193113,3.0095215,0.9557143,t17_f5_c3,18.8262,0.1231,True,False,True,23.12.x,0.0,,0.9999968,468120223.0,ZTF24aabmkao
ztf,60319.47444440005,2565474442315015022,2,2565474442315,20.465519,1,2565,12.359846,18.855217,18.7547,0.08538323,0.0832,152.5192491,3.0095025,0.95,t17_f5_c3,18.7183,0.1026,True,False,True,23.12.x,0.0,,0.99999785,468120223.0,ZTF24aabmkao
ztf,60319.474919000175,2565474912315015037,2,2565474912315,20.437834,1,2565,12.26578,18.822012,18.8322,0.08868792,0.0921,152.5192167,3.009504,0.9657143,t17_f5_c3,18.8422,0.1185,True,False,True,23.12.x,0.0,,0.99999976,468120223.0,ZTF24aabmkao
ztf,60319.47539350018,2565475392315015026,2,2565475392315,20.404627,1,2565,12.092146,18.857548,18.7948,0.08804978,0.0909,152.5191776,3.0095334,0.9614286,t17_f5_c3,18.7566,0.112,True,False,True,23.12.x,0.0,,0.9999994,468120223.0,ZTF24aabmkao
ztf,60319.476331000216,2565476332315015034,2,2565476332315,20.3506,1,2565,11.8397,18.9124,19.0205,0.082895,0.1108,152.5190718,3.0095158,0.952857,t17_f5_c3,18.9412,0.1316,False,False,True,23.12.x,0.0,2.565477282315015e+18,,,ZTF24aabmkao
ztf,60319.47680559987,2565476802315015020,2,2565476802315,20.4803,1,2565,11.6611,18.8416,18.8319,0.086006,0.0889,152.5190395,3.0095555,0.942857,t17_f5_c3,18.8598,0.1162,False,False,True,23.12.x,0.0,2.565477282315015e+18,,,ZTF24aabmkao
ztf,60319.477280099876,2565477282315015026,2,2565477282315,20.42496,1,2565,11.499416,18.871527,18.8586,0.07705572,0.0932,152.5189803,3.0095529,0.9657143,t17_f5_c3,18.8141,0.1143,True,False,True,23.12.x,0.0,,0.9999999,468120223.0,ZTF24aabmkao
