tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.47398150014,2565473981215015005,2,2565473981215,20.1463,1,2565,7.35216,19.511,19.7712,0.128884,0.2447,149.0796692,2.2111441,0.76,t17_f5_c3,19.9573,0.3723,False,False,True,23.12.x,0.0,2.565476331215015e+18,,,ZTF24aabmkmg
ztf,60319.474919000175,2565474911215015006,2,2565474911215,20.2804,1,2565,7.37949,19.4196,19.2204,0.128889,0.1415,149.0796106,2.2111944,0.565714,t17_f5_c3,19.3004,0.1946,False,False,True,23.12.x,0.0,2.565476331215015e+18,,,ZTF24aabmkmg
ztf,60319.47539350018,2565475391215015008,2,2565475391215,20.2662,1,2565,6.95761,19.4662,19.232,0.136742,0.1424,149.0795468,2.211356,0.585714,t17_f5_c3,19.2266,0.1813,False,False,True,23.12.x,0.0,2.565476801215015e+18,,,ZTF24aabmkmg
ztf,60319.476331000216,2565476331215015007,2,2565476331215,20.241335,1,2565,6.493759,19.524567,19.3687,0.13636988,0.1631,149.0794284,2.2114122,0.76714283,t17_f5_c3,19.431,0.2211,True,False,True,23.12.x,0.0,,0.99953115,468120212.0,ZTF24aabmkmg
ztf,60319.47680559987,2565476801215015010,2,2565476801215,20.327742,1,2565,6.2243824,19.51627,19.4807,0.12547906,0.177,149.079376,2.2114934,0.85,t17_f5_c3,19.6115,0.2555,True,False,True,23.12.x,0.0,,0.99996555,468120212.0,ZTF24aabmkmg
ztf,60319.477280099876,2565477281215015005,2,2565477281215,20.260622,1,2565,6.138075,19.54333,19.5124,0.12745482,0.1863,149.0793511,2.2114955,0.64857143,t17_f5_c3,19.4861,0.2328,True,False,True,23.12.x,0.0,,0.9999702,468120212.0,ZTF24aabmkmg
ztf,60319.47774309991,2565477741215015005,2,2565477741215,20.250832,1,2565,5.928177,19.487988,19.8711,0.14473449,0.2569,149.0793057,2.2115477,0.7285714,t17_f5_c3,19.7557,0.2964,True,False,True,23.12.x,0.0,,0.9999726,468120212.0,ZTF24aabmkmg
ztf,60319.47821759991,2565478211215015004,2,2565478211215,20.2842,1,2565,5.73906,19.4093,19.4866,0.136295,0.1803,149.079256,2.211567,0.725714,t17_f5_c3,19.5956,0.2552,False,False,True,23.12.x,0.0,2.565479151215015e+18,,,ZTF24aabmkmg
ztf,60319.47868059995,2565478681215015004,2,2565478681215,20.26204,1,2565,5.6057763,19.494349,19.5189,0.14952832,0.1863,149.0792432,2.2116632,0.7714286,t17_f5_c3,19.3111,0.1972,True,False,True,23.12.x,0.0,,0.99990594,468120212.0,ZTF24aabmkmg
ztf,60319.47915509995,2565479151215015008,2,2565479151215,20.229961,1,2565,5.1614,19.592194,19.5037,0.14460586,0.1845,149.0791337,2.2117264,0.82285714,t17_f5_c3,19.3902,0.2128,True,False,True,23.12.x,0.0,,0.9998622,468120212.0,ZTF24aabmkmg
ztf,60319.479629599955,2565479621215015005,2,2565479621215,20.263126,1,2565,5.125287,19.517998,19.5676,0.13839497,0.1955,149.0791237,2.2117489,0.87714285,t17_f5_c3,19.3975,0.2142,True,False,True,23.12.x,0.0,,0.9999871,468120212.0,ZTF24aabmkmg
ztf,60319.480104200076,2565480101215015010,2,2565480101215,20.174675,1,2565,4.962569,19.517813,19.301,0.13015513,0.1576,149.0790806,2.2117514,0.29285714,t17_f5_c3,19.1557,0.1767,True,False,True,23.12.x,0.0,,0.9981077,468120212.0,ZTF24aabmkmg
ztf,60319.48056709999,2565480561215015008,2,2565480561215,20.281902,1,2565,4.71383,19.47597,19.7035,0.123948455,0.2159,149.0790269,2.2118551,0.8642857,t17_f5_c3,19.6213,0.2565,True,False,True,23.12.x,0.0,,0.9999975,468120212.0,ZTF24aabmkmg
