tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.4683333002,2565468331915015005,2,2565468331915,20.3045,1,2565,15.4639,19.9131,19.9818,0.149968,0.2798,154.0284555,3.3624041,0.791429,t17_f5_c3,20.0872,0.3951,False,False,True,23.12.x,0.0,2.565474441915015e+18,,,ZTF24aabmljt
ztf,60319.46879629977,2565468791915015004,2,2565468791915,20.1785,1,2565,15.4321,19.8295,19.9318,0.175363,0.2928,154.0284918,3.3624141,0.81,t17_f5_c3,19.8723,0.3557,False,False,True,23.12.x,0.0,2.565474911915015e+18,,,ZTF24aabmljt
ztf,60319.469270799775,2565469271915015003,2,2565469271915,20.2307,1,2565,15.3633,19.9011,19.7658,0.192423,0.2379,154.0284903,3.3624338,0.678571,t17_f5_c3,19.8455,0.3281,False,False,True,23.12.x,0.0,2.565474911915015e+18,,,ZTF24aabmljt
ztf,60319.469745399896,2565469741915015005,2,2565469741915,20.3072,1,2565,15.3439,19.8992,19.7464,0.16879,0.2251,154.0285796,3.3624431,0.69,t17_f5_c3,19.6721,0.2697,False,False,True,23.12.x,0.0,2.565474911915015e+18,,,ZTF24aabmljt
ztf,60319.47020829981,2565470201915015005,2,2565470201915,20.2978,1,2565,15.1512,19.9909,19.8385,0.172569,0.2454,154.0285708,3.3624967,0.698571,t17_f5_c3,20.2407,0.4553,False,False,True,23.12.x,0.0,2.565476801915015e+18,,,ZTF24aabmljt
ztf,60319.47068289993,2565470681915015010,2,2565470681915,20.2822,1,2565,15.2293,19.7897,19.6186,0.152069,0.2046,154.0286106,3.3624774,0.752857,t17_f5_c3,19.4633,0.2273,False,False,True,23.12.x,0.0,2.565476801915015e+18,,,ZTF24aabmljt
ztf,60319.47115739994,2565471151915015003,2,2565471151915,20.2235,1,2565,15.2186,19.8563,20.0852,0.177768,0.3338,154.0286384,3.3624825,0.801429,t17_f5_c3,19.8619,0.3487,False,False,True,23.12.x,0.0,2.565476801915015e+18,,,ZTF24aabmljt
ztf,60319.47162039997,2565471621915015006,2,2565471621915,20.235,1,2565,15.3099,19.8464,19.7069,0.157658,0.2235,154.0285738,3.3624522,0.665714,t17_f5_c3,19.6966,0.2835,False,False,True,23.12.x,0.0,2.565474911915015e+18,,,ZTF24aabmljt
ztf,60319.472094899975,2565472091915015004,2,2565472091915,20.209,1,2565,15.2428,19.8986,20.1635,0.180914,0.3698,154.0287352,3.3624832,0.804286,t17_f5_c3,20.2592,0.5176,False,False,True,23.12.x,0.0,2.565474911915015e+18,,,ZTF24aabmljt
ztf,60319.47256939998,2565472561915015007,2,2565472561915,20.2482,1,2565,15.2976,19.8735,19.5853,0.185906,0.2012,154.0287052,3.3624653,0.568571,t17_f5_c3,19.6659,0.2775,False,False,True,23.12.x,0.0,2.565474911915015e+18,,,ZTF24aabmljt
ztf,60319.4730440001,2565473041915015007,2,2565473041915,20.2251,1,2565,15.1236,19.6949,19.8592,0.140784,0.2556,154.0287885,3.3625226,0.742857,t17_f5_c3,19.9292,0.3491,False,False,True,23.12.x,0.0,2.565474911915015e+18,,,ZTF24aabmljt
ztf,60319.473506900016,2565473501915015007,2,2565473501915,20.2843,1,2565,14.8787,20.0187,19.9783,0.187876,0.2809,154.0287585,3.3625888,0.761429,t17_f5_c3,19.9139,0.3394,False,False,True,23.12.x,0.0,2.565475391915015e+18,,,ZTF24aabmljt
ztf,60319.47444440005,2565474441915015007,2,2565474441915,20.372253,1,2565,14.97202,19.870605,20.0097,0.12800917,0.2795,154.028814,3.3625682,0.78,t17_f5_c3,19.8269,0.3029,True,False,True,23.12.x,0.0,,0.9999052,468120219.0,ZTF24aabmljt
