tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.477280099876,2565477281315015007,2,2565477281315,20.2205,1,2565,13.9175,18.9438,18.8456,0.104996,0.1041,148.3257368,2.1509643,0.885714,t17_f5_c3,18.8257,0.1304,False,False,True,23.12.x,0.0,2.565480101315015e+18,,,ZTF24aabmmov
ztf,60319.47774309991,2565477741315015006,2,2565477741315,20.2082,1,2565,14.1553,19.0414,18.9725,0.105219,0.1177,148.3257545,2.1508962,0.868571,t17_f5_c3,18.9495,0.1471,False,False,True,23.12.x,0.0,2.565480101315015e+18,,,ZTF24aabmmov
ztf,60319.47821759991,2565478211315015007,2,2565478211315,20.2126,1,2565,13.8825,18.9811,18.9216,0.083802,0.1126,148.3256167,2.1509036,0.888571,t17_f5_c3,18.9968,0.1539,False,False,True,23.12.x,0.0,2.565480101315015e+18,,,ZTF24aabmmov
ztf,60319.47868059995,2565478681315015008,2,2565478681315,20.2183,1,2565,13.8556,19.158,19.1031,0.106428,0.1314,148.3255604,2.150886,0.847143,t17_f5_c3,19.0724,0.1633,False,False,True,23.12.x,0.0,2.565481511315015e+18,,,ZTF24aabmmov
ztf,60319.47915509995,2565479151315015011,2,2565479151315,20.1566,1,2565,13.7124,19.005,19.0523,0.105128,0.1271,148.3255161,2.1509019,0.91,t17_f5_c3,19.0491,0.1619,False,False,True,23.12.x,0.0,2.565481511315015e+18,,,ZTF24aabmmov
ztf,60319.479629599955,2565479621315015008,2,2565479621315,20.2038,1,2565,13.7194,19.0274,18.9948,0.096712,0.1209,148.3254595,2.1508691,0.922857,t17_f5_c3,18.9519,0.1484,False,False,True,23.12.x,0.0,2.565481511315015e+18,,,ZTF24aabmmov
ztf,60319.480104200076,2565480101315015004,2,2565480101315,20.116852,1,2565,13.671977,18.998512,19.0096,0.120256975,0.1227,148.3253857,2.1508462,0.8642857,t17_f5_c3,18.9357,0.1464,True,False,True,23.12.x,0.0,,0.99999326,468120213.0,ZTF24aabmmov
ztf,60319.48056709999,2565480561315015009,2,2565480561315,20.182404,1,2565,13.6068325,19.081024,19.2365,0.09318806,0.1497,148.3253138,2.1508315,0.9028571,t17_f5_c3,19.3588,0.2142,True,False,True,23.12.x,0.0,,0.9999895,468120213.0,ZTF24aabmmov
ztf,60319.48104170011,2565481041315015008,2,2565481041315,20.1651,1,2565,13.528873,18.936707,19.0218,0.08997673,0.1243,148.3252566,2.1508288,0.8857143,t17_f5_c3,19.0352,0.1608,True,False,True,23.12.x,0.0,,0.99999213,468120213.0,ZTF24aabmmov
ztf,60319.48151620012,2565481511315015006,2,2565481511315,20.262966,1,2565,13.477958,18.951727,18.8221,0.092716165,0.1008,148.3251547,2.1507993,0.8842857,t17_f5_c3,18.6755,0.1124,True,False,True,23.12.x,0.0,,0.99999976,468120213.0,ZTF24aabmmov
ztf,60319.48197920015,2565481971315015009,2,2565481971315,20.27513,1,2565,13.429568,18.967607,19.0219,0.105158225,0.1203,148.3251096,2.1507948,0.92714286,t17_f5_c3,19.0471,0.1571,True,False,True,23.12.x,0.0,,0.9999962,468120213.0,ZTF24aabmmov
ztf,60319.482453700155,2565482451315015006,2,2565482451315,20.231203,1,2565,13.370892,19.013624,19.0532,0.10966766,0.1258,148.3250508,2.150789,0.9242857,t17_f5_c3,18.9841,0.1509,True,False,True,23.12.x,0.0,,0.9999601,468120213.0,ZTF24aabmmov
ztf,60319.48291670019,2565482911315015008,2,2565482911315,20.25796,1,2565,13.445943,19.034744,18.9553,0.10836174,0.1144,148.3249885,2.1507423,0.8957143,t17_f5_c3,19.1304,0.1714,True,False,True,23.12.x,0.0,,0.9999513,468120213.0,ZTF24aabmmov
