tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.4989467999,2565498940215015014,2,2565498940215,20.3238,1,2565,10.2873,19.502,19.6531,0.150365,0.2146,153.4732378,1.0629068,0.83,t17_f5_c3,19.6825,0.2822,False,False,True,23.12.x,0.0,2.565503180215015e+18,,,ZTF24aabmtzi
ztf,60319.4994212999,2565499420215015010,2,2565499420215,20.3399,1,2565,10.4114,19.5929,19.9564,0.120207,0.2826,153.4731778,1.0629501,0.805714,t17_f5_c3,19.8195,0.3195,False,False,True,23.12.x,0.0,2.565503180215015e+18,,,ZTF24aabmtzi
ztf,60319.499884299934,2565499880215015009,2,2565499880215,20.3297,1,2565,10.2948,19.5989,19.8504,0.126062,0.2558,153.4731583,1.0629195,0.848571,t17_f5_c3,19.9255,0.3513,False,False,True,23.12.x,0.0,2.565503180215015e+18,,,ZTF24aabmtzi
ztf,60319.50035879994,2565500350215015011,2,2565500350215,20.1948,1,2565,10.4886,19.6328,20.2581,0.166376,0.3894,153.4731896,1.0629707,0.72,t17_f5_c3,20.1221,0.4411,False,False,True,23.12.x,0.0,2.565503180215015e+18,,,ZTF24aabmtzi
ztf,60319.50083329994,2565500830215015013,2,2565500830215,20.1651,1,2565,10.328,19.659,19.5606,0.173156,0.2083,153.473102,1.0629349,0.748571,t17_f5_c3,19.4164,0.234,False,False,True,23.12.x,0.0,2.565506000215015e+18,,,ZTF24aabmtzi
ztf,60319.501296299975,2565501290215015009,2,2565501290215,20.2713,1,2565,10.2078,19.6828,19.9206,0.130726,0.2811,153.4730846,1.0629027,0.837143,t17_f5_c3,19.9381,0.3659,False,False,True,23.12.x,0.0,2.565506000215015e+18,,,ZTF24aabmtzi
ztf,60319.50177079998,2565501770215015010,2,2565501770215,20.3198,1,2565,10.3905,19.4838,19.454,0.133815,0.1786,153.4730198,1.0629595,0.884286,t17_f5_c3,19.5632,0.2526,False,False,True,23.12.x,0.0,2.565506940215015e+18,,,ZTF24aabmtzi
ztf,60319.50223380001,2565502230215015015,2,2565502230215,20.3344,1,2565,10.4151,19.6484,19.7217,0.154523,0.2288,153.4729944,1.0629678,0.802857,t17_f5_c3,19.5798,0.2576,False,False,True,23.12.x,0.0,2.565507880215015e+18,,,ZTF24aabmtzi
ztf,60319.50270830002,2565502700215015009,2,2565502700215,20.3182,1,2565,10.2886,19.6451,19.6648,0.146066,0.2157,153.472945,1.0629347,0.83,t17_f5_c3,19.7118,0.2885,False,False,True,23.12.x,0.0,2.565507880215015e+18,,,ZTF24aabmtzi
ztf,60319.50318290014,2565503180215015005,2,2565503180215,20.239267,1,2565,10.442042,19.594238,19.731,0.15755919,0.2385,153.4728654,1.0629803,0.84,t17_f5_c3,19.4141,0.2284,True,False,True,23.12.x,0.0,,0.9999662,468120202.0,ZTF24aabmtzi
ztf,60319.50365740014,2565503650215015009,2,2565503650215,20.331068,1,2565,10.360208,19.63068,19.9329,0.12816948,0.2764,153.472849,1.0629576,0.78,t17_f5_c3,19.9941,0.375,True,False,True,23.12.x,0.0,,0.999998,468120202.0,ZTF24aabmtzi
ztf,60319.50459490018,2565504590215015013,2,2565504590215,20.342686,1,2565,10.376596,19.589361,19.3939,0.14388725,0.1686,153.4727725,1.0629619,0.7457143,t17_f5_c3,19.1839,0.178,True,False,True,23.12.x,0.0,,0.99997437,468120202.0,ZTF24aabmtzi
ztf,60319.505069400184,2565505060215015014,2,2565505060215,20.37727,1,2565,10.523767,19.510578,19.4925,0.12596439,0.1832,153.4727574,1.063005,0.87285715,t17_f5_c3,19.2728,0.1919,True,False,True,23.12.x,0.0,,0.9999951,468120202.0,ZTF24aabmtzi
ztf,60319.50553240022,2565505530215015010,2,2565505530215,20.353415,1,2565,10.477185,19.593185,19.8072,0.12619703,0.2464,153.4727123,1.06299,0.8385714,t17_f5_c3,19.7261,0.2931,True,False,True,23.12.x,0.0,,0.99999017,468120202.0,ZTF24aabmtzi
ztf,60319.50600690022,2565506000215015018,2,2565506000215,20.306147,1,2565,10.608419,19.595493,19.6632,0.13641992,0.2197,153.4727177,1.0630255,0.82714283,t17_f5_c3,19.5772,0.2602,True,False,True,23.12.x,0.0,,0.9923481,468120202.0,ZTF24aabmtzi
ztf,60319.50648149988,2565506480215015012,2,2565506480215,20.323967,1,2565,10.527137,19.525543,19.4196,0.11179372,0.1754,153.4726576,1.0629999,0.87285715,t17_f5_c3,19.2766,0.1971,True,False,True,23.12.x,0.0,,0.99975437,468120202.0,ZTF24aabmtzi
ztf,60319.50694439979,2565506940215015011,2,2565506940215,20.33926,1,2565,10.598571,19.665901,20.1646,0.14981999,0.344,153.472616,1.0630178,0.69714284,t17_f5_c3,20.1059,0.4181,True,False,True,23.12.x,0.0,,0.9996823,468120202.0,ZTF24aabmtzi
ztf,60319.507418999914,2565507410215015012,2,2565507410215,20.281015,1,2565,10.653776,19.563166,19.3518,0.14512688,0.1677,153.4726343,1.0630346,0.76285714,t17_f5_c3,19.4457,0.234,True,False,True,23.12.x,0.0,,0.9993504,468120202.0,ZTF24aabmtzi
ztf,60319.50788189983,2565507880215015017,2,2565507880215,20.265488,1,2565,10.514481,19.619555,19.935,0.14176941,0.2881,153.4725815,1.0629913,0.8,t17_f5_c3,19.8843,0.353,True,False,True,23.12.x,0.0,,0.99991846,468120202.0,ZTF24aabmtzi
