tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.50223380001,2565502236315015000,2,2565502236315,20.2912,1,2565,15.5857,19.3442,19.3502,0.107298,0.1595,148.4916571,7.3345992,0.798571,t17_f5_c3,19.157,0.1709,False,False,True,23.12.x,0.0,2.565505066315015e+18,,,ZTF24aabmurm
ztf,60319.50270830002,2565502706315015000,2,2565502706315,20.2768,1,2565,15.8501,19.2339,19.185,0.108932,0.1388,148.4915703,7.3346058,0.867143,t17_f5_c3,19.0353,0.1547,False,False,True,23.12.x,0.0,2.565505066315015e+18,,,ZTF24aabmurm
ztf,60319.50318290014,2565503186315015000,2,2565503186315,20.2401,1,2565,16.0685,19.2858,19.1033,0.11268,0.1301,148.491513,7.3345825,0.775714,t17_f5_c3,18.9986,0.1511,False,False,True,23.12.x,0.0,2.565505066315015e+18,,,ZTF24aabmurm
ztf,60319.50365740014,2565503656315015000,2,2565503656315,20.2654,1,2565,16.0628,19.4038,19.2874,0.115034,0.1521,148.4914906,7.3346344,0.848571,t17_f5_c3,19.1756,0.1755,False,False,True,23.12.x,0.0,2.565505066315015e+18,,,ZTF24aabmurm
ztf,60319.504120400175,2565504126315015000,2,2565504126315,20.2552,1,2565,16.075,19.326,19.6138,0.11486,0.2065,148.4914591,7.3346944,0.818571,t17_f5_c3,19.3556,0.2088,False,False,True,23.12.x,0.0,2.565505066315015e+18,,,ZTF24aabmurm
ztf,60319.50459490018,2565504596315015000,2,2565504596315,20.2765,1,2565,16.2852,19.3055,19.3108,0.103166,0.1567,148.4913959,7.3346908,0.784286,t17_f5_c3,19.1874,0.1792,False,False,True,23.12.x,0.0,2.565505066315015e+18,,,ZTF24aabmurm
ztf,60319.505069400184,2565505066315015001,2,2565505066315,20.307018,1,2565,16.531757,19.319374,19.4185,0.10998664,0.17,148.491318,7.3346939,0.9,t17_f5_c3,19.3394,0.2024,True,False,True,23.12.x,0.0,,0.99999547,468120263.0,ZTF24aabmurm
ztf,60319.50553240022,2565505536315015001,2,2565505536315,20.300283,1,2565,16.67205,19.274057,19.134,0.10282362,0.1323,148.4912819,7.3346777,0.8371429,t17_f5_c3,19.0679,0.1591,True,False,True,23.12.x,0.0,,0.9999701,468120263.0,ZTF24aabmurm
ztf,60319.50600690022,2565506006315015000,2,2565506006315,20.275217,1,2565,16.806507,19.351645,19.4167,0.11529196,0.1726,148.4912209,7.3347243,0.87,t17_f5_c3,19.3102,0.2002,True,False,True,23.12.x,0.0,,0.9999989,468120263.0,ZTF24aabmurm
ztf,60319.50648149988,2565506486315015000,2,2565506486315,20.274204,1,2565,16.838701,19.334267,19.4366,0.13678433,0.1758,148.4911794,7.3347185,0.74714285,t17_f5_c3,19.4607,0.2299,True,False,True,23.12.x,0.0,,0.9999956,468120263.0,ZTF24aabmurm
ztf,60319.50694439979,2565506946315015001,2,2565506946315,20.303991,1,2565,16.859188,19.342197,19.2649,0.11595984,0.1487,148.4911302,7.3347713,0.8471429,t17_f5_c3,19.2046,0.1798,True,False,True,23.12.x,0.0,,0.9997744,468120263.0,ZTF24aabmurm
ztf,60319.507418999914,2565507416315015000,2,2565507416315,20.255072,1,2565,16.662836,19.31135,19.4188,0.10109478,0.1733,148.4910333,7.3347823,0.8471429,t17_f5_c3,19.6178,0.266,True,False,True,23.12.x,0.0,,0.9999999,468120263.0,ZTF24aabmurm
ztf,60319.50788189983,2565507886315015000,2,2565507886315,20.196428,1,2565,16.55533,19.399483,19.1958,0.12345713,0.1434,148.4909726,7.3347941,0.6957143,t17_f5_c3,19.1381,0.1739,True,False,True,23.12.x,0.0,,0.999995,468120263.0,ZTF24aabmurm
