tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.51354169985,2565513542515015000,2,2565513542515,20.2301,1,2565,3.64288,19.6175,19.5751,0.145134,0.2015,149.4372839,4.4285579,0.848571,t17_f5_c3,19.6039,0.2652,False,False,False,23.12.x,0.0,2.565517302515015e+18,,,ZTF24aabmyit
ztf,60319.51400459977,2565514002515015000,2,2565514002515,20.1313,1,2565,3.89463,19.6125,19.6569,0.125798,0.2199,149.4372452,4.4286428,0.747143,t17_f5_c3,19.6983,0.2926,False,False,False,23.12.x,0.0,2.565517302515015e+18,,,ZTF24aabmyit
ztf,60319.51447919989,2565514472515015000,2,2565514472515,20.1041,1,2565,3.52465,19.5722,19.4619,0.170241,0.186,149.4373034,4.4285162,0.691429,t17_f5_c3,19.5148,0.2501,False,False,False,23.12.x,0.0,2.565517302515015e+18,,,ZTF24aabmyit
ztf,60319.514953699894,2565514952515015000,2,2565514952515,20.2447,1,2565,3.44967,19.7156,19.5351,0.152964,0.1931,149.4371675,4.4285325,0.697143,t17_f5_c3,19.4924,0.2377,False,False,False,23.12.x,0.0,2.565517302515015e+18,,,ZTF24aabmyit
ztf,60319.51541669993,2565515412515015000,2,2565515412515,20.1919,1,2565,3.40408,19.6127,19.3283,0.169478,0.162,149.4370644,4.4285355,0.482857,t17_f5_c3,19.4143,0.2242,False,False,False,23.12.x,0.0,2.565517302515015e+18,,,ZTF24aabmyit
ztf,60319.51589119993,2565515892515015000,2,2565515892515,20.1462,1,2565,3.40045,19.601,19.4815,0.140333,0.1875,149.43711,4.4285287,0.655714,t17_f5_c3,19.3956,0.2221,False,False,False,23.12.x,0.0,2.565517302515015e+18,,,ZTF24aabmyit
ztf,60319.516365699936,2565516362515015001,2,2565516362515,20.175076,1,2565,3.3446743,19.6047,19.8148,0.15070234,0.2533,149.4369849,4.4285234,0.75142854,t17_f5_c3,19.5786,0.2614,True,False,False,23.12.x,0.0,,0.9998319,468120225.0,ZTF24aabmyit
ztf,60319.51684030006,2565516842515015000,2,2565516842515,20.2625,1,2565,3.43927,19.6568,19.6514,0.159119,0.2142,149.4369662,4.4285466,0.668571,t17_f5_c3,19.4826,0.235,False,False,False,23.12.x,0.0,2.565520602515015e+18,,,ZTF24aabmyit
ztf,60319.51730319997,2565517302515015000,2,2565517302515,20.183075,1,2565,3.232055,19.65809,19.5398,0.14825512,0.1962,149.4369032,4.4284897,0.48285714,t17_f5_c3,19.4058,0.2224,True,False,False,23.12.x,0.0,,0.9997851,468120225.0,ZTF24aabmyit
ztf,60319.517777800094,2565517772515015000,2,2565517772515,20.1622,1,2565,3.29715,19.7251,19.9613,0.163348,0.2891,149.4369209,4.4285091,0.802857,t17_f5_c3,19.6516,0.279,False,False,False,23.12.x,0.0,2.565520602515015e+18,,,ZTF24aabmyit
ztf,60319.5182523001,2565518252515015000,2,2565518252515,20.159723,1,2565,3.296226,19.740818,19.6199,0.15994516,0.2118,149.436833,4.4285002,0.74,t17_f5_c3,19.3721,0.2162,True,False,False,23.12.x,0.0,,0.99995077,468120225.0,ZTF24aabmyit
ztf,60319.51872690022,2565518722515015000,2,2565518722515,20.307016,1,2565,3.2822642,19.600355,19.486,0.13214411,0.1807,149.436698,4.428466,0.83285713,t17_f5_c3,19.4945,0.2331,True,False,False,23.12.x,0.0,,0.9999912,468120225.0,ZTF24aabmyit
ztf,60319.519189800136,2565519182515015000,2,2565519182515,20.199116,1,2565,3.29535,19.803806,19.5488,0.14861852,0.1967,149.436737,4.4284807,0.5971429,t17_f5_c3,19.4168,0.2232,True,False,False,23.12.x,0.0,,0.9998455,468120225.0,ZTF24aabmyit
ztf,60319.51966439979,2565519662515015000,2,2565519662515,20.1921,1,2565,3.43629,19.7172,19.2655,0.162233,0.1536,149.4366206,4.4284852,0.274286,t17_f5_c3,19.1334,0.1742,False,False,False,23.12.x,0.0,2.565520132515015e+18,,,ZTF24aabmyit
ztf,60319.520138899796,2565520132515015000,2,2565520132515,20.2942,1,2565,3.3764505,19.703642,19.5341,0.12863697,0.1896,149.4365907,4.4284549,0.7714286,t17_f5_c3,19.4407,0.2229,True,False,False,23.12.x,0.0,,0.9999868,468120225.0,ZTF24aabmyit
ztf,60319.52060189983,2565520602515015000,2,2565520602515,20.225597,1,2565,3.4180834,19.637016,19.4564,0.14518954,0.1822,149.4365814,4.4284636,0.31857142,t17_f5_c3,19.1427,0.1751,True,False,False,23.12.x,0.0,,0.9995573,468120225.0,ZTF24aabmyit
ztf,60319.52107639983,2565521072515015000,2,2565521072515,20.22846,1,2565,3.4697173,19.86429,19.8175,0.18898205,0.2517,149.4364614,4.4284179,0.79285717,t17_f5_c3,19.5269,0.2472,True,False,False,23.12.x,0.0,,0.9996333,468120225.0,ZTF24aabmyit
