tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.514953699894,2565514953915015018,2,2565514953915,20.2231,1,2565,7.55666,18.7246,18.7573,0.079599,0.098,152.6791753,4.8147103,0.97,t17_f5_c3,18.7367,0.1228,False,False,True,23.12.x,0.0,2.565518723915015e+18,,,ZTF24aabmzdo
ztf,60319.51541669993,2565515413915015023,2,2565515413915,20.2074,1,2565,7.66235,18.6761,18.6776,0.083861,0.0898,152.6791186,4.8147022,0.967143,t17_f5_c3,18.5565,0.1027,False,False,True,23.12.x,0.0,2.565518723915015e+18,,,ZTF24aabmzdo
ztf,60319.51589119993,2565515893915015018,2,2565515893915,20.1572,1,2565,7.80116,18.5949,18.5301,0.065137,0.0784,152.6790783,4.8146774,0.94,t17_f5_c3,18.4937,0.0966,False,False,True,23.12.x,0.0,2.565518723915015e+18,,,ZTF24aabmzdo
ztf,60319.516365699936,2565516363915015019,2,2565516363915,20.1526,1,2565,7.77877,18.6584,18.645,0.066246,0.0896,152.6790302,4.8147071,0.955714,t17_f5_c3,18.7744,0.1287,False,False,True,23.12.x,0.0,2.565518723915015e+18,,,ZTF24aabmzdo
ztf,60319.51684030006,2565516843915015020,2,2565516843915,20.2284,1,2565,7.83546,18.6607,18.6874,0.075284,0.0912,152.6789925,4.8147078,0.974286,t17_f5_c3,18.7346,0.1215,False,False,True,23.12.x,0.0,2.565518723915015e+18,,,ZTF24aabmzdo
ztf,60319.51730319997,2565517303915015021,2,2565517303915,20.1543,1,2565,7.92092,18.6536,18.6814,0.104733,0.0939,152.6789384,4.8147087,0.958571,t17_f5_c3,18.6522,0.1168,False,False,True,23.12.x,0.0,2.565518723915015e+18,,,ZTF24aabmzdo
ztf,60319.517777800094,2565517773915015018,2,2565517773915,20.1148,1,2565,7.97825,18.6873,18.6722,0.096983,0.0924,152.6788894,4.814717,0.941429,t17_f5_c3,18.6864,0.1195,False,False,True,23.12.x,0.0,2.565518723915015e+18,,,ZTF24aabmzdo
ztf,60319.5182523001,2565518253915015016,2,2565518253915,20.096,1,2565,8.15144,18.6795,18.7859,0.093685,0.1047,152.6788577,4.814679,0.904286,t17_f5_c3,18.8674,0.1441,False,False,True,23.12.x,0.0,2.565518723915015e+18,,,ZTF24aabmzdo
ztf,60319.51872690022,2565518723915015017,2,2565518723915,20.3107,1,2565,8.176503,18.681248,18.6103,0.074311644,0.0821,152.6787984,4.8147053,0.9614286,t17_f5_c3,18.5644,0.1005,True,False,True,23.12.x,0.0,,0.9999988,468120239.0,ZTF24aabmzdo
ztf,60319.519189800136,2565519183915015021,2,2565519183915,20.163,1,2565,8.36231,18.64,18.7104,0.085113,0.095,152.6787327,4.814684,0.941429,t17_f5_c3,18.7628,0.1272,False,False,True,23.12.x,0.0,2.565522483915015e+18,,,ZTF24aabmzdo
ztf,60319.51966439979,2565519663915015020,2,2565519663915,20.130224,1,2565,8.448953,18.679651,18.6549,0.09089578,0.0923,152.6786844,4.8146859,0.9442857,t17_f5_c3,18.6947,0.1221,True,False,True,23.12.x,0.0,,0.99999374,468120239.0,ZTF24aabmzdo
ztf,60319.520138899796,2565520133915015019,2,2565520133915,20.280243,1,2565,8.565732,18.727629,18.8174,0.07158328,0.0998,152.6786361,4.8146786,0.9714286,t17_f5_c3,18.6822,0.1126,True,False,True,23.12.x,0.0,,0.9999904,468120239.0,ZTF24aabmzdo
ztf,60319.52060189983,2565520603915015018,2,2565520603915,20.168537,1,2565,8.632629,18.8047,18.7641,0.090027,0.1012,152.67859,4.8146874,0.9614286,t17_f5_c3,18.92,0.1491,False,False,True,23.12.x,0.0,2.565522483915015e+18,0.9999896,468120239.0,ZTF24aabmzdo
ztf,60319.52107639983,2565521073915015031,2,2565521073915,20.1741,1,2565,8.74107,18.6941,18.6382,0.070813,0.0891,152.6785393,4.8146861,0.954286,t17_f5_c3,18.6469,0.1146,False,False,True,23.12.x,0.0,2.565524833915015e+18,,,ZTF24aabmzdo
ztf,60319.52155089984,2565521553915015020,2,2565521553915,20.216553,1,2565,8.829482,18.620836,18.5661,0.08787915,0.0825,152.6784706,4.8147062,0.96428573,t17_f5_c3,18.5283,0.1017,True,False,True,23.12.x,0.0,,0.99999976,468120239.0,ZTF24aabmzdo
ztf,60319.52201389987,2565522013915015031,2,2565522013915,20.27182,1,2565,8.866125,18.741957,18.8356,0.08037161,0.1038,152.6784458,4.8147124,0.9614286,t17_f5_c3,18.8916,0.1395,True,False,True,23.12.x,0.0,,0.9999987,468120239.0,ZTF24aabmzdo
ztf,60319.522488399874,2565522483915015024,2,2565522483915,20.2772,1,2565,9.07005,18.703,18.7153,0.084471,0.0918,152.6783846,4.8146876,0.97,t17_f5_c3,18.697,0.1152,False,False,True,23.12.x,0.0,2.565524833915015e+18,,,ZTF24aabmzdo
ztf,60319.52295139991,2565522953915015024,2,2565522953915,20.2346,1,2565,9.10448,18.7242,18.7067,0.080853,0.0916,152.6783583,4.8146962,0.955714,t17_f5_c3,18.7044,0.1166,False,False,True,23.12.x,0.0,2.565524833915015e+18,,,ZTF24aabmzdo
ztf,60319.52342589991,2565523423915015027,2,2565523423915,20.209715,1,2565,9.302761,18.790455,18.9121,0.077335425,0.114,152.6782816,4.8146876,0.9614286,t17_f5_c3,18.9031,0.1445,True,False,True,23.12.x,0.0,,0.99999684,468120239.0,ZTF24aabmzdo
ztf,60319.52390050003,2565523903915015017,2,2565523903915,20.0802,1,2565,9.37898,18.6908,18.5748,0.098279,0.0864,152.6782564,4.8146805,0.834286,t17_f5_c3,18.4794,0.1011,False,False,True,23.12.x,0.0,2.565524363915015e+18,,,ZTF24aabmzdo
ztf,60319.52436339995,2565524363915015032,2,2565524363915,20.194542,1,2565,9.450341,18.7008,18.7623,0.073107526,0.0977,152.6781884,4.8147146,0.9628571,t17_f5_c3,18.6685,0.1145,True,False,True,23.12.x,0.0,,0.99999964,468120239.0,ZTF24aabmzdo
ztf,60319.52483800007,2565524833915015027,2,2565524833915,20.139292,1,2565,9.53402,18.762985,18.7871,0.09283693,0.1036,152.6781397,4.8147271,0.9557143,t17_f5_c3,18.8859,0.145,True,False,True,23.12.x,0.0,,0.9999956,468120239.0,ZTF24aabmzdo
