tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.51730319997,2565517300415015008,2,2565517300415,20.1925,1,2565,8.39422,19.5002,19.0765,0.122992,0.1277,152.258955,1.7132557,0.362857,t17_f5_c3,19.1112,0.1686,False,False,True,23.12.x,0.0,2.565520600415015e+18,,,ZTF24aabmzfq
ztf,60319.517777800094,2565517770415015010,2,2565517770415,20.1476,1,2565,8.27219,19.7095,19.8627,0.151797,0.265,152.2589709,1.7132953,0.708571,t17_f5_c3,19.6178,0.2716,False,False,True,23.12.x,0.0,2.565520600415015e+18,,,ZTF24aabmzfq
ztf,60319.5182523001,2565518250415015006,2,2565518250415,20.1789,1,2565,8.7679,19.5582,19.3606,0.129092,0.1652,152.258846,1.7132333,0.708571,t17_f5_c3,19.4879,0.2374,False,False,True,23.12.x,0.0,2.565520600415015e+18,,,ZTF24aabmzfq
ztf,60319.51872690022,2565518720415015010,2,2565518720415,20.2831,1,2565,8.81157,19.5932,19.5592,0.108791,0.1928,152.2588405,1.7132178,0.818571,t17_f5_c3,19.4626,0.226,False,False,True,23.12.x,0.0,2.565520600415015e+18,,,ZTF24aabmzfq
ztf,60319.519189800136,2565519180415015008,2,2565519180415,20.2026,1,2565,8.76431,19.5337,19.4209,0.12427,0.1744,152.2588318,1.7132593,0.774286,t17_f5_c3,19.2603,0.1929,False,False,True,23.12.x,0.0,2.565520600415015e+18,,,ZTF24aabmzfq
ztf,60319.51966439979,2565519660415015012,2,2565519660415,20.1977,1,2565,8.97508,19.6799,19.8715,0.171368,0.2662,152.2587488,1.7132876,0.772857,t17_f5_c3,19.8638,0.339,False,False,True,23.12.x,0.0,2.565520600415015e+18,,,ZTF24aabmzfq
ztf,60319.520138899796,2565520130415015009,2,2565520130415,20.2987,1,2565,9.20426,19.6318,19.4251,0.119763,0.1719,152.258681,1.7132773,0.728571,t17_f5_c3,19.4216,0.2195,False,False,True,23.12.x,0.0,2.565520600415015e+18,,,ZTF24aabmzfq
ztf,60319.52060189983,2565520600415015008,2,2565520600415,20.177834,1,2565,9.502305,19.520622,19.5985,0.14246479,0.2115,152.2585922,1.7132673,0.56142855,t17_f5_c3,19.857,0.3437,True,False,True,23.12.x,0.0,,0.9999958,468120204.0,ZTF24aabmzfq
ztf,60319.52107639983,2565521070415015015,2,2565521070415,20.2131,1,2565,9.68347,19.6279,19.4039,0.175401,0.1726,152.2585151,1.713308,0.282857,t17_f5_c3,19.3511,0.2107,False,False,True,23.12.x,0.0,2.565521550415015e+18,,,ZTF24aabmzfq
ztf,60319.52155089984,2565521550415015008,2,2565521550415,20.23581,1,2565,9.725401,19.57398,19.7465,0.13110651,0.2349,152.2585345,1.7132436,0.7814286,t17_f5_c3,19.7003,0.2889,True,False,True,23.12.x,0.0,,0.9999393,468120204.0,ZTF24aabmzfq
ztf,60319.52201389987,2565522010415015011,2,2565522010415,20.312647,1,2565,9.95987,19.588919,19.3334,0.11523688,0.1571,152.2584595,1.713245,0.5742857,t17_f5_c3,19.4193,0.2176,True,False,True,23.12.x,0.0,,0.9999223,468120204.0,ZTF24aabmzfq
ztf,60319.522488399874,2565522480415015007,2,2565522480415,20.271978,1,2565,10.025427,19.585335,19.3104,0.13267437,0.1578,152.2584161,1.7132958,0.71428573,t17_f5_c3,19.4331,0.2261,True,False,True,23.12.x,0.0,,0.9999801,468120204.0,ZTF24aabmzfq
ztf,60319.52295139991,2565522950415015010,2,2565522950415,20.21969,1,2565,10.357931,19.58349,19.3703,0.12781098,0.1691,152.2583321,1.7132519,0.70857143,t17_f5_c3,19.254,0.1946,True,False,True,23.12.x,0.0,,0.99909353,468120204.0,ZTF24aabmzfq
ztf,60319.52342589991,2565523420415015008,2,2565523420415,20.241545,1,2565,10.620256,19.575281,19.5267,0.14958382,0.1935,152.2582345,1.713288,0.70285714,t17_f5_c3,19.6119,0.268,True,False,True,23.12.x,0.0,,0.9999318,468120204.0,ZTF24aabmzfq
ztf,60319.52390050003,2565523900415015005,2,2565523900415,20.063375,1,2565,10.541852,19.704592,19.5806,0.17541112,0.2059,152.2582548,1.7132974,0.46571428,t17_f5_c3,19.8696,0.344,True,False,True,23.12.x,0.0,,0.99778235,468120204.0,ZTF24aabmzfq
ztf,60319.52436339995,2565524360415015006,2,2565524360415,20.133604,1,2565,10.936561,19.591116,19.3101,0.13110659,0.1606,152.2581565,1.7132479,0.37285715,t17_f5_c3,19.1507,0.1778,True,False,True,23.12.x,0.0,,0.9994092,468120204.0,ZTF24aabmzfq
ztf,60319.52483800007,2565524830415015009,2,2565524830415,20.127104,1,2565,11.011688,19.595642,19.863,0.14540228,0.2687,152.2580983,1.71333,0.7157143,t17_f5_c3,19.7659,0.3152,True,False,True,23.12.x,0.0,,0.99997115,468120204.0,ZTF24aabmzfq
