tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.51872690022,2565518726215015015,2,2565518726215,20.1489,1,2565,9.26365,19.1407,19.0899,0.115819,0.1347,148.1875037,6.7025089,0.665714,t17_f5_c3,19.0826,0.171,False,False,True,23.12.x,0.0,2.565521556215015e+18,,,ZTF24aabmzlt
ztf,60319.519189800136,2565519186215015017,2,2565519186215,20.0347,1,2565,9.42967,19.1726,19.4358,0.107791,0.1907,148.1874852,6.7025525,0.831429,t17_f5_c3,19.3975,0.2358,False,False,True,23.12.x,0.0,2.565522016215015e+18,,,ZTF24aabmzlt
ztf,60319.51966439979,2565519666215015021,2,2565519666215,20.0735,1,2565,9.49551,19.1326,19.1437,0.129415,0.1454,148.1874112,6.7025266,0.777143,t17_f5_c3,19.1339,0.1843,False,False,True,23.12.x,0.0,2.565522016215015e+18,,,ZTF24aabmzlt
ztf,60319.520138899796,2565520136215015013,2,2565520136215,20.1415,1,2565,9.61304,19.1505,19.0631,0.112374,0.1321,148.1873512,6.7025257,0.827143,t17_f5_c3,19.085,0.1722,False,False,True,23.12.x,0.0,2.565522486215015e+18,,,ZTF24aabmzlt
ztf,60319.52060189983,2565520606215015020,2,2565520606215,20.0905,1,2565,9.76103,19.2076,19.5392,0.140238,0.2094,148.187269,6.7025154,0.791429,t17_f5_c3,19.5834,0.2794,False,False,True,23.12.x,0.0,2.565523906215015e+18,,,ZTF24aabmzlt
ztf,60319.52107639983,2565521076215015013,2,2565521076215,20.1041,1,2565,9.84706,19.1798,19.3108,0.118397,0.168,148.1872447,6.7025304,0.885714,t17_f5_c3,19.2583,0.205,False,False,True,23.12.x,0.0,2.565523906215015e+18,,,ZTF24aabmzlt
ztf,60319.52155089984,2565521556215015016,2,2565521556215,20.106983,1,2565,10.117051,19.086454,18.9339,0.1015518,0.1184,148.1871367,6.7025438,0.82,t17_f5_c3,18.9161,0.1488,True,False,True,23.12.x,0.0,,0.99997663,468120262.0,ZTF24aabmzlt
ztf,60319.52201389987,2565522016215015016,2,2565522016215,20.15326,1,2565,10.32474,19.20483,19.2432,0.11825087,0.1549,148.1870742,6.702569,0.81857145,t17_f5_c3,19.2464,0.1987,True,False,True,23.12.x,0.0,,0.9999881,468120262.0,ZTF24aabmzlt
ztf,60319.522488399874,2565522486215015010,2,2565522486215,20.1392,1,2565,10.4782,19.2093,19.1946,0.12014,0.1499,148.1869906,6.7025563,0.742857,t17_f5_c3,19.0946,0.1748,False,False,True,23.12.x,0.0,2.565523906215015e+18,,,ZTF24aabmzlt
ztf,60319.52295139991,2565522956215015025,2,2565522956215,20.096905,1,2565,10.608041,19.17413,19.0335,0.1117769,0.131,148.1869632,6.7025808,0.7728571,t17_f5_c3,18.8758,0.145,True,False,True,23.12.x,0.0,,0.9999926,468120262.0,ZTF24aabmzlt
ztf,60319.52342589991,2565523426215015014,2,2565523426215,20.09961,1,2565,10.785455,19.140606,19.0335,0.09456351,0.1308,148.1869093,6.7026008,0.9014286,t17_f5_c3,19.097,0.177,True,False,True,23.12.x,0.0,,0.9999992,468120262.0,ZTF24aabmzlt
ztf,60319.52390050003,2565523906215015015,2,2565523906215,19.940298,1,2565,10.864475,19.130627,18.9666,0.15752134,0.1255,148.1868609,6.7025878,0.5714286,t17_f5_c3,18.8789,0.148,True,False,True,23.12.x,0.0,,0.99994624,468120262.0,ZTF24aabmzlt
ztf,60319.52436339995,2565524366215015021,2,2565524366215,20.074034,1,2565,11.077462,19.201212,19.2552,0.11227794,0.1593,148.1867924,6.702607,0.76857144,t17_f5_c3,19.2304,0.1992,True,False,True,23.12.x,0.0,,0.99999166,468120262.0,ZTF24aabmzlt
ztf,60319.52483800007,2565524836215015024,2,2565524836215,20.038734,1,2565,11.355701,19.332266,19.1372,0.116804145,0.1455,148.1867003,6.7026289,0.69857144,t17_f5_c3,19.2136,0.1997,True,False,True,23.12.x,0.0,,0.999972,468120262.0,ZTF24aabmzlt
ztf,60319.525312500075,2565525316215015022,2,2565525316215,20.005245,1,2565,11.32868,19.108072,19.0012,0.1453431,0.129,148.1866697,6.7025839,0.69142854,t17_f5_c3,19.0308,0.1695,True,False,True,23.12.x,0.0,,0.999997,468120262.0,ZTF24aabmzlt
ztf,60319.52577550011,2565525776215015023,2,2565525776215,20.114428,1,2565,11.664486,19.124516,19.1893,0.11648444,0.1501,148.1865946,6.7026479,0.9257143,t17_f5_c3,19.1028,0.1775,True,False,True,23.12.x,0.0,,0.999999,468120262.0,ZTF24aabmzlt
