tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.52107639983,2565521074415015003,2,2565521074415,20.152,1,2565,6.56977,18.9204,19.0484,0.08498,0.1295,148.8261926,6.2428463,0.948571,t17_f5_c3,19.0528,0.1662,False,False,True,23.12.x,0.0,2.565523424415015e+18,,,ZTF24aabmzrr
ztf,60319.52155089984,2565521554415015003,2,2565521554415,20.1876,1,2565,6.67847,18.9142,18.8912,0.094952,0.1094,148.8261215,6.2428371,0.924286,t17_f5_c3,18.8225,0.1313,False,False,True,23.12.x,0.0,2.565523424415015e+18,,,ZTF24aabmzrr
ztf,60319.52201389987,2565522014415015004,2,2565522014415,20.2217,1,2565,6.61733,18.8274,18.9141,0.073769,0.1109,148.8260367,6.2428893,0.947143,t17_f5_c3,19.0791,0.1649,False,False,True,23.12.x,0.0,2.565523424415015e+18,,,ZTF24aabmzrr
ztf,60319.522488399874,2565522484415015002,2,2565522484415,20.1934,1,2565,6.79982,18.8599,18.7617,0.082747,0.0977,148.8259559,6.2428694,0.928571,t17_f5_c3,18.754,0.124,False,False,True,23.12.x,0.0,2.565523424415015e+18,,,ZTF24aabmzrr
ztf,60319.52295139991,2565522954415015005,2,2565522954415,20.1638,1,2565,6.71232,18.8996,18.9381,0.086019,0.1166,148.8259254,6.2429115,0.911429,t17_f5_c3,18.8191,0.1337,False,False,True,23.12.x,0.0,2.565523424415015e+18,,,ZTF24aabmzrr
ztf,60319.52342589991,2565523424415015004,2,2565523424415,20.170227,1,2565,6.867291,18.882109,18.6991,0.08811546,0.0933,148.8258057,6.2429261,0.84,t17_f5_c3,18.7025,0.1195,True,False,True,23.12.x,0.0,,0.99999523,468120244.0,ZTF24aabmzrr
ztf,60319.52390050003,2565523904415015003,2,2565523904415,20.005283,1,2565,6.968687,18.878242,18.8877,0.10091031,0.1148,148.8257468,6.2429276,0.8957143,t17_f5_c3,18.9163,0.1507,True,False,True,23.12.x,0.0,,0.99999356,468120244.0,ZTF24aabmzrr
ztf,60319.52436339995,2565524364415015002,2,2565524364415,20.087143,1,2565,7.176331,18.935865,18.7773,0.111293696,0.1025,148.8256689,6.2429078,0.8357143,t17_f5_c3,18.6914,0.1211,True,False,True,23.12.x,0.0,,0.99999416,468120244.0,ZTF24aabmzrr
ztf,60319.52483800007,2565524834415015003,2,2565524834415,20.09822,1,2565,7.214378,18.787767,18.9177,0.10073583,0.1164,148.8255924,6.2429468,0.94857144,t17_f5_c3,18.875,0.1432,True,False,True,23.12.x,0.0,,0.9999932,468120244.0,ZTF24aabmzrr
ztf,60319.525312500075,2565525314415015002,2,2565525314415,20.01732,1,2565,7.3814006,18.812384,18.7474,0.09667011,0.1011,148.8255288,6.2429346,0.91571426,t17_f5_c3,18.5614,0.109,True,False,True,23.12.x,0.0,,0.9999951,468120244.0,ZTF24aabmzrr
ztf,60319.52577550011,2565525774415015003,2,2565525774415,20.157944,1,2565,7.470133,18.839327,18.789,0.10890933,0.1021,148.8254545,6.2429602,0.9071429,t17_f5_c3,18.8719,0.1409,True,False,True,23.12.x,0.0,,0.99996346,468120244.0,ZTF24aabmzrr
ztf,60319.52625000011,2565526254415015002,2,2565526254415,20.083065,1,2565,7.6115437,18.932577,18.9203,0.0943959,0.1174,148.8253669,6.2429811,0.93,t17_f5_c3,18.7207,0.125,True,False,True,23.12.x,0.0,,0.99999917,468120244.0,ZTF24aabmzrr
