tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.522488399874,2565522480115015018,2,2565522480115,20.2606,1,2565,9.97203,19.5293,19.4329,0.124458,0.181,153.919862,1.8220686,0.855714,t17_f5_c3,19.3451,0.2137,False,False,True,23.12.x,0.0,2.565526720115015e+18,,,ZTF24aabnaox
ztf,60319.52295139991,2565522950115015018,2,2565522950115,20.2448,1,2565,10.0432,19.5199,19.4448,0.152016,0.1827,153.9198256,1.8220095,0.801429,t17_f5_c3,19.3873,0.222,False,False,True,23.12.x,0.0,2.565526720115015e+18,,,ZTF24aabnaox
ztf,60319.52342589991,2565523420115015014,2,2565523420115,20.2175,1,2565,10.2463,19.5049,19.4717,0.165709,0.1905,153.919763,1.8219939,0.842857,t17_f5_c3,19.3606,0.2202,False,False,True,23.12.x,0.0,2.565527180115015e+18,,,ZTF24aabnaox
ztf,60319.52390050003,2565523900115015020,2,2565523900115,20.0328,1,2565,10.3002,19.565,19.5769,0.137698,0.2165,153.9197541,1.8220229,0.82,t17_f5_c3,19.3821,0.2321,False,False,True,23.12.x,0.0,2.565527180115015e+18,,,ZTF24aabnaox
ztf,60319.52436339995,2565524360115015013,2,2565524360115,20.1297,1,2565,10.2607,19.653,19.9513,0.207558,0.2985,153.919659,1.8220462,0.405714,t17_f5_c3,19.8167,0.3381,False,False,True,23.12.x,0.0,2.565527180115015e+18,,,ZTF24aabnaox
ztf,60319.52483800007,2565524830115015028,2,2565524830115,20.1053,1,2565,10.4957,19.5408,19.6682,0.149234,0.2337,153.9196356,1.8219696,0.788571,t17_f5_c3,19.4874,0.2537,False,False,True,23.12.x,0.0,2.565527180115015e+18,,,ZTF24aabnaox
ztf,60319.525312500075,2565525310115015014,2,2565525310115,20.0494,1,2565,10.279,19.4319,19.5437,0.149329,0.2108,153.9195631,1.8220116,0.8,t17_f5_c3,19.5071,0.2613,False,False,True,23.12.x,0.0,2.565527180115015e+18,,,ZTF24aabnaox
ztf,60319.52577550011,2565525770115015016,2,2565525770115,20.1483,1,2565,10.4956,19.6704,19.5725,0.146376,0.2133,153.9195573,1.8219465,0.745714,t17_f5_c3,19.8309,0.3465,False,False,True,23.12.x,0.0,2.565527180115015e+18,,,ZTF24aabnaox
ztf,60319.52625000011,2565526250115015015,2,2565526250115,20.0972,1,2565,10.6134,19.5282,19.2172,0.158159,0.1549,153.919509,1.8218996,0.472857,t17_f5_c3,19.0923,0.1767,False,False,True,23.12.x,0.0,2.565527180115015e+18,,,ZTF24aabnaox
ztf,60319.526724500116,2565526720115015014,2,2565526720115,20.17935,1,2565,10.330837,19.557085,19.5106,0.14913122,0.2001,153.9194674,1.821971,0.8314286,t17_f5_c3,19.3691,0.2251,True,False,True,23.12.x,0.0,,0.9999732,468120201.0,ZTF24aabnaox
ztf,60319.52718750015,2565527180115015016,2,2565527180115,20.28015,1,2565,10.331197,19.598541,19.3105,0.14421673,0.1605,153.9193756,1.8219496,0.6142857,t17_f5_c3,19.2156,0.1884,True,False,True,23.12.x,0.0,,0.9995395,468120201.0,ZTF24aabnaox
ztf,60319.52766200015,2565527660115015021,2,2565527660115,20.213322,1,2565,10.292926,19.467066,19.4678,0.18167701,0.1912,153.9193361,1.8219527,0.74,t17_f5_c3,19.6833,0.2982,True,False,True,23.12.x,0.0,,0.99334776,468120201.0,ZTF24aabnaox
ztf,60319.52813659981,2565528130115015017,2,2565528130115,20.256489,1,2565,10.442378,19.558958,19.3851,0.13405176,0.1738,153.9192841,1.8218999,0.7985714,t17_f5_c3,19.3536,0.2161,True,False,True,23.12.x,0.0,,0.99969757,468120201.0,ZTF24aabnaox
ztf,60319.52859950019,2565528590115015018,2,2565528590115,20.090574,1,2565,10.293802,19.50297,19.3124,0.15943831,0.1703,153.9192496,1.8219363,0.47142857,t17_f5_c3,19.3165,0.2189,True,False,True,23.12.x,0.0,,0.99878216,468120201.0,ZTF24aabnaox
ztf,60319.529074099846,2565529070115015015,2,2565529070115,20.15644,1,2565,10.519923,19.463802,19.4949,0.16445446,0.1996,153.9192479,1.8218717,0.8,t17_f5_c3,19.6164,0.2858,True,False,True,23.12.x,0.0,,0.99995804,468120201.0,ZTF24aabnaox
ztf,60319.52953700023,2565529530115015020,2,2565529530115,20.246418,1,2565,10.314976,19.572952,19.8664,0.14967966,0.2695,153.9191774,1.8219191,0.80857146,t17_f5_c3,19.671,0.2888,True,False,True,23.12.x,0.0,,0.99995726,468120201.0,ZTF24aabnaox
ztf,60319.53001159988,2565530010115015014,2,2565530010115,20.179085,1,2565,10.475481,19.57026,19.7,0.14933324,0.2373,153.9191168,1.8218656,0.8,t17_f5_c3,19.7202,0.3097,True,False,True,23.12.x,0.0,,0.99991167,468120201.0,ZTF24aabnaox
ztf,60319.5304744998,2565530470115015016,2,2565530470115,20.186651,1,2565,10.557971,19.492256,19.404,0.14004542,0.1816,153.9190648,1.8218364,0.83428574,t17_f5_c3,19.5718,0.2714,True,False,True,23.12.x,0.0,,0.999918,468120201.0,ZTF24aabnaox
ztf,60319.53094909992,2565530940115015015,2,2565530940115,20.2267,1,2565,10.459,19.5347,19.5884,0.145389,0.2116,153.9189866,1.8218574,0.854286,t17_f5_c3,19.5195,0.2546,False,False,True,23.12.x,0.0,2.565531420115015e+18,,,ZTF24aabnaox
ztf,60319.531423599925,2565531420115015017,2,2565531420115,20.169073,1,2565,10.518855,19.474771,19.5515,0.15679651,0.2106,153.9190213,1.8218434,0.8528572,t17_f5_c3,19.296,0.2137,True,False,True,23.12.x,0.0,,0.999975,468120201.0,ZTF24aabnaox
