tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.52342589991,2565523426015015010,2,2565523426015,20.0706,1,2565,1.96539,18.9598,19.0062,0.108348,0.1294,148.6900305,7.7614536,0.82,t17_f5_c3,18.9462,0.1565,False,False,True,23.12.x,0.0,2.565526726015015e+18,,,ZTF24aabnauo
ztf,60319.52390050003,2565523906015015013,2,2565523906015,19.9515,1,2565,1.99573,18.987,19.2227,0.129442,0.1653,148.6899817,7.7614457,0.891429,t17_f5_c3,19.085,0.1866,False,False,True,23.12.x,0.0,2.565527666015015e+18,,,ZTF24aabnauo
ztf,60319.52436339995,2565524366015015012,2,2565524366015,20.0448,1,2565,1.90643,18.9853,19.073,0.099507,0.1403,148.6899619,7.7614724,0.944286,t17_f5_c3,19.0493,0.1754,False,False,True,23.12.x,0.0,2.565527666015015e+18,,,ZTF24aabnauo
ztf,60319.52483800007,2565524836015015013,2,2565524836015,20.0159,1,2565,1.9752,18.9161,19.0014,0.097876,0.1324,148.6898741,7.7614679,0.94,t17_f5_c3,18.8774,0.1511,False,False,True,23.12.x,0.0,2.565527666015015e+18,,,ZTF24aabnauo
ztf,60319.525312500075,2565525316015015010,2,2565525316015,19.9806,1,2565,1.93508,18.9415,19.0745,0.087119,0.1424,148.6898593,7.7614832,0.864286,t17_f5_c3,19.0449,0.1771,False,False,True,23.12.x,0.0,2.565527666015015e+18,,,ZTF24aabnauo
ztf,60319.52577550011,2565525776015015013,2,2565525776015,20.1014,1,2565,1.94452,18.977,19.0141,0.095384,0.1302,148.689793,7.7615046,0.938571,t17_f5_c3,19.0586,0.1732,False,False,True,23.12.x,0.0,2.565527666015015e+18,,,ZTF24aabnauo
ztf,60319.52625000011,2565526256015015009,2,2565526256015,20.0218,1,2565,2.20698,18.9051,18.7844,0.10761,0.1076,148.6897243,7.7614552,0.814286,t17_f5_c3,18.9292,0.1568,False,False,True,23.12.x,0.0,2.565527666015015e+18,,,ZTF24aabnauo
ztf,60319.526724500116,2565526726015015017,2,2565526726015,20.086914,1,2565,2.1218183,18.931652,18.9692,0.08837392,0.1264,148.6896678,7.761517,0.95857143,t17_f5_c3,18.8004,0.1384,True,False,True,23.12.x,0.0,,0.99999917,468120260.0,ZTF24aabnauo
ztf,60319.52718750015,2565527186015015010,2,2565527186015,20.142515,1,2565,2.1095695,18.85365,18.8204,0.09479683,0.108,148.6896342,7.7615466,0.9614286,t17_f5_c3,18.7499,0.1292,True,False,True,23.12.x,0.0,,0.99999917,468120260.0,ZTF24aabnauo
ztf,60319.52766200015,2565527666015015010,2,2565527666015,20.050364,1,2565,2.2764585,18.91427,18.8889,0.10559418,0.1188,148.6895771,7.7615334,0.94857144,t17_f5_c3,18.9118,0.1549,True,False,True,23.12.x,0.0,,0.99999964,468120260.0,ZTF24aabnauo
ztf,60319.52813659981,2565528136015015018,2,2565528136015,20.072258,1,2565,2.344525,18.928648,18.8635,0.09153654,0.1154,148.6895261,7.7615565,0.93285716,t17_f5_c3,18.9138,0.1543,True,False,True,23.12.x,0.0,,0.99996346,468120260.0,ZTF24aabnauo
ztf,60319.52859950019,2565528596015015017,2,2565528596015,19.987335,1,2565,2.418604,18.950518,18.9332,0.10119066,0.1241,148.6894918,7.7615632,0.89857143,t17_f5_c3,18.895,0.153,True,False,True,23.12.x,0.0,,0.9999982,468120260.0,ZTF24aabnauo
ztf,60319.529074099846,2565529076015015011,2,2565529076015,20.062098,1,2565,2.4873588,18.919516,19.0633,0.11170287,0.1388,148.6894396,7.7615977,0.9257143,t17_f5_c3,19.0412,0.1739,True,False,True,23.12.x,0.0,,0.99975455,468120260.0,ZTF24aabnauo
ztf,60319.52953700023,2565529536015015020,2,2565529536015,20.058716,1,2565,2.7018049,18.96663,19.2238,0.09970946,0.1608,148.6893724,7.761588,0.92714286,t17_f5_c3,19.2882,0.2181,True,False,True,23.12.x,0.0,,0.9999993,468120260.0,ZTF24aabnauo
ztf,60319.53001159988,2565530016015015017,2,2565530016015,20.038618,1,2565,2.8429387,18.954645,18.8526,0.08342244,0.1157,148.6893362,7.7615705,0.88,t17_f5_c3,18.7183,0.1307,True,False,True,23.12.x,0.0,,0.99992275,468120260.0,ZTF24aabnauo
ztf,60319.5304744998,2565530476015015004,2,2565530476015,20.076078,1,2565,3.0327785,18.962511,19.1003,0.09739001,0.1422,148.6892479,7.7616149,0.94714284,t17_f5_c3,19.0968,0.1813,True,False,True,23.12.x,0.0,,0.9999947,468120260.0,ZTF24aabnauo
