tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.52107639983,2565521070415015017,2,2565521070415,20.2131,1,2565,17.5621,20.0009,20.157,0.185967,0.3427,152.7580486,1.9988308,0.667143,t17_f5_c3,19.8785,0.3404,False,False,True,23.12.x,0.0,2.565526250415015e+18,,,ZTF24aabnazr
ztf,60319.52201389987,2565522010415015018,2,2565522010415,20.3126,1,2565,17.2973,20.2469,21.204,0.190391,0.869,152.7580976,1.9987744,0.685714,t17_f5_c3,20.6065,0.6446,False,False,True,23.12.x,0.0,2.565526250415015e+18,,,ZTF24aabnazr
ztf,60319.522488399874,2565522480415015011,2,2565522480415,20.272,1,2565,17.4069,20.0813,19.9636,0.178748,0.2861,152.7580494,1.9987688,0.688571,t17_f5_c3,20.0399,0.3933,False,False,True,23.12.x,0.0,2.565526250415015e+18,,,ZTF24aabnazr
ztf,60319.52295139991,2565522950415015015,2,2565522950415,20.2197,1,2565,17.4654,20.2115,19.5935,0.205755,0.2065,152.7580274,1.9987693,0.177143,t17_f5_c3,19.6001,0.2663,False,False,True,23.12.x,0.0,2.565526250415015e+18,,,ZTF24aabnazr
ztf,60319.52342589991,2565523420415015013,2,2565523420415,20.2415,1,2565,17.1496,20.0983,19.7983,0.178914,0.2473,152.7580554,1.9986693,0.455714,t17_f5_c3,19.9723,0.3719,False,False,True,23.12.x,0.0,2.565526250415015e+18,,,ZTF24aabnazr
ztf,60319.52390050003,2565523900415015012,2,2565523900415,20.0634,1,2565,17.542,19.9996,20.1923,0.176695,0.3597,152.7579304,1.9986962,0.714286,t17_f5_c3,20.5605,0.6473,False,False,True,23.12.x,0.0,2.565526250415015e+18,,,ZTF24aabnazr
ztf,60319.52436339995,2565524360415015011,2,2565524360415,20.1336,1,2565,17.176,20.1801,19.9766,0.238681,0.2943,152.7579217,1.9985297,0.438571,t17_f5_c3,19.8937,0.3501,False,False,True,23.12.x,0.0,2.565526250415015e+18,,,ZTF24aabnazr
ztf,60319.52483800007,2565524830415015015,2,2565524830415,20.1271,1,2565,17.435,20.1616,20.2588,0.211149,0.385,152.757953,1.9986761,0.677143,t17_f5_c3,20.4097,0.5683,False,False,True,23.12.x,0.0,2.565526250415015e+18,,,ZTF24aabnazr
ztf,60319.525312500075,2565525310415015011,2,2565525310415,20.0812,1,2565,17.2277,20.2158,19.6136,0.202826,0.2131,152.7580249,1.9986687,0.065714,t17_f5_c3,19.6411,0.2802,False,False,True,23.12.x,0.0,2.565526250415015e+18,,,ZTF24aabnazr
ztf,60319.52577550011,2565525770415015016,2,2565525770415,20.1521,1,2565,17.5639,20.0585,20.128,0.18929,0.3416,152.7578973,1.9986679,0.668571,t17_f5_c3,20.0981,0.4263,False,False,True,23.12.x,0.0,2.565526250415015e+18,,,ZTF24aabnazr
ztf,60319.52625000011,2565526250415015008,2,2565526250415,20.10699,1,2565,17.788898,20.092373,20.6016,0.18679564,0.5289,152.7577502,1.9985938,0.5328571,t17_f5_c3,20.455,0.5933,True,False,True,23.12.x,0.0,,0.99991465,468120204.0,ZTF24aabnazr
ztf,60319.526724500116,2565526720415015007,2,2565526720415,20.213,1,2565,17.8088,20.1477,20.1779,0.2217,0.3492,152.757748,1.9986004,0.491429,t17_f5_c3,19.6896,0.2861,False,False,True,23.12.x,0.0,2.565530470415015e+18,,,ZTF24aabnazr
ztf,60319.52718750015,2565527180415015008,2,2565527180415,20.2469,1,2565,17.9614,20.1309,20.1283,0.229584,0.3397,152.757672,1.9985748,0.402857,t17_f5_c3,20.1089,0.4283,False,False,True,23.12.x,0.0,2.565530470415015e+18,,,ZTF24aabnazr
ztf,60319.52766200015,2565527660415015011,2,2565527660415,20.2314,1,2565,17.2983,20.0879,19.834,0.181694,0.2565,152.7578475,1.9984948,0.588571,t17_f5_c3,19.9766,0.375,False,False,True,23.12.x,0.0,2.565530470415015e+18,,,ZTF24aabnazr
ztf,60319.52813659981,2565528130415015011,2,2565528130415,20.246,1,2565,17.65,20.3015,19.9651,0.261358,0.289,152.757717,1.9984908,0.472857,t17_f5_c3,19.8964,0.3479,False,False,True,23.12.x,0.0,2.565530470415015e+18,,,ZTF24aabnazr
ztf,60319.52859950019,2565528590415015010,2,2565528590415,20.0919,1,2565,17.8584,20.3478,21.087,0.298363,0.8322,152.7576357,1.9984829,0.521429,t17_f5_c3,20.5805,0.6713,False,False,True,23.12.x,0.0,2.565530470415015e+18,,,ZTF24aabnazr
ztf,60319.529074099846,2565529070415015017,2,2565529070415,20.1976,1,2565,17.5063,20.235,20.2365,0.279237,0.3741,152.7577269,1.9984385,0.445714,t17_f5_c3,20.7278,0.7542,False,False,True,23.12.x,0.0,2.565530470415015e+18,,,ZTF24aabnazr
ztf,60319.52953700023,2565529530415015010,2,2565529530415,20.246092,1,2565,17.702604,20.03036,19.9278,0.17505105,0.2788,152.7576656,1.9984498,0.72,t17_f5_c3,19.9326,0.3593,True,False,True,23.12.x,0.0,,0.9999771,468120204.0,ZTF24aabnazr
ztf,60319.53001159988,2565530010415015010,2,2565530010415,20.1998,1,2565,17.5202,20.2054,20.5931,0.246861,0.5157,152.7576333,1.998322,0.68,t17_f5_c3,20.3383,0.5242,False,False,True,23.12.x,0.0,2.565530470415015e+18,,,ZTF24aabnazr
ztf,60319.5304744998,2565530470415015018,2,2565530470415,20.162828,1,2565,17.74349,19.94334,19.7933,0.2000003,0.2569,152.7575838,1.9983607,0.60714287,t17_f5_c3,19.866,0.3522,True,False,True,23.12.x,0.0,,0.998889,468120204.0,ZTF24aabnazr
ztf,60319.53094909992,2565530940415015015,2,2565530940415,20.2343,1,2565,17.8185,20.066032,19.8978,0.19322008,0.2738,152.7575428,1.9983404,0.581429,t17_f5_c3,19.4695,0.2371,True,False,True,23.12.x,0.0,,,,ZTF24aabnazr
ztf,60319.531423599925,2565531420415015010,2,2565531420415,20.202438,1,2565,17.772083,20.107615,19.7971,0.2059959,0.2509,152.757569,1.9983542,0.5228571,t17_f5_c3,19.8007,0.3231,True,False,True,23.12.x,0.0,,0.99984807,468120204.0,ZTF24aabnazr
ztf,60319.53189809993,2565531890415015011,2,2565531890415,20.099,1,2565,17.7141,20.2114,20.2617,0.2269,0.4008,152.7575043,1.9982352,0.54,t17_f5_c3,20.3315,0.5486,False,False,True,23.12.x,0.0,2.565532360415015e+18,,,ZTF24aabnazr
ztf,60319.53236109996,2565532360415015007,2,2565532360415,20.134754,1,2565,17.628023,19.930593,19.7728,0.20435856,0.2469,152.7575269,1.9982255,0.5042857,t17_f5_c3,19.7893,0.3213,True,False,True,23.12.x,0.0,,0.9997337,468120204.0,ZTF24aabnazr
