tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.52625000011,2565526254715015006,2,2565526254715,20.1647,1,2565,4.36957,19.9127,19.7598,0.189777,0.2402,148.8148183,5.253049,0.33,t17_f5_c3,19.4219,0.2258,False,False,False,23.12.x,0.0,2.565530944715015e+18,,,ZTF24aabnbux
ztf,60319.526724500116,2565526724715015004,2,2565526724715,20.2999,1,2565,4.24515,19.7613,19.5353,0.158574,0.1891,148.8148104,5.2530095,0.588571,t17_f5_c3,19.3398,0.2025,False,False,False,23.12.x,0.0,2.565530944715015e+18,,,ZTF24aabnbux
ztf,60319.52718750015,2565527184715015012,2,2565527184715,20.3416,1,2565,4.26486,19.7231,19.6508,0.122115,0.2055,148.8147746,5.253047,0.805714,t17_f5_c3,19.4782,0.2248,False,False,False,23.12.x,0.0,2.565530944715015e+18,,,ZTF24aabnbux
ztf,60319.52766200015,2565527664715015007,2,2565527664715,20.2066,1,2565,4.22989,19.8127,19.62,0.16694,0.2089,148.8147171,5.2530781,0.582857,t17_f5_c3,19.4908,0.2379,False,False,False,23.12.x,0.0,2.565530944715015e+18,,,ZTF24aabnbux
ztf,60319.52813659981,2565528134715015006,2,2565528134715,20.2686,1,2565,4.22145,19.7938,19.6067,0.166933,0.2028,148.8147094,5.2530808,0.628571,t17_f5_c3,19.466,0.2284,False,False,False,23.12.x,0.0,2.565531424715015e+18,,,ZTF24aabnbux
ztf,60319.52859950019,2565528594715015008,2,2565528594715,20.119,1,2565,3.90038,19.8598,19.5833,0.22198,0.2054,148.8146138,5.2530361,0.558571,t17_f5_c3,19.7022,0.2935,False,False,False,23.12.x,0.0,2.565531424715015e+18,,,ZTF24aabnbux
ztf,60319.529074099846,2565529074715015005,2,2565529074715,20.2463,1,2565,4.28036,19.7804,19.4748,0.139755,0.1814,148.8146044,5.2531689,0.544286,t17_f5_c3,19.3035,0.1985,False,False,False,23.12.x,0.0,2.565531424715015e+18,,,ZTF24aabnbux
ztf,60319.52953700023,2565529534715015006,2,2565529534715,20.312,1,2565,3.81693,19.8103,19.8743,0.159891,0.2559,148.8144935,5.2530768,0.724286,t17_f5_c3,19.7239,0.2858,False,False,False,23.12.x,0.0,2.565531424715015e+18,,,ZTF24aabnbux
ztf,60319.53001159988,2565530014715015007,2,2565530014715,20.2507,1,2565,4.26412,19.9659,20.2631,0.20126,0.3748,148.8145597,5.2531844,0.675714,t17_f5_c3,20.1666,0.4399,False,False,False,23.12.x,0.0,2.565531424715015e+18,,,ZTF24aabnbux
ztf,60319.5304744998,2565530474715015005,2,2565530474715,20.2164,1,2565,3.97074,19.6978,19.535,0.138735,0.1955,148.8144629,5.2531385,0.687143,t17_f5_c3,19.4057,0.2223,False,False,False,23.12.x,0.0,2.565531424715015e+18,,,ZTF24aabnbux
ztf,60319.53094909992,2565530944715015007,2,2565530944715,20.264902,1,2565,3.7892184,19.783693,19.7831,0.14621143,0.2421,148.814417,5.2531022,0.8057143,t17_f5_c3,19.6343,0.2708,True,False,False,23.12.x,0.0,,0.9999975,468120247.0,ZTF24aabnbux
ztf,60319.531423599925,2565531424715015005,2,2565531424715,20.2371,1,2565,4.1498837,19.760239,19.6039,0.16803075,0.2062,148.8143289,5.2532387,0.71,t17_f5_c3,19.648,0.275,True,False,False,23.12.x,0.0,,0.99999464,468120247.0,ZTF24aabnbux
ztf,60319.53189809993,2565531894715015005,2,2565531894715,20.17813,1,2565,4.1414957,19.75804,19.6122,0.1547434,0.2116,148.8143119,5.2532407,0.5257143,t17_f5_c3,19.4185,0.227,True,False,False,23.12.x,0.0,,0.99997485,468120247.0,ZTF24aabnbux
ztf,60319.53236109996,2565532364715015008,2,2565532364715,20.1946,1,2565,3.83292,19.6711,19.4831,0.181371,0.1874,148.814278,5.2531597,0.654286,t17_f5_c3,19.4383,0.2302,False,False,False,23.12.x,0.0,2.565533784715015e+18,,,ZTF24aabnbux
ztf,60319.532835599966,2565532834715015005,2,2565532834715,20.287619,1,2565,4.027901,19.857327,20.0774,0.16082808,0.3138,148.814181,5.2532378,0.7728571,t17_f5_c3,19.8681,0.3321,True,False,False,23.12.x,0.0,,0.9999402,468120247.0,ZTF24aabnbux
ztf,60319.53331020009,2565533314715015007,2,2565533314715,20.280174,1,2565,3.8662302,19.785273,19.7256,0.1508547,0.2284,148.8141305,5.2531948,0.7557143,t17_f5_c3,19.7435,0.2975,True,False,False,23.12.x,0.0,,0.99999154,468120247.0,ZTF24aabnbux
ztf,60319.53378470009,2565533784715015006,2,2565533784715,20.236837,1,2565,4.0015116,19.893715,19.7529,0.17781669,0.2375,148.8141497,5.2532341,0.49285713,t17_f5_c3,19.6936,0.2881,True,False,False,23.12.x,0.0,,0.9996946,468120247.0,ZTF24aabnbux
ztf,60319.534247700125,2565534244715015009,2,2565534244715,20.092655,1,2565,4.228944,19.785198,19.7416,0.14662264,0.2409,148.8140088,5.2533026,0.71,t17_f5_c3,19.5806,0.2663,True,False,False,23.12.x,0.0,,0.999787,468120247.0,ZTF24aabnbux
ztf,60319.53567129979,2565535674715015005,2,2565535674715,20.139853,1,2565,4.1527953,19.737947,19.8993,0.14173472,0.2769,148.8138881,5.2532739,0.7457143,t17_f5_c3,19.7641,0.3136,True,False,False,23.12.x,0.0,,0.999995,468120247.0,ZTF24aabnbux
